id,s,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,d_left,d_right
70,17.53098,0.923427,-0.882764,-0.159384,0.310162,4.398265,2.303458,1.125,0.675
71,17.781318,1.171948,-0.912871,-0.083907,0.292711,4.527474,0.899411,1.125,0.65
72,18.031666,1.422016,-0.924698,-0.011401,0.286419,4.576937,-0.998543,1.15,0.625
73,18.282012,1.672287,-0.918575,0.061045,0.292237,4.52199,-2,1.15,0.625
74,18.532341,1.921424,-0.894173,0.136046,0.306839,4.409884,-2,1.125,0.675
75,18.782654,2.167938,-0.850725,0.215177,0.325277,4.29486,-1.972502,1.1,0.725
76,19.032935,2.410069,-0.787375,0.298919,0.343673,4.178332,-1.06063,1.1,0.8
77,19.283209,2.645853,-0.703454,0.386304,0.354451,4.114312,-0.754613,1.05,0.925
78,19.533455,2.873248,-0.598981,0.476054,0.36254,4.068155,0.825035,1.025,1.075
79,19.783715,3.09025,-0.474321,0.565706,0.353714,4.118596,0.677119,0.95,1.225
80,20.033978,3.29538,-0.330957,0.653391,0.346786,4.159537,-1.004554,0.875,1.475
81,20.284256,3.487319,-0.170337,0.739995,0.345103,4.098648,-2.027048,0.8,1.625
82,20.534514,3.664667,0.006231,0.829481,0.369861,3.972952,-2.165874,0.75,1.45
83,20.784718,3.824898,0.198398,0.926848,0.408149,3.834126,-2.183998,0.75,1.15
84,21.034862,3.964664,0.405854,1.033096,0.44092,3.688888,-1.140356,0.8,0.975
85,21.284963,4.080715,0.6274,1.145847,0.460211,3.610746,-0.692272,0.85,0.9
86,21.535043,4.170534,0.860793,1.262572,0.472767,3.562477,-0.191901,0.9,0.75
87,21.785097,4.232174,1.10313,1.381318,0.476369,3.548982,0.086193,0.925,0.675
88,22.035163,4.264563,1.351091,1.500303,0.474744,3.55505,0.972454,0.95,0.625
89,22.285218,4.267338,1.60113,1.616902,0.457153,3.622804,1.991089,0.95,0.625
90,22.535346,4.241547,1.849925,1.727262,0.424906,3.757761,2.241435,0.925,0.65
91,22.785507,4.189489,2.094609,1.829697,0.393644,3.904127,3.171242,0.9,0.725
92,23.035731,4.113595,2.333046,1.923582,0.356522,4.102346,3.7,0.9,0.825
93,23.285998,4.016735,2.56381,2.007967,0.317631,4.322178,3.7,0.825,0.9
94,23.536321,3.901824,2.786199,2.081852,0.272568,4.531403,3.7,0.725,0.95
95,23.786691,3.77199,3.000273,2.144513,0.227907,4.731421,3.7,0.65,1.1
96,24.0371,3.630133,3.206626,2.19784,0.197991,4.92335,2.787373,0.6,1.25
97,24.287522,3.478216,3.405705,2.237527,0.118926,5.063142,-2,0.575,1.35
98,24.538008,3.320396,3.60022,2.253828,0.011255,4.963211,-2,0.625,1.375
99,24.788499,3.162026,3.794294,2.253629,-0.012845,4.861224,-2,0.775,1.225
100,25.038991,3.00428,3.988877,2.25202,0,4.757051,-2,1.1,1
101,25.289483,2.846534,4.18346,2.25202,0,4.650545,-2,1.55,0.85
102,25.539975,2.688788,4.378043,2.25202,0,4.541541,-2,1.875,0.65
103,25.790468,2.531042,4.572626,2.263479,0.091507,4.429856,-2,2.15,0.6
104,26.040905,2.368913,4.763501,2.261535,-0.10712,4.315307,-2,0.599225,0.6
105,26.291177,2.212065,4.958525,2.2055,-0.340507,4.197713,3.7,0.649225,0.725
106,26.541442,2.072395,5.166191,2.128142,-0.277383,4.412795,3.7,2.25,0.775
107,26.791838,1.947407,5.383161,2.062318,-0.248471,4.617974,0.552215,2.025,0.95
108,27.042192,1.836171,5.607446,1.996694,-0.275652,4.647815,-2,1.775,1.05
109,27.292532,1.740674,5.838856,1.925958,-0.289355,4.538813,-2,1.625,1.125
110,27.542858,1.662183,6.076558,1.851409,-0.30613,4.427134,-1.581646,1.5,1.175
111,27.793163,1.602129,6.319552,1.773148,-0.319018,4.336788,-0.934548,1.475,1.275
112,28.043458,1.561656,6.566553,1.692259,-0.327155,4.282511,0.144958,1.4,1.3
113,28.293744,1.541527,6.816029,1.610512,-0.325866,4.290975,0.010876,1.175,1.35
114,28.544041,1.541797,7.066325,1.528941,-0.32577,4.291609,1.544109,0.975,1.35
115,28.794332,1.562456,7.315762,1.449019,-0.312649,4.380738,2.067916,0.85,1.35
116,29.044654,1.602563,7.56285,1.372744,-0.296646,4.49735,2.47789,0.75,1.325
117,29.294986,1.660897,7.806291,1.300612,-0.279502,4.633222,3.397124,0.725,1.275
118,29.545343,1.736119,8.04508,1.233194,-0.258981,4.813287,3.7,0.7,1.275
119,29.795718,1.826665,8.278509,1.171718,-0.232002,5.00205,3.69918,0.65,1.25
120,30.046122,1.930624,8.506312,1.12738,-0.122078,5.183925,3.300562,0.625,1.225
121,30.296607,2.041535,8.730904,1.128702,0.132648,5.341027,-2,0.625,1.225
122,30.546986,2.144881,8.958959,1.146904,0.012681,5.246432,-2,0.625,1.2
123,30.79745,2.247537,9.18742,1.142882,-0.04479,5.150067,-2,0.65,1.2
124,31.047942,2.352762,9.414739,1.137273,0,5.051854,-2,0.65,1.2
125,31.298434,2.457986,9.642059,1.137273,0,4.951692,-2,0.65,1.2
126,31.548926,2.563211,9.869378,1.137273,0,4.849463,-2,0.7,1.125
127,31.799419,2.668435,10.096698,1.137273,0,4.745031,-2,0.75,1.125
128,32.049911,2.773659,10.324017,1.137273,0,4.638249,-2,0.775,1.075
129,32.300403,2.878884,10.551337,1.137273,0,4.528949,-2,0.775,1.05
130,32.550896,2.984108,10.778656,1.137273,0,4.416946,-2,0.85,1
131,32.801388,3.089333,11.005976,1.137273,0,4.302028,-2,0.9,1
132,33.05188,3.194557,11.233296,1.137273,0,4.183954,-2,0.9,0.925
133,33.302372,3.299782,11.460615,1.137273,0,4.062451,-2.067071,0.975,0.925
134,33.552865,3.405006,11.687935,1.137273,0,3.932929,-2.210472,1,0.875
135,33.803357,3.510231,11.915254,1.137273,0,3.789528,-2.370549,1.05,0.85
136,34.053849,3.615455,12.142574,1.137273,0,3.629451,-2.551109,1.1,0.85
137,34.304341,3.72068,12.369893,1.102507,-0.278481,3.448891,-2.756782,1.125,0.8
138,34.553977,3.841057,12.588589,1.138526,0.570426,3.243218,-2.861167,1.125,0.725
139,34.802375,3.928796,12.820975,1.292063,0.659555,3.016131,3.7,1.15,0.625
140,35.051586,3.977506,13.065379,1.416224,0.336795,3.30775,3.7,1.125,0.675
141,35.30183,4.005623,13.314038,1.501157,0.343008,3.576732,2.992723,1.15,0.625
142,35.552208,4.012309,13.564327,1.591001,0.3747,3.780428,-2.380631,1.05,0.675
143,35.80252,3.995518,13.814075,1.692942,0.439436,3.619369,-2.56237,0.975,0.7
144,36.052783,3.95141,14.060421,1.811528,0.50773,3.43763,-1.80874,0.975,0.75
145,36.302988,3.876441,14.299129,1.943941,0.549844,3.303361,0.17152,0.925,0.875
146,36.553175,3.769427,14.525275,2.08109,0.545553,3.316326,2.960048,0.875,1.05
147,36.8034,3.632592,14.734772,2.209598,0.480793,3.532615,3.7,0.9,1.325
148,37.053707,3.471533,14.926379,2.321745,0.41487,3.785716,2.186926,0.9,1.675
149,37.304069,3.29143,15.100288,2.422401,0.388936,3.927682,-1.930303,1,2.075
150,37.554451,3.095251,15.255866,2.522227,0.40816,3.802639,-2.35577,1.05,2.225
151,37.804826,2.884223,15.390607,2.629933,0.451793,3.64423,1.358121,1.2,2.275
152,38.055187,2.659342,15.500647,2.740355,0.429786,3.736369,2.658684,1.3,2.3
153,38.305576,2.423912,15.585895,2.843328,0.392366,3.910481,3.7,1.4,2.125
154,38.555989,2.181229,15.647636,2.933101,0.324386,4.140643,3.7,1.525,1.875
155,38.806433,1.934305,15.689479,3.008061,0.274105,4.358693,3.7,1.6,1.4
156,39.056892,1.685077,15.714285,3.069836,0.219114,4.566356,-0.846183,1.675,0.8
157,39.307365,1.43485,15.72538,3.118695,0.170986,4.519703,-2,1.675,0.65
158,39.557846,1.18437,15.725752,-3.125995,0.136372,4.40747,-2,1.675,0.6
159,39.808331,0.934018,15.717568,-3.090794,0.144683,4.292301,-2,1.675,0.65
160,40.058816,0.684128,15.700318,-3.047054,0.20453,4.173956,-2,1.65,0.875
161,40.309293,0.435457,15.670294,-2.984135,0.297785,4.05216,-2.07841,1.45,1.225
162,40.559756,0.189729,15.621821,-2.897956,0.390146,3.92159,-1.923366,1.325,1.5
163,40.810207,-0.050083,15.549601,-2.796932,0.41622,3.796769,-0.022532,1.175,1.725
164,41.060664,-0.281079,15.452806,-2.692598,0.416546,3.795282,-2.166495,1.05,1.9
165,41.311132,-0.500744,15.332465,-2.58598,0.434397,3.649506,-2.528359,0.975,2.15
