x_m,y_m,d_right,d_left
-0.8796605479727249,15.600431682996346,1.7000000000000002,1.475
-1.0343045549561185,15.402631737673929,1.2750000000000001,1.675
-1.1634590783304313,15.193555498954339,0.9750000000000001,0.949999988079071
-1.2058027063913077,14.946074985725371,0.9,0.9000000357627869
-1.2349989718798178,14.69726290018191,0.8500000000000001,0.8500000238418579
-1.2431361576495323,14.446317939138297,0.8500000000000001,1.075
-1.2469146555955948,14.195301789672511,0.9,0.925
-1.2469767586716063,13.944224942056808,0.8500000000000001,0.925
-1.245583637860966,13.69315380694108,0.9,0.925
-1.2435503563222647,13.442085184784474,0.9,0.925
-1.2279764887757287,13.191556831318678,0.9,0.925
-1.2101326464957183,12.941122986816548,0.925,0.9
-1.222976708091104,12.690374871475345,0.925,0.925
-1.2349013882371618,12.439590164000252,0.9,0.925
-1.242026346591006,12.188614423670858,0.9500000000000001,0.925
-1.2469169322369236,11.937606732146453,0.9500000000000001,0.925
-1.2469712507083268,11.686529882725932,0.9500000000000001,0.9750000000000001
-1.2469999999999999,11.435453030539566,0.9500000000000001,1.0
-1.2469999999999999,11.184376175243361,0.9500000000000001,0.9750000000000001
-1.2469999999999999,10.933299319947157,0.9500000000000001,0.9750000000000001
-1.2469999999999999,10.682222464650952,1.0,0.9500000000000001
-1.2470019983649703,10.431145609364942,0.9750000000000001,1.0
-1.2470045598231472,10.180068754081802,1.0,1.0
-1.2489702298345284,9.929000128020629,0.9750000000000001,1.0
-1.2526291956605582,9.67799900332195,0.9750000000000001,1.0
-1.2720851979769332,9.427677108076455,0.9750000000000001,1.0250000000000001
-1.2881289523735726,9.177185269225113,0.9500000000000001,0.9750000000000001
-1.293641600567899,8.92616893912821,0.9500000000000001,0.9750000000000001
-1.296960934956269,8.6751284098493,0.9500000000000001,0.9750000000000001
-1.2969879611623625,8.424051556007662,0.9500000000000001,0.9750000000000001
-1.297,8.172974701359394,0.9500000000000001,0.9500000000000001
-1.297,7.92189784606319,0.9500000000000001,0.9500000000000001
-1.2969046968535007,7.670821016268538,0.9500000000000001,0.925
-1.2967703287962866,7.419744196927013,0.9500000000000001,0.925
-1.2880606487840978,7.168841530816281,0.9,0.925
-1.277881759184306,6.917972523008984,0.9,0.925
-1.2616963601978848,6.667417897976674,0.925,0.9
-1.2482150080016265,6.416772104215815,0.925,0.9500000000000001
-1.2474876049004024,6.16569630261367,0.925,0.9500000000000001
-1.2469110358616007,5.914620201457556,0.9,0.9750000000000001
-1.2466411723265636,5.663543491189352,0.9,0.9750000000000001
-1.240414107947315,5.412619179876073,0.9,0.9750000000000001
-1.2278457761197852,5.161857092828401,0.9,0.9750000000000001
-1.2144423602710122,4.911139039483917,0.925,0.9500000000000001
-1.2005691171056678,4.660445759977851,0.925,0.9
-1.197416641497938,4.4094475860031865,0.925,0.9
-1.1970197456885194,4.158371044408501,0.875,0.9
-1.1970118460718733,3.9072942050131285,0.875,0.9
-1.1974541874872098,3.656220877384987,0.875,0.9
-1.2015618888896809,3.405177626022559,0.875,0.9
-1.2097856333978516,3.154331828130837,0.875,0.9
-1.2297274224394446,2.904048164430523,0.8500000000000001,0.925
-1.2426533249714484,2.653443015464903,0.8500000000000001,0.925
-1.245684276097212,2.4023844553624745,0.8500000000000001,0.925
-1.2469919229875153,2.1513154714514995,0.8500000000000001,0.875
-1.246998255311902,1.9002386162351474,0.8500000000000001,0.875
-1.2469999999999999,1.6491617609609435,0.8500000000000001,0.9
-1.2469999999999999,1.3980849056647382,0.8500000000000001,0.8500000000000001
-1.2469057690595038,1.1470080704809034,0.8500000000000001,0.8250000000000001
-1.2464903607008604,0.8959369494042604,0.8500000000000001,0.8250000000000001
-1.2372960144904426,0.645028497447786,0.8500000000000001,0.8250000000000001
-1.2246519074625755,0.39437237305604217,0.875,0.9750000000000001
-1.1972390795812016,0.1447964845311735,0.8500000000000001,1.1
-1.1410221284052249,-0.09637956946929331,0.9500000000000001,1.2000000000000002
-1.0299843414636314,-0.3215688168514565,1.1500000000000001,1.125
-0.8651930833734118,-0.4980041821481619,1.3,1.125
-0.6518782385511818,-0.6304291202976635,1.1,1.175
-0.41184506316468317,-0.6704811642177981,1.0,1.2000000000000002
-0.16077536398263798,-0.6723767955292305,0.925,1.05
0.09028454625061866,-0.6699821766495654,0.925,0.9500000000000001
0.3413434208080634,-0.6670133071734354,0.9500000000000001,0.8500000000000001
0.5924202759979706,-0.6670060011577612,0.875,0.8500000000000001
0.8434971312068628,-0.6669999999999998,0.9,0.9
1.0945739865030677,-0.6669999999999998,0.875,0.875
1.345650841799273,-0.6669999999999998,0.875,0.875
1.5967276970954782,-0.6669999999999998,0.9,0.9
1.8478045493977326,-0.6669729125255606,0.9,0.875
