event_id,dataset_role,bag,legacy_selected_stage,legacy_hard_valid,legacy_usable_valid,legacy_digest,legacy_d_target,legacy_d_mid,legacy_entry_scale,legacy_exit_scale,legacy_safety_slack,legacy_track_margin_m,legacy_obstacle_margin_m,legacy_curvature_margin,legacy_curvature_rate_margin,legacy_slope_margin,legacy_braking_deficit_m,legacy_velocity_loss,legacy_constructed_actual,legacy_validators_actual,legacy_wall_p50_ms,gqsc_hard_valid,gqsc_selected_usable_valid,gqsc_usable_valid_exists,gqsc_digest,gqsc_d_target,gqsc_d_mid,gqsc_entry_scale,gqsc_exit_scale,gqsc_safety_slack,gqsc_track_margin_m,gqsc_obstacle_margin_m,gqsc_curvature_margin,gqsc_curvature_rate_margin,gqsc_slope_margin,gqsc_braking_deficit_m,gqsc_velocity_loss,gqsc_constructions,gqsc_validators,gqsc_seeded_wall_p50_ms,gqsc_core_p50_ms,selected_digest_exact,selected_parameter_linf_distance,track_margin_delta_m,obstacle_margin_delta_m
SCE001,PILOT_SEEN_DEVELOPMENT_DATA_SUCCESS_CONTROL_AUXILIARY,rosbag2_2026_08_24-19_00_30,M0_V1,1,1,d9d23404d663942d,0.15,0.22695282259450358,1.310934367577036,3.3842202479584516,0.017483366486120217,0.005189512818077814,0.026225049729180328,0.5086515252478068,18.353038180808795,0.3705966688608148,0.0,0.09574849383926398,6,6,5.7615055,1,1,1,3179118708318950,-0.5633127515808236,-0.5580510485546251,1.310934367577036,3.3842202479584516,0.03742092837915153,0.006389740486901475,0.16712551575059698,0.8160175086453675,19.510852054091266,0.6822798097933748,0.0,0.05652202745136923,12,11,18.2939035,12.3387795,0,0.7850038711491286,0.0012002276688236613,0.14090046602141665
SCE002,PILOT_SEEN_DEVELOPMENT_DATA_SUCCESS_CONTROL_AUXILIARY,rosbag2_2026_08_24-19_00_30,M1,1,1,d8755f76f270feba,0.1603125,0.1603125,0.5145810930150512,0.4971684162574945,0.010550143915425617,0.530378934551757,0.015825215873138426,0.8280643416674032,19.221138130789868,0.7055115308104908,0.0,0.21511533060604038,2,2,1.1560489999999999,1,1,1,ab2a6e55926ea336,0.2203125,0.2003125,0.7136694116555473,0.4971684162574945,0.03724589758183102,0.530378934551757,0.05586884637274653,0.5963156551795024,19.221138130789868,0.6762246661090302,0.0,0.21511533060604038,12,11,5.7049815,4.3532475,0,0.19908831864049614,0.0,0.0400436304996081
SCE003,PILOT_SEEN_DEVELOPMENT_DATA_SUCCESS_CONTROL_AUXILIARY,rosbag2_2026_08_24-19_00_30,M0_V1,1,0,ca12d99729f10d84,-0.5371544799026151,-0.5930832368914567,1.310934367577036,3.94735730932694,0.01613603753823571,0.013631181326625143,0.055172760048693315,0.4994475374421118,18.73395424610461,0.494060866449138,0.024368023371953762,0.06656671115127812,10,10,6.928077,1,1,1,a5071d76383f35ea,-0.5471544799026151,-0.5471544799026151,1.310934367577036,3.94735730932694,0.006666635019827671,0.031086417251649325,0.009999952529741507,0.6696533573149378,19.525807033987004,0.4811345388253607,0.0,0.04390452311676416,12,10,23.854654500000002,16.793796,0,0.04592875698884158,0.017455235925024182,-0.04517280751895181
SCE004,PILOT_SEEN_DEVELOPMENT_DATA_SUCCESS_CONTROL_AUXILIARY,rosbag2_2026_08_24-19_00_30,M0_V2,1,1,6f083f28fdccfd41,-0.26125,-0.26125,1.310934367577036,7.397546202396385,0.07417140848229054,0.005862025807701822,0.15746860744726177,0.4629091947099354,19.043146049257256,0.10346189855026144,0.0,0.1140682801059527,4,4,3.139087,1,1,1,b51475b220a6aee7,-0.27125,-0.27125,1.310934367577036,7.397546202396385,0.06750492332052811,0.00584554137519392,0.16746856710492752,0.45999524140150716,19.05436678663495,0.11175140228176517,0.0,0.11386261155327473,12,10,12.6046445,9.2919545,0,0.010000000000000009,-1.648443250790166e-05,0.009999959657665758
SCE005,PILOT_SEEN_DEVELOPMENT_DATA_SUCCESS_CONTROL_AUXILIARY,rosbag2_2026_08_24-19_00_30,M0_V1,1,1,3d31c4c5eac6c042,0.15828320265731108,0.26420277646044976,1.310934367577036,3.335197943455616,0.01828328240435619,0.2264083070877254,0.027424923606534285,0.5412553366506431,17.81008962960332,0.4791137540436157,0.0,0.1306891374460224,6,6,6.6062735,1,1,1,bf76993f313b9901,0.1682832026573111,0.15828320265731108,1.310934367577036,3.335197943455616,0.0016406198204990303,0.4243704708610193,0.0024609297307485456,0.5401222968585135,19.208727587470175,0.7518603240077169,0.0,0.1006261506838418,12,11,25.0344185,18.172720499999997,0,0.10591957380313868,0.1979621637732939,-0.02496399387578574
SCE006,PILOT_SEEN_DEVELOPMENT_DATA_SUCCESS_CONTROL_AUXILIARY,rosbag2_2026_08_24-19_00_30,M0_V2,1,1,d96df603ea031f4c,-0.4166707362433715,-0.4166707362433715,1.310934367577036,7.397546202396385,0.07055268502762913,0.09211331732904507,0.10582902754144369,0.697309788388106,19.219809824893563,0.5970329112303033,0.0,0.10561989293364976,9,9,9.602767,1,1,1,744a3652ee2346e7,-0.4266707362433715,-0.4266707362433715,1.310934367577036,7.397546202396385,0.0639515864218914,0.08202763223181056,0.11582902187233463,0.697309788388106,19.219776828344365,0.5913616404727411,0.0,0.10517936623522531,12,12,25.681734,15.7014005,0,0.010000000000000009,-0.010085685097234509,0.009999994330890938
SCE007,PILOT_SEEN_DEVELOPMENT_DATA_SUCCESS_CONTROL_AUXILIARY,rosbag2_2026_08_24-19_24_17,M0_V1,1,1,9a31c3bebb8cb06a,0.16974513453712126,0.2507782326637334,0.5145810930150512,3.4300741279633424,0.020498415191532986,0.09584503584947501,0.07999999999999996,0.026981377610795443,14.165842660017958,0.0763453237311077,0.0,0.11456971171675065,12,12,8.9408665,1,1,1,7571137ff3479ae5,-0.524633016920255,-0.5330934533627391,1.310934367577036,3.94735730932694,0.005575605754658763,0.10212040763601463,0.008363408631988145,0.6187441674115142,19.29375113311738,0.5474694770828157,0.0,0.05738355798725944,12,12,22.816477499999998,13.508011,0,0.7963532745619848,0.006275371786539613,-0.07163659136801181
SCE008,PILOT_SEEN_DEVELOPMENT_DATA_SUCCESS_CONTROL_AUXILIARY,rosbag2_2026_08_24-19_24_17,M1,1,0,4f6c3c15a0d151a0,0.1628515625,0.1628515625,0.5145810930150512,0.4971684162574945,-0.12715483191099108,0.5224179408375218,-0.19073224786648663,0.47756030759458,18.101361647274484,0.5503695384601512,0.0,0.37185786094405193,2,2,3.666626,1,0,0,ab2b34f3f403f802,0.1753125,0.1753125,0.5145810930150512,0.4971684162574945,-0.1266348748660033,0.5219202970024686,-0.18995231229900494,0.33648717675364526,17.885412793297817,0.5276895104277014,0.0,0.37185786094405193,12,10,8.3456405,4.401259,0,0.012460937500000019,-0.0004976438350532408,0.0007799355674816821
SCE009,PILOT_SEEN_DEVELOPMENT_DATA_SUCCESS_CONTROL_AUXILIARY,rosbag2_2026_08_24-19_24_17,M0_V2,1,1,88bc845606133104,0.274375,0.274375,0.7136694116555473,1.7212425278096128,0.16402430036450155,0.3694473700987303,0.24603645054675233,0.5491136117997052,19.284620177268454,0.7531085397323056,0.0,0.0960713389027642,4,4,6.2951524999999995,1,1,1,f03004c2439562e9,0.15,0.15,0.7136694116555473,1.7212425278096128,0.08110763640492329,0.42018486555258433,0.12166145460738492,0.5491136117997052,19.284620177268454,0.7483854277193143,0.0,0.09080658075449706,12,10,25.759932,19.1253355,0,0.12437499999999999,0.05073749545385403,-0.1243749959393674
SCE010,PILOT_SEEN_DEVELOPMENT_DATA_SUCCESS_CONTROL_AUXILIARY,rosbag2_2026_08_24-19_24_17,M0_V2,1,1,1d495bf3a3b40011,-0.16583532250962685,-0.16583532250962685,1.310934367577036,0.5863116168761787,0.00708877686785601,0.03418686776548463,0.010633165301784014,0.18453125482001287,18.485128102080427,0.056855669178035306,0.0,0.18600618683667502,15,15,13.010836999999999,1,1,1,2f45445205943557,-0.1550152482637479,-0.16501524826374792,1.310934367577036,7.397546202396385,0.0034932826099604943,0.0365895138670127,0.005239923914940742,0.32425529979240986,18.797053422487966,0.11650867945108456,0.0,0.08325396226000989,12,11,32.176732,18.619800499999997,0,6.811234585520206,0.002402646101528072,-0.005393241386843273
