dataset_role,event_id,method,candidate_budget_k,oracle_v2_hard_feasible,oracle_v2_usable_feasible,hard_valid_recovered,usable_valid_recovered,selected_or_constructed_candidate_count,validator_execution_count,unique_path_count,hard_valid_candidate_count,usable_valid_candidate_count,frozen_artifact_candidate_parity,frozen_artifact_candidate_parity_count,best_hard_path_digest,best_usable_path_digest
VALIDATION_SEEN_AFTER_V1,VUE007,H4B_GEOMETRY_LATERAL_TRANSITION,12,True,True,True,True,12,10,10,2,2,True,12,b223371edefdb5a6,b223371edefdb5a6
VALIDATION_SEEN_AFTER_V1,VUE008,PRODUCTION,PRODUCTION,True,True,False,False,7,7,7,0,0,,,,
VALIDATION_SEEN_AFTER_V1,VUE008,H3_FIXED_BOUNDED,24,True,True,False,False,24,21,21,0,0,True,24,,
VALIDATION_SEEN_AFTER_V1,VUE008,H4A_GEOMETRY_TRANSITION,24,True,True,False,False,24,14,14,0,0,True,24,,
VALIDATION_SEEN_AFTER_V1,VUE008,H4B_GEOMETRY_LATERAL_TRANSITION,12,True,True,False,False,12,6,6,0,0,True,12,,
VALIDATION_SEEN_AFTER_V1,VUE009,PRODUCTION,PRODUCTION,True,False,False,False,2,2,1,0,0,,,,
VALIDATION_SEEN_AFTER_V1,VUE009,H3_FIXED_BOUNDED,24,True,False,True,False,24,15,8,2,0,True,24,9523042cb797ab83,
VALIDATION_SEEN_AFTER_V1,VUE009,H4A_GEOMETRY_TRANSITION,24,True,False,True,False,24,11,9,2,0,True,24,9523042cb797ab83,
VALIDATION_SEEN_AFTER_V1,VUE009,H4B_GEOMETRY_LATERAL_TRANSITION,12,True,False,True,False,12,6,6,2,0,True,12,9523042cb797ab83,
VALIDATION_SEEN_AFTER_V1,VUE010,PRODUCTION,PRODUCTION,True,False,False,False,2,2,1,0,0,,,,
VALIDATION_SEEN_AFTER_V1,VUE010,H3_FIXED_BOUNDED,24,True,False,False,False,24,16,8,0,0,True,24,,
VALIDATION_SEEN_AFTER_V1,VUE010,H4A_GEOMETRY_TRANSITION,24,True,False,False,False,24,14,9,0,0,True,24,,
VALIDATION_SEEN_AFTER_V1,VUE010,H4B_GEOMETRY_LATERAL_TRANSITION,12,True,False,False,False,12,7,7,0,0,True,12,,
VALIDATION_SEEN_AFTER_V1,VUE011,PRODUCTION,PRODUCTION,True,False,False,False,2,2,2,0,0,,,,
VALIDATION_SEEN_AFTER_V1,VUE011,H3_FIXED_BOUNDED,24,True,False,True,False,24,24,24,9,0,True,24,d363fc443e01abf3,
VALIDATION_SEEN_AFTER_V1,VUE011,H4A_GEOMETRY_TRANSITION,24,True,False,True,False,24,24,24,7,0,True,24,7a20a7b22008774e,
VALIDATION_SEEN_AFTER_V1,VUE011,H4B_GEOMETRY_LATERAL_TRANSITION,12,True,False,True,False,12,12,12,4,0,True,12,7a20a7b22008774e,
VALIDATION_SEEN_AFTER_V1,VUE012,PRODUCTION,PRODUCTION,True,False,False,False,2,2,1,0,0,,,,
VALIDATION_SEEN_AFTER_V1,VUE012,H3_FIXED_BOUNDED,24,True,False,False,False,24,16,8,0,0,True,24,,
VALIDATION_SEEN_AFTER_V1,VUE012,H4A_GEOMETRY_TRANSITION,24,True,False,False,False,24,14,9,0,0,True,24,,
VALIDATION_SEEN_AFTER_V1,VUE012,H4B_GEOMETRY_LATERAL_TRANSITION,12,True,False,False,False,12,7,7,0,0,True,12,,
VALIDATION_SEEN_AFTER_V1,VUE013,PRODUCTION,PRODUCTION,True,False,False,False,8,8,4,0,0,,,,
VALIDATION_SEEN_AFTER_V1,VUE013,H3_FIXED_BOUNDED,24,True,False,True,False,24,24,14,1,0,True,24,37b63f7febd7e276,
VALIDATION_SEEN_AFTER_V1,VUE013,H4A_GEOMETRY_TRANSITION,24,True,False,False,False,24,23,22,0,0,True,24,,
VALIDATION_SEEN_AFTER_V1,VUE013,H4B_GEOMETRY_LATERAL_TRANSITION,12,True,False,False,False,12,12,12,0,0,True,12,,
VALIDATION_SEEN_AFTER_V1,VUE014,PRODUCTION,PRODUCTION,True,False,False,False,2,2,1,0,0,,,,
VALIDATION_SEEN_AFTER_V1,VUE014,H3_FIXED_BOUNDED,24,True,False,True,False,24,16,8,1,0,True,24,64569fd84dd9a375,
VALIDATION_SEEN_AFTER_V1,VUE014,H4A_GEOMETRY_TRANSITION,24,True,False,True,False,24,14,9,1,0,True,24,64569fd84dd9a375,
VALIDATION_SEEN_AFTER_V1,VUE014,H4B_GEOMETRY_LATERAL_TRANSITION,12,True,False,True,False,12,8,8,1,0,True,12,64569fd84dd9a375,
VALIDATION_SEEN_AFTER_V1,VUE015,PRODUCTION,PRODUCTION,False,False,False,False,2,2,2,0,0,,,,
VALIDATION_SEEN_AFTER_V1,VUE015,H3_FIXED_BOUNDED,24,False,False,False,False,24,24,24,0,0,True,24,,
VALIDATION_SEEN_AFTER_V1,VUE015,H4A_GEOMETRY_TRANSITION,24,False,False,False,False,24,24,24,0,0,True,24,,
VALIDATION_SEEN_AFTER_V1,VUE015,H4B_GEOMETRY_LATERAL_TRANSITION,12,False,False,False,False,12,12,12,0,0,True,12,,
VALIDATION_SEEN_AFTER_V1,VUE016,PRODUCTION,PRODUCTION,False,False,False,False,3,3,3,0,0,,,,
VALIDATION_SEEN_AFTER_V1,VUE016,H3_FIXED_BOUNDED,24,False,False,False,False,24,24,23,0,0,True,24,,
VALIDATION_SEEN_AFTER_V1,VUE016,H4A_GEOMETRY_TRANSITION,24,False,False,False,False,24,24,24,0,0,True,24,,
VALIDATION_SEEN_AFTER_V1,VUE016,H4B_GEOMETRY_LATERAL_TRANSITION,12,False,False,False,False,12,12,12,0,0,True,12,,
VALIDATION_SEEN_AFTER_V1,VUE017,PRODUCTION,PRODUCTION,False,False,False,False,2,2,1,0,0,,,,
VALIDATION_SEEN_AFTER_V1,VUE017,H3_FIXED_BOUNDED,24,False,False,False,False,24,24,13,0,0,True,24,,
VALIDATION_SEEN_AFTER_V1,VUE017,H4A_GEOMETRY_TRANSITION,24,False,False,False,False,24,24,17,0,0,True,24,,
VALIDATION_SEEN_AFTER_V1,VUE017,H4B_GEOMETRY_LATERAL_TRANSITION,12,False,False,False,False,12,12,9,0,0,True,12,,
VALIDATION_SEEN_AFTER_V1,VUE018,PRODUCTION,PRODUCTION,True,True,False,False,9,9,9,0,0,,,,
VALIDATION_SEEN_AFTER_V1,VUE018,H3_FIXED_BOUNDED,24,True,True,False,False,24,24,24,0,0,True,24,,
VALIDATION_SEEN_AFTER_V1,VUE018,H4A_GEOMETRY_TRANSITION,24,True,True,False,False,24,20,20,0,0,True,24,,
VALIDATION_SEEN_AFTER_V1,VUE018,H4B_GEOMETRY_LATERAL_TRANSITION,12,True,True,False,False,12,9,9,0,0,True,12,,
VALIDATION_SEEN_AFTER_V1,VUE019,PRODUCTION,PRODUCTION,False,False,False,False,30,30,30,0,0,,,,
VALIDATION_SEEN_AFTER_V1,VUE019,H3_FIXED_BOUNDED,24,False,False,False,False,24,24,24,0,0,True,24,,
VALIDATION_SEEN_AFTER_V1,VUE019,H4A_GEOMETRY_TRANSITION,24,False,False,False,False,24,24,24,0,0,True,24,,
VALIDATION_SEEN_AFTER_V1,VUE019,H4B_GEOMETRY_LATERAL_TRANSITION,12,False,False,False,False,12,12,12,0,0,True,12,,
VALIDATION_SEEN_AFTER_V1,VUE020,PRODUCTION,PRODUCTION,True,True,False,False,2,2,1,0,0,,,,
VALIDATION_SEEN_AFTER_V1,VUE020,H3_FIXED_BOUNDED,24,True,True,False,False,24,8,4,0,0,True,24,,
VALIDATION_SEEN_AFTER_V1,VUE020,H4A_GEOMETRY_TRANSITION,24,True,True,False,False,24,8,4,0,0,True,24,,
VALIDATION_SEEN_AFTER_V1,VUE020,H4B_GEOMETRY_LATERAL_TRANSITION,12,True,True,False,False,12,4,4,0,0,True,12,,
VALIDATION_SEEN_AFTER_V1,VUE021,PRODUCTION,PRODUCTION,False,False,False,False,21,21,21,0,0,,,,
VALIDATION_SEEN_AFTER_V1,VUE021,H3_FIXED_BOUNDED,24,False,False,False,False,24,24,24,0,0,True,24,,
VALIDATION_SEEN_AFTER_V1,VUE021,H4A_GEOMETRY_TRANSITION,24,False,False,False,False,24,24,24,0,0,True,24,,
VALIDATION_SEEN_AFTER_V1,VUE021,H4B_GEOMETRY_LATERAL_TRANSITION,12,False,False,False,False,12,12,12,0,0,True,12,,
VALIDATION_SEEN_AFTER_V1,VUE022,PRODUCTION,PRODUCTION,False,False,False,False,6,6,6,0,0,,,,
VALIDATION_SEEN_AFTER_V1,VUE022,H3_FIXED_BOUNDED,24,False,False,False,False,24,24,24,0,0,True,24,,
VALIDATION_SEEN_AFTER_V1,VUE022,H4A_GEOMETRY_TRANSITION,24,False,False,False,False,24,24,24,0,0,True,24,,
VALIDATION_SEEN_AFTER_V1,VUE022,H4B_GEOMETRY_LATERAL_TRANSITION,12,False,False,False,False,12,12,12,0,0,True,12,,
VALIDATION_SEEN_AFTER_V1,VUE023,PRODUCTION,PRODUCTION,True,True,False,False,2,2,1,0,0,,,,
VALIDATION_SEEN_AFTER_V1,VUE023,H3_FIXED_BOUNDED,24,True,True,True,True,24,8,4,2,2,True,24,70d9bf8e9f3bc2ba,70d9bf8e9f3bc2ba
VALIDATION_SEEN_AFTER_V1,VUE023,H4A_GEOMETRY_TRANSITION,24,True,True,True,True,24,8,4,2,2,True,24,70d9bf8e9f3bc2ba,70d9bf8e9f3bc2ba
VALIDATION_SEEN_AFTER_V1,VUE023,H4B_GEOMETRY_LATERAL_TRANSITION,12,True,True,True,True,12,4,4,2,2,True,12,70d9bf8e9f3bc2ba,70d9bf8e9f3bc2ba
VALIDATION_SEEN_AFTER_V1,VUE024,PRODUCTION,PRODUCTION,True,True,False,False,2,2,1,0,0,,,,
VALIDATION_SEEN_AFTER_V1,VUE024,H3_FIXED_BOUNDED,24,True,True,True,True,24,24,13,3,3,True,24,5a8e03ae6705b64c,5a8e03ae6705b64c
VALIDATION_SEEN_AFTER_V1,VUE024,H4A_GEOMETRY_TRANSITION,24,True,True,True,True,24,24,17,3,3,True,24,5a8e03ae6705b64c,5a8e03ae6705b64c
VALIDATION_SEEN_AFTER_V1,VUE024,H4B_GEOMETRY_LATERAL_TRANSITION,12,True,True,True,True,12,12,12,3,3,True,12,5a8e03ae6705b64c,5a8e03ae6705b64c
VALIDATION_SEEN_AFTER_V1,VUE025,PRODUCTION,PRODUCTION,True,True,False,False,20,20,19,0,0,,,,
VALIDATION_SEEN_AFTER_V1,VUE025,H3_FIXED_BOUNDED,24,True,True,False,False,24,24,22,0,0,True,24,,
VALIDATION_SEEN_AFTER_V1,VUE025,H4A_GEOMETRY_TRANSITION,24,True,True,False,False,24,24,24,0,0,True,24,,
VALIDATION_SEEN_AFTER_V1,VUE025,H4B_GEOMETRY_LATERAL_TRANSITION,12,True,True,False,False,12,12,12,0,0,True,12,,
VALIDATION_SEEN_AFTER_V1,VUE026,PRODUCTION,PRODUCTION,True,True,False,False,7,7,7,0,0,,,,
VALIDATION_SEEN_AFTER_V1,VUE026,H3_FIXED_BOUNDED,24,True,True,False,False,24,21,21,0,0,True,24,,
VALIDATION_SEEN_AFTER_V1,VUE026,H4A_GEOMETRY_TRANSITION,24,True,True,False,False,24,14,14,0,0,True,24,,
VALIDATION_SEEN_AFTER_V1,VUE026,H4B_GEOMETRY_LATERAL_TRANSITION,12,True,True,False,False,12,5,5,0,0,True,12,,
VALIDATION_SEEN_AFTER_V1,VUE027,PRODUCTION,PRODUCTION,True,True,False,False,30,30,25,0,0,,,,
VALIDATION_SEEN_AFTER_V1,VUE027,H3_FIXED_BOUNDED,24,True,True,False,False,24,24,24,0,0,True,24,,
VALIDATION_SEEN_AFTER_V1,VUE027,H4A_GEOMETRY_TRANSITION,24,True,True,True,True,24,24,23,2,2,True,24,2851ceb5f5b66049,2851ceb5f5b66049
VALIDATION_SEEN_AFTER_V1,VUE027,H4B_GEOMETRY_LATERAL_TRANSITION,12,True,True,True,True,12,11,11,2,2,True,12,2851ceb5f5b66049,2851ceb5f5b66049
VALIDATION_SEEN_AFTER_V1,VUE028,PRODUCTION,PRODUCTION,True,True,False,False,9,9,9,0,0,,,,
VALIDATION_SEEN_AFTER_V1,VUE028,H3_FIXED_BOUNDED,24,True,True,True,True,24,24,24,2,2,True,24,18e7e5bc5a494f6e,18e7e5bc5a494f6e
VALIDATION_SEEN_AFTER_V1,VUE028,H4A_GEOMETRY_TRANSITION,24,True,True,True,True,24,20,20,5,5,True,24,c5befcfebed2d72d,c5befcfebed2d72d
VALIDATION_SEEN_AFTER_V1,VUE028,H4B_GEOMETRY_LATERAL_TRANSITION,12,True,True,True,True,12,10,10,2,2,True,12,1bdae01dd086a301,1bdae01dd086a301
VALIDATION_SEEN_AFTER_V1,VUE029,PRODUCTION,PRODUCTION,False,False,False,False,7,7,7,0,0,,,,
VALIDATION_SEEN_AFTER_V1,VUE029,H3_FIXED_BOUNDED,24,False,False,False,False,24,24,24,0,0,True,24,,
VALIDATION_SEEN_AFTER_V1,VUE029,H4A_GEOMETRY_TRANSITION,24,False,False,False,False,24,19,19,0,0,True,24,,
VALIDATION_SEEN_AFTER_V1,VUE029,H4B_GEOMETRY_LATERAL_TRANSITION,12,False,False,False,False,12,10,10,0,0,True,12,,
VALIDATION_SEEN_AFTER_V1,VUE030,PRODUCTION,PRODUCTION,True,True,False,False,9,9,9,0,0,,,,
VALIDATION_SEEN_AFTER_V1,VUE030,H3_FIXED_BOUNDED,24,True,True,True,True,24,24,24,1,1,True,24,ecd584f47ac02ae8,ecd584f47ac02ae8
VALIDATION_SEEN_AFTER_V1,VUE030,H4A_GEOMETRY_TRANSITION,24,True,True,True,True,24,20,20,4,4,True,24,b8731f9e01f2fd83,b8731f9e01f2fd83
VALIDATION_SEEN_AFTER_V1,VUE030,H4B_GEOMETRY_LATERAL_TRANSITION,12,True,True,True,True,12,10,10,2,2,True,12,b8731f9e01f2fd83,b8731f9e01f2fd83
VALIDATION_SEEN_AFTER_V1,VUE031,PRODUCTION,PRODUCTION,False,False,False,False,7,7,4,0,0,,,,
VALIDATION_SEEN_AFTER_V1,VUE031,H3_FIXED_BOUNDED,24,False,False,False,False,24,24,14,0,0,True,24,,
VALIDATION_SEEN_AFTER_V1,VUE031,H4A_GEOMETRY_TRANSITION,24,False,False,False,False,24,19,17,0,0,True,24,,
VALIDATION_SEEN_AFTER_V1,VUE031,H4B_GEOMETRY_LATERAL_TRANSITION,12,False,False,False,False,12,8,8,0,0,True,12,,
VALIDATION_SEEN_AFTER_V1,VUE032,PRODUCTION,PRODUCTION,True,True,False,False,12,12,12,0,0,,,,
VALIDATION_SEEN_AFTER_V1,VUE032,H3_FIXED_BOUNDED,24,True,True,False,False,24,24,24,0,0,True,24,,
VALIDATION_SEEN_AFTER_V1,VUE032,H4A_GEOMETRY_TRANSITION,24,True,True,False,False,24,24,24,0,0,True,24,,
VALIDATION_SEEN_AFTER_V1,VUE032,H4B_GEOMETRY_LATERAL_TRANSITION,12,True,True,False,False,12,12,12,0,0,True,12,,
VALIDATION_SEEN_AFTER_V1,VUE033,PRODUCTION,PRODUCTION,True,True,False,False,2,2,2,0,0,,,,
VALIDATION_SEEN_AFTER_V1,VUE033,H3_FIXED_BOUNDED,24,True,True,True,True,24,24,24,1,1,True,24,5958b5389aef261a,5958b5389aef261a
VALIDATION_SEEN_AFTER_V1,VUE033,H4A_GEOMETRY_TRANSITION,24,True,True,True,True,24,24,24,3,3,True,24,390a1197471bddf2,390a1197471bddf2
VALIDATION_SEEN_AFTER_V1,VUE033,H4B_GEOMETRY_LATERAL_TRANSITION,12,True,True,True,True,12,12,12,2,2,True,12,390a1197471bddf2,390a1197471bddf2
VALIDATION_SEEN_AFTER_V1,VUE034,PRODUCTION,PRODUCTION,True,True,False,False,2,2,2,0,0,,,,
VALIDATION_SEEN_AFTER_V1,VUE034,H3_FIXED_BOUNDED,24,True,True,True,True,24,24,24,8,8,True,24,b0295f09c3d2ba25,b0295f09c3d2ba25
VALIDATION_SEEN_AFTER_V1,VUE034,H4A_GEOMETRY_TRANSITION,24,True,True,True,True,24,24,24,5,5,True,24,6bc9726784cf254c,6bc9726784cf254c
VALIDATION_SEEN_AFTER_V1,VUE034,H4B_GEOMETRY_LATERAL_TRANSITION,12,True,True,True,True,12,12,12,4,4,True,12,6bc9726784cf254c,6bc9726784cf254c
VALIDATION_SEEN_AFTER_V1,VUE035,PRODUCTION,PRODUCTION,True,True,False,False,3,3,3,0,0,,,,
VALIDATION_SEEN_AFTER_V1,VUE035,H3_FIXED_BOUNDED,24,True,True,False,False,24,24,24,0,0,True,24,,
VALIDATION_SEEN_AFTER_V1,VUE035,H4A_GEOMETRY_TRANSITION,24,True,True,False,False,24,24,24,0,0,True,24,,
VALIDATION_SEEN_AFTER_V1,VUE035,H4B_GEOMETRY_LATERAL_TRANSITION,12,True,True,False,False,12,12,12,0,0,True,12,,
VALIDATION_SEEN_AFTER_V1,VUE036,PRODUCTION,PRODUCTION,True,True,False,False,3,3,3,0,0,,,,
VALIDATION_SEEN_AFTER_V1,VUE036,H3_FIXED_BOUNDED,24,True,True,True,True,24,24,24,1,1,True,24,95a7394f79189d58,95a7394f79189d58
VALIDATION_SEEN_AFTER_V1,VUE036,H4A_GEOMETRY_TRANSITION,24,True,True,True,True,24,24,24,1,1,True,24,95a7394f79189d58,95a7394f79189d58
VALIDATION_SEEN_AFTER_V1,VUE036,H4B_GEOMETRY_LATERAL_TRANSITION,12,True,True,True,True,12,12,12,1,1,True,12,95a7394f79189d58,95a7394f79189d58
VALIDATION_SEEN_AFTER_V1,VUE037,PRODUCTION,PRODUCTION,False,False,False,False,17,17,9,0,0,,,,
VALIDATION_SEEN_AFTER_V1,VUE037,H3_FIXED_BOUNDED,24,False,False,False,False,24,24,21,0,0,True,24,,
VALIDATION_SEEN_AFTER_V1,VUE037,H4A_GEOMETRY_TRANSITION,24,False,False,False,False,24,24,24,0,0,True,24,,
VALIDATION_SEEN_AFTER_V1,VUE037,H4B_GEOMETRY_LATERAL_TRANSITION,12,False,False,False,False,12,12,12,0,0,True,12,,
