dataset_role,event_id,method,candidate_budget_k,oracle_v2_hard_feasible,oracle_v2_usable_feasible,hard_valid_recovered,usable_valid_recovered,selected_or_constructed_candidate_count,validator_execution_count,unique_path_count,hard_valid_candidate_count,usable_valid_candidate_count,frozen_artifact_candidate_parity,frozen_artifact_candidate_parity_count,best_hard_path_digest,best_usable_path_digest
DEVELOPMENT,DVE011,H4A_GEOMETRY_TRANSITION,24,False,False,False,False,24,14,9,0,0,True,24,,
DEVELOPMENT,DVE011,H4B_GEOMETRY_LATERAL_TRANSITION,12,False,False,False,False,12,8,8,0,0,True,12,,
DEVELOPMENT,DVE012,PRODUCTION,PRODUCTION,True,True,False,False,30,30,30,0,0,,,,
DEVELOPMENT,DVE012,H3_FIXED_BOUNDED,24,True,True,False,False,24,24,24,0,0,True,24,,
DEVELOPMENT,DVE012,H4A_GEOMETRY_TRANSITION,24,True,True,True,True,24,24,24,2,2,True,24,a0feee5ff0eec82b,a0feee5ff0eec82b
DEVELOPMENT,DVE012,H4B_GEOMETRY_LATERAL_TRANSITION,12,True,True,True,True,12,11,11,2,2,True,12,a0feee5ff0eec82b,a0feee5ff0eec82b
DEVELOPMENT,DVE013,PRODUCTION,PRODUCTION,False,False,False,False,4,4,2,0,0,,,,
DEVELOPMENT,DVE013,H3_FIXED_BOUNDED,24,False,False,False,False,24,19,11,0,0,True,24,,
DEVELOPMENT,DVE013,H4A_GEOMETRY_TRANSITION,24,False,False,False,False,24,15,15,0,0,True,24,,
DEVELOPMENT,DVE013,H4B_GEOMETRY_LATERAL_TRANSITION,12,False,False,False,False,12,2,2,0,0,True,12,,
DEVELOPMENT,DVE014,PRODUCTION,PRODUCTION,True,True,False,False,9,9,8,0,0,,,,
DEVELOPMENT,DVE014,H3_FIXED_BOUNDED,24,True,True,False,False,24,24,20,0,0,True,24,,
DEVELOPMENT,DVE014,H4A_GEOMETRY_TRANSITION,24,True,True,True,True,24,20,20,2,2,True,24,688f323ac5b5281a,688f323ac5b5281a
DEVELOPMENT,DVE014,H4B_GEOMETRY_LATERAL_TRANSITION,12,True,True,True,True,12,10,10,1,1,True,12,688f323ac5b5281a,688f323ac5b5281a
DEVELOPMENT,DVE015,PRODUCTION,PRODUCTION,True,True,False,False,2,2,1,0,0,,,,
DEVELOPMENT,DVE015,H3_FIXED_BOUNDED,24,True,True,True,True,24,8,4,2,2,True,24,602d3be1ba00d3cb,602d3be1ba00d3cb
DEVELOPMENT,DVE015,H4A_GEOMETRY_TRANSITION,24,True,True,True,True,24,8,4,2,2,True,24,602d3be1ba00d3cb,602d3be1ba00d3cb
DEVELOPMENT,DVE015,H4B_GEOMETRY_LATERAL_TRANSITION,12,True,True,True,True,12,4,4,2,2,True,12,602d3be1ba00d3cb,602d3be1ba00d3cb
DEVELOPMENT,DVE016,PRODUCTION,PRODUCTION,False,False,False,False,7,7,4,0,0,,,,
DEVELOPMENT,DVE016,H3_FIXED_BOUNDED,24,False,False,False,False,24,23,14,0,0,True,24,,
DEVELOPMENT,DVE016,H4A_GEOMETRY_TRANSITION,24,False,False,False,False,24,18,17,0,0,True,24,,
DEVELOPMENT,DVE016,H4B_GEOMETRY_LATERAL_TRANSITION,12,False,False,False,False,12,8,8,0,0,True,12,,
DEVELOPMENT,DVE017,PRODUCTION,PRODUCTION,True,True,False,False,2,2,1,0,0,,,,
DEVELOPMENT,DVE017,H3_FIXED_BOUNDED,24,True,True,True,True,24,24,13,4,4,True,24,bc6cb2885e4141a3,bc6cb2885e4141a3
DEVELOPMENT,DVE017,H4A_GEOMETRY_TRANSITION,24,True,True,True,True,24,24,17,4,4,True,24,bc6cb2885e4141a3,bc6cb2885e4141a3
DEVELOPMENT,DVE017,H4B_GEOMETRY_LATERAL_TRANSITION,12,True,True,True,True,12,12,12,4,4,True,12,bc6cb2885e4141a3,bc6cb2885e4141a3
DEVELOPMENT,DVE018,PRODUCTION,PRODUCTION,True,True,False,False,9,9,9,0,0,,,,
DEVELOPMENT,DVE018,H3_FIXED_BOUNDED,24,True,True,True,True,24,24,24,6,6,True,24,4ec7525c20ab9ded,4ec7525c20ab9ded
DEVELOPMENT,DVE018,H4A_GEOMETRY_TRANSITION,24,True,True,True,True,24,20,20,5,5,True,24,a0699a49449cddb1,a0699a49449cddb1
DEVELOPMENT,DVE018,H4B_GEOMETRY_LATERAL_TRANSITION,12,True,True,True,True,12,10,10,2,2,True,12,17cd9e6e8b2a381c,17cd9e6e8b2a381c
DEVELOPMENT,DVE019,PRODUCTION,PRODUCTION,True,False,False,False,5,5,4,0,0,,,,
DEVELOPMENT,DVE019,H3_FIXED_BOUNDED,24,True,False,True,False,24,23,21,2,0,True,24,4d1da368290ee309,
DEVELOPMENT,DVE019,H4A_GEOMETRY_TRANSITION,24,True,False,True,False,24,21,21,2,0,True,24,4c2be52d52210533,
DEVELOPMENT,DVE019,H4B_GEOMETRY_LATERAL_TRANSITION,12,True,False,True,False,12,11,11,2,0,True,12,4c2be52d52210533,
DEVELOPMENT,DVE020,PRODUCTION,PRODUCTION,True,True,False,False,3,3,3,0,0,,,,
DEVELOPMENT,DVE020,H3_FIXED_BOUNDED,24,True,True,True,True,24,24,24,2,2,True,24,086e59b74469eabb,086e59b74469eabb
DEVELOPMENT,DVE020,H4A_GEOMETRY_TRANSITION,24,True,True,True,True,24,24,24,3,3,True,24,086e59b74469eabb,086e59b74469eabb
DEVELOPMENT,DVE020,H4B_GEOMETRY_LATERAL_TRANSITION,12,True,True,True,True,12,12,12,3,3,True,12,086e59b74469eabb,086e59b74469eabb
