dataset_role,event_id,bag,elapsed_s,callback_sequence,evaluation_sequence,old_oracle_label,oracle_v2_hard_label,oracle_v2_usable_label,declared_request_count,constructed_path_count,validator_execution_count,unique_constructed_path_digest_count,hard_valid_count,usable_valid_count,best_hard_gate,best_hard_side,best_hard_d_target,best_hard_d_mid,best_hard_entry_scale,best_hard_exit_scale,best_hard_path_digest,best_hard_exit_reaches_next_obstacle,best_hard_braking_deficit_m,best_hard_velocity_loss,best_hard_minimum_normalized_safety_slack,best_hard_obstacle_margin_m,best_usable_path_digest,exact_input_lineage,production_digest_and_validator_parity,coverage_complete,runtime_wall_s,old_negative_became_oracle_v2_positive,old_miss_cause_if_identifiable,historical_artifact_overwritten
DEVELOPMENT,DVE002,rosbag2_2026_08_24-19_00_30,540.620135977,19268,1,ORACLE_VALID_P3_EXISTS,ORACLE_V2_HARD_VALID_P3_EXISTS,ORACLE_V2_USABLE_VALID_P3_EXISTS,90780,35208,35208,8802,128,128,STRICT,LEFT,0.52000000000000002,0.38,0.51458109301505117,0.49716841625749453,e35cdffd36d9fc8c,0,0,0.18701656262203464,0.17783537014984155,0.39051970657196555,e35cdffd36d9fc8c,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True,3.2537017009890405,False,UNCHANGED,False
DEVELOPMENT,DVE003,rosbag2_2026_08_25-09_59_22,1019.770095303,39120,1,NO_VALID_P3_FOUND_IN_ORACLE_DOMAIN,NO_HARD_VALID_P3_IN_DECLARED_FINITE_DOMAIN,NO_USABLE_VALID_P3_IN_DECLARED_FINITE_DOMAIN,153524,75264,75264,37632,0,0,,,,,,,,,,,,,,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True,4.9516845980106154,False,UNCHANGED,False
DEVELOPMENT,DVE004,rosbag2_2026_08_24-19_24_17,596.260105794,23493,1,ORACLE_VALID_P3_EXISTS,ORACLE_V2_HARD_VALID_P3_EXISTS,NO_USABLE_VALID_P3_IN_DECLARED_FINITE_DOMAIN,68618,656,656,328,6,0,STRICT,LEFT,0.14999999999999999,0.14999999999999999,1.310934367577036,6.6778298962198157,02ad20ab80135e1b,1,0,0.13873871393150219,-0.069340380086805542,-0.10401057013020831,,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True,1.3985575790065923,False,UNCHANGED,False
DEVELOPMENT,DVE005,rosbag2_2026_08_24-19_24_17,637.11014269,25100,1,ORACLE_VALID_P3_EXISTS,ORACLE_V2_HARD_VALID_P3_EXISTS,ORACLE_V2_USABLE_VALID_P3_EXISTS,477744,4164,4164,2082,22,22,STRICT,RIGHT,-0.39115057871499376,-0.44115057871499308,0.51458109301505117,0.60498681916591468,735c08c37055d5be,0,0,0.16962936567886347,0.0082469671441544948,1.5,735c08c37055d5be,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True,6.04537930098013,False,UNCHANGED,False
DEVELOPMENT,DVE006,rosbag2_2026_08_24-19_00_30,556.070105096,19818,1,ORACLE_VALID_P3_EXISTS,ORACLE_V2_HARD_VALID_P3_EXISTS,NO_USABLE_VALID_P3_IN_DECLARED_FINITE_DOMAIN,127938,86602,86602,36090,1796,0,STRICT,LEFT,0.58999999999999997,0.44,0.51458109301505117,0.49716841625749453,a7808d6195a29522,1,0,0.3927263201561173,-0.094185914845477392,-0.14127887226821609,,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True,7.058488946997386,False,UNCHANGED,False
DEVELOPMENT,DVE007,rosbag2_2026_08_24-19_24_17,607.510060878,23923,1,ORACLE_VALID_P3_EXISTS,ORACLE_V2_HARD_VALID_P3_EXISTS,NO_USABLE_VALID_P3_IN_DECLARED_FINITE_DOMAIN,93092,1312,1312,656,6,0,STRICT,RIGHT,-0.22759675466956231,-0.22759675466956231,1.310934367577036,7.3975462023963852,19d0c38394f7bb60,1,0,0.20176281796938458,-0.47440252329842242,-0.71160378494763366,,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True,1.766337098000804,False,UNCHANGED,False
DEVELOPMENT,DVE008,rosbag2_2026_08_24-19_00_30,436.890084667,15424,1,NO_VALID_P3_FOUND_IN_ORACLE_DOMAIN,NO_HARD_VALID_P3_IN_DECLARED_FINITE_DOMAIN,NO_USABLE_VALID_P3_IN_DECLARED_FINITE_DOMAIN,73872,20736,20736,5184,0,0,,,,,,,,,,,,,,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True,2.107205216001603,False,UNCHANGED,False
DEVELOPMENT,DVE009,rosbag2_2026_08_24-19_00_30,540.040086959,19245,1,NO_VALID_P3_FOUND_IN_ORACLE_DOMAIN,NO_HARD_VALID_P3_IN_DECLARED_FINITE_DOMAIN,NO_USABLE_VALID_P3_IN_DECLARED_FINITE_DOMAIN,193620,18522,18522,6174,0,0,,,,,,,,,,,,,,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True,4.890924215003906,False,UNCHANGED,False
DEVELOPMENT,DVE010,rosbag2_2026_08_24-19_00_30,542.840073923,19351,1,NO_VALID_P3_FOUND_IN_ORACLE_DOMAIN,NO_HARD_VALID_P3_IN_DECLARED_FINITE_DOMAIN,NO_USABLE_VALID_P3_IN_DECLARED_FINITE_DOMAIN,78040,37816,37816,9454,0,0,,,,,,,,,,,,,,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True,3.4129118580094655,False,UNCHANGED,False
DEVELOPMENT,DVE011,rosbag2_2026_08_24-19_00_30,550.800105388,19637,1,NO_VALID_P3_FOUND_IN_ORACLE_DOMAIN,NO_HARD_VALID_P3_IN_DECLARED_FINITE_DOMAIN,NO_USABLE_VALID_P3_IN_DECLARED_FINITE_DOMAIN,96496,33904,33904,8476,0,0,,,,,,,,,,,,,,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True,3.6827390649923473,False,UNCHANGED,False
DEVELOPMENT,DVE012,rosbag2_2026_08_24-19_00_30,502.350083951,17797,1,ORACLE_VALID_P3_EXISTS,ORACLE_V2_HARD_VALID_P3_EXISTS,ORACLE_V2_USABLE_VALID_P3_EXISTS,3796912,182700,182700,91214,2312,2312,STRICT,RIGHT,-0.41999999999999998,-0.42726642042782043,0.51458261193838062,7.3975462023963852,cbc26fb9d92a8728,0,0,0.12053377973812512,0.025509715391280035,1.5,cbc26fb9d92a8728,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True,67.48742030994617,False,UNCHANGED,False
DEVELOPMENT,DVE013,rosbag2_2026_08_24-19_00_30,432.890075117,15317,1,NO_VALID_P3_FOUND_IN_ORACLE_DOMAIN,NO_HARD_VALID_P3_IN_DECLARED_FINITE_DOMAIN,NO_USABLE_VALID_P3_IN_DECLARED_FINITE_DOMAIN,63024,27624,27624,6906,0,0,,,,,,,,,,,,,,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True,2.3673831579944817,False,UNCHANGED,False
DEVELOPMENT,DVE014,rosbag2_2026_08_24-19_24_17,724.130108493,28107,1,ORACLE_VALID_P3_EXISTS,ORACLE_V2_HARD_VALID_P3_EXISTS,ORACLE_V2_USABLE_VALID_P3_EXISTS,725392,28320,28320,12390,134,134,STRICT,RIGHT,-0.37068151566060736,-0.37068151566060736,1.310934367577036,7.3975462023963852,688f323ac5b5281a,0,0,0.14664790094170216,0.010418885059601805,1.5,688f323ac5b5281a,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True,10.631647969996266,False,UNCHANGED,False
DEVELOPMENT,DVE015,rosbag2_2026_08_24-19_24_17,451.360084483,17738,1,ORACLE_VALID_P3_EXISTS,ORACLE_V2_HARD_VALID_P3_EXISTS,ORACLE_V2_USABLE_VALID_P3_EXISTS,157508,14256,14256,3564,1216,1216,STRICT,RIGHT,-0.38183455689036017,-0.56000000000000005,0.51458109301505117,0.49716841625749453,ae514dd2ce0bd435,0,0,0.18104793975537944,0.13307379427718893,0.19961069141578341,ae514dd2ce0bd435,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True,2.4380854009941686,False,UNCHANGED,False
DEVELOPMENT,DVE016,rosbag2_2026_08_25-09_59_22,131.890234914,5379,1,NO_VALID_P3_FOUND_IN_ORACLE_DOMAIN,NO_HARD_VALID_P3_IN_DECLARED_FINITE_DOMAIN,NO_USABLE_VALID_P3_IN_DECLARED_FINITE_DOMAIN,396342,4074,4074,1026,0,0,,,,,,,,,,,,,,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True,5.65717589599808,False,UNCHANGED,False
DEVELOPMENT,DVE017,rosbag2_2026_08_24-19_24_17,475.030131896,18681,1,ORACLE_VALID_P3_EXISTS,ORACLE_V2_HARD_VALID_P3_EXISTS,ORACLE_V2_USABLE_VALID_P3_EXISTS,157508,64800,64800,16200,3100,3100,STRICT,RIGHT,-0.38183455689036017,-0.41999999999999998,0.51458109301505117,0.49716841625749453,24297c8f2e0bbb31,0,0,0.18201632364565745,0.053369939122990449,0.080054908684485671,24297c8f2e0bbb31,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True,4.94683454099868,False,UNCHANGED,False
DEVELOPMENT,DVE018,rosbag2_2026_08_24-19_00_30,503.810092178,17837,1,ORACLE_VALID_P3_EXISTS,ORACLE_V2_HARD_VALID_P3_EXISTS,ORACLE_V2_USABLE_VALID_P3_EXISTS,812320,28320,28320,14160,1076,1076,STRICT,RIGHT,-0.40484246495566689,-0.4148424649556669,1.310934367577036,7.3975462023963852,c820f21153036bb8,0,0,0.12006259639597587,0.003332717508313062,1.5,c820f21153036bb8,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True,11.842850206019648,False,UNCHANGED,False
DEVELOPMENT,DVE019,rosbag2_2026_08_24-19_00_30,521.070291282,18496,1,ORACLE_VALID_P3_EXISTS,ORACLE_V2_HARD_VALID_P3_EXISTS,NO_USABLE_VALID_P3_IN_DECLARED_FINITE_DOMAIN,176794,98074,98074,45101,1248,0,STRICT,RIGHT,-0.63665159609587541,-0.66287578990687734,0.51458109301505117,0.49716841625749453,0ba506c6ca4e08f3,0,0.17454341665440787,0.27429059494499164,0.0085431665990971517,0.012814749898645728,,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True,6.538249928998994,False,UNCHANGED,False
DEVELOPMENT,DVE020,rosbag2_2026_08_25-09_59_22,943.440243488,36131,1,ORACLE_VALID_P3_EXISTS,ORACLE_V2_HARD_VALID_P3_EXISTS,ORACLE_V2_USABLE_VALID_P3_EXISTS,120344,45696,45696,22848,718,718,STRICT,RIGHT,-0.58999999999999997,-0.60072955307509812,0.71366941165554731,0.49716841625749453,b0bf728ca9924030,0,0,0.16020501161026054,0.021948887530535328,0.10100816796372802,b0bf728ca9924030,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True,4.008132785995258,False,UNCHANGED,False
DEVELOPMENT,DVE021,rosbag2_2026_08_24-19_24_17,282.730123782,11297,2,NO_VALID_P3_FOUND_IN_ORACLE_DOMAIN,NO_HARD_VALID_P3_IN_DECLARED_FINITE_DOMAIN,NO_USABLE_VALID_P3_IN_DECLARED_FINITE_DOMAIN,129908,6480,6480,1620,0,0,,,,,,,,,,,,,,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True,1.7753682709953864,False,UNCHANGED,False
DEVELOPMENT,DVE022,rosbag2_2026_08_24-19_00_30,456.340144384,16031,1,ORACLE_VALID_P3_EXISTS,ORACLE_V2_HARD_VALID_P3_EXISTS,ORACLE_V2_USABLE_VALID_P3_EXISTS,119866,68234,68234,27890,394,394,STRICT,LEFT,0.10281800756798225,0.077113505675986682,0.51458109301505117,0.49716841625749453,ff71459bd19cc5b9,0,0,0.20213831876695504,0.0013951133882592059,0.0020926700823888089,ff71459bd19cc5b9,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True,5.644187780999346,False,UNCHANGED,False
DEVELOPMENT,DVE023,rosbag2_2026_08_24-19_24_17,337.010090849,13306,1,ORACLE_VALID_P3_EXISTS,ORACLE_V2_HARD_VALID_P3_EXISTS,NO_USABLE_VALID_P3_IN_DECLARED_FINITE_DOMAIN,101280,29040,29040,9240,520,0,STRICT,LEFT,0.53327892574046953,0.54308419430535215,0.51458109301505117,0.49716841625749453,4f3964b011f2c16b,1,0,0.33118698442622385,-0.10999257189440748,-0.16498885784161121,,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True,2.9149985240001115,False,UNCHANGED,False
DEVELOPMENT,DVE024,rosbag2_2026_08_24-19_24_17,440.410079648,17339,1,ORACLE_VALID_P3_EXISTS,ORACLE_V2_HARD_VALID_P3_EXISTS,ORACLE_V2_USABLE_VALID_P3_EXISTS,2421384,250038,250038,125019,3444,3444,STRICT,RIGHT,-0.45966705945396313,-0.45000000000000001,1.310934367577036,3.9473573093269398,fc25fe65756e8094,0,0,0.078389774200531281,0.14474431426005677,0.41157187038140924,fc25fe65756e8094,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True,63.198723981986404,False,UNCHANGED,False
DEVELOPMENT,DVE025,rosbag2_2026_08_25-09_59_22,157.190081808,6371,1,NO_VALID_P3_FOUND_IN_ORACLE_DOMAIN,NO_HARD_VALID_P3_IN_DECLARED_FINITE_DOMAIN,NO_USABLE_VALID_P3_IN_DECLARED_FINITE_DOMAIN,388224,8088,8088,2022,0,0,,,,,,,,,,,,,,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True,6.249211800000921,False,UNCHANGED,False
DEVELOPMENT,DVE026,rosbag2_2026_08_24-19_00_30,540.240106205,19253,1,NO_VALID_P3_FOUND_IN_ORACLE_DOMAIN,NO_HARD_VALID_P3_IN_DECLARED_FINITE_DOMAIN,NO_USABLE_VALID_P3_IN_DECLARED_FINITE_DOMAIN,116204,19800,19800,4950,0,0,,,,,,,,,,,,,,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True,2.398531501989055,False,UNCHANGED,False
DEVELOPMENT,DVE027,rosbag2_2026_08_24-19_24_17,241.530096499,9676,1,NO_VALID_P3_FOUND_IN_ORACLE_DOMAIN,NO_HARD_VALID_P3_IN_DECLARED_FINITE_DOMAIN,NO_USABLE_VALID_P3_IN_DECLARED_FINITE_DOMAIN,751746,458586,458586,227189,0,0,,,,,,,,,,,,,,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True,80.13685797902144,False,UNCHANGED,False
DEVELOPMENT,DVE028,rosbag2_2026_08_24-19_24_17,283.560121394,11330,1,NO_VALID_P3_FOUND_IN_ORACLE_DOMAIN,NO_HARD_VALID_P3_IN_DECLARED_FINITE_DOMAIN,NO_USABLE_VALID_P3_IN_DECLARED_FINITE_DOMAIN,134348,6480,6480,1620,0,0,,,,,,,,,,,,,,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True,1.843730514010531,False,UNCHANGED,False
DEVELOPMENT,DVE029,rosbag2_2026_08_24-19_00_30,781.420081134,28697,1,ORACLE_VALID_P3_EXISTS,ORACLE_V2_HARD_VALID_P3_EXISTS,ORACLE_V2_USABLE_VALID_P3_EXISTS,2152670,171216,171216,85608,864,864,STRICT,RIGHT,-0.40695853087089273,-0.41000000000000003,1.310934367577036,3.5762483166862471,1ef33a0895e9ee73,0,0,0.057472897573969568,0.08245168989684197,1.5,1ef33a0895e9ee73,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True,67.93952909702057,False,UNCHANGED,False
DEVELOPMENT,DVE030,rosbag2_2026_08_24-19_00_30,549.62009893,19593,1,ORACLE_VALID_P3_EXISTS,ORACLE_V2_HARD_VALID_P3_EXISTS,ORACLE_V2_USABLE_VALID_P3_EXISTS,108240,36960,36960,9240,400,400,STRICT,LEFT,0.27328719588206707,0.050000000000000003,0.51458109301505117,0.49716841625749453,4df1f23706d25c75,0,0,0.14609462370356593,0.25917915329155,0.38876872993732503,4df1f23706d25c75,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True,3.7079962470015744,False,UNCHANGED,False
DEVELOPMENT,DVE031,rosbag2_2026_08_24-19_00_30,501.330131488,17767,1,ORACLE_VALID_P3_EXISTS,ORACLE_V2_HARD_VALID_P3_EXISTS,ORACLE_V2_USABLE_VALID_P3_EXISTS,817984,33984,33984,16992,460,460,STRICT,RIGHT,-0.38769918093978328,-0.4093757562375992,1.310934367577036,3.9473573093269398,f81b680d4360d788,0,0,0.12659967896212754,0.0078993419156419362,1.5,f81b680d4360d788,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True,12.108055982964288,False,UNCHANGED,False
DEVELOPMENT,DVE032,rosbag2_2026_08_24-19_00_30,541.540084109,19304,1,ORACLE_VALID_P3_EXISTS,ORACLE_V2_HARD_VALID_P3_EXISTS,NO_USABLE_VALID_P3_IN_DECLARED_FINITE_DOMAIN,75632,36512,36512,9128,16,0,STRICT,LEFT,0.57000000000000006,0.37,0.51458109301505117,0.49716841625749453,c9dd70ef9c14f9ca,1,0,0.41938109914037752,-0.078028798908961458,-0.11704319836344219,,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True,3.301516266001272,False,UNCHANGED,False
DEVELOPMENT,DVE033,rosbag2_2026_08_24-19_00_30,539.020313429,19212,1,NO_VALID_P3_FOUND_IN_ORACLE_DOMAIN,NO_HARD_VALID_P3_IN_DECLARED_FINITE_DOMAIN,NO_USABLE_VALID_P3_IN_DECLARED_FINITE_DOMAIN,113028,18480,18480,4620,0,0,,,,,,,,,,,,,,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True,2.4701495620029164,False,UNCHANGED,False
DEVELOPMENT,DVE034,rosbag2_2026_08_24-19_00_30,431.040090643,15245,1,NO_VALID_P3_FOUND_IN_ORACLE_DOMAIN,NO_HARD_VALID_P3_IN_DECLARED_FINITE_DOMAIN,NO_USABLE_VALID_P3_IN_DECLARED_FINITE_DOMAIN,108800,108800,108800,43520,0,0,,,,,,,,,,,,,,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True,10.381882347988721,False,UNCHANGED,False
DEVELOPMENT,DVE035,rosbag2_2026_08_24-19_00_30,463.120114542,16296,1,NO_VALID_P3_FOUND_IN_ORACLE_DOMAIN,NO_HARD_VALID_P3_IN_DECLARED_FINITE_DOMAIN,NO_USABLE_VALID_P3_IN_DECLARED_FINITE_DOMAIN,290304,10752,10752,2688,0,0,,,,,,,,,,,,,,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True,4.6943489519981085,False,UNCHANGED,False
DEVELOPMENT,DVE036,rosbag2_2026_08_24-19_24_17,688.580130043,26697,1,NO_VALID_P3_FOUND_IN_ORACLE_DOMAIN,NO_HARD_VALID_P3_IN_DECLARED_FINITE_DOMAIN,NO_USABLE_VALID_P3_IN_DECLARED_FINITE_DOMAIN,625344,8328,8328,4119,0,0,,,,,,,,,,,,,,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True,8.101303066992841,False,UNCHANGED,False
