scope,dataset_role,event_id,declared_requests,emitted_candidate_rows,constructed_paths,validator_executions,unique_constructed_paths,hard_valid_rows,usable_valid_rows,runtime_wall_s,coverage_complete,event_count,hard_feasible_event_count,usable_feasible_event_count,oracle_v2_spec_sha256,evaluation_contract_sha256,exact_validator_harness_sha256,dataset_split_manifest_sha256,frozen_method_impl_sha256
EVENT,VALIDATION_SEEN_AFTER_V1,VUE001,440910,440910,306720,306720,85059,0,0,52.252807921991916,True,,,,,,,,
EVENT,VALIDATION_SEEN_AFTER_V1,VUE002,54156,54156,23328,23328,5832,0,0,2.0474795770060155,True,,,,,,,,
EVENT,VALIDATION_SEEN_AFTER_V1,VUE003,376320,376320,59136,59136,14784,0,0,12.98371233799844,True,,,,,,,,
EVENT,VALIDATION_SEEN_AFTER_V1,VUE004,587316,587316,8328,8328,4154,48,48,7.586228641004709,True,,,,,,,,
EVENT,VALIDATION_SEEN_AFTER_V1,VUE005,812320,812320,39648,39648,19824,516,516,12.50759726400429,True,,,,,,,,
EVENT,VALIDATION_SEEN_AFTER_V1,VUE006,819296,819296,33712,33712,16853,1540,1540,12.531365939001262,True,,,,,,,,
EVENT,VALIDATION_SEEN_AFTER_V1,VUE007,812320,812320,33984,33984,16992,1074,1074,12.16994918599812,True,,,,,,,,
EVENT,VALIDATION_SEEN_AFTER_V1,VUE008,633672,633672,8328,8328,4135,64,64,10.94214636196557,True,,,,,,,,
EVENT,VALIDATION_SEEN_AFTER_V1,VUE009,118932,118932,15840,15840,3960,224,0,2.350063614001556,True,,,,,,,,
EVENT,VALIDATION_SEEN_AFTER_V1,VUE010,75632,75632,39120,39120,9780,4,0,3.4760241910116747,True,,,,,,,,
EVENT,VALIDATION_SEEN_AFTER_V1,VUE011,131550,131550,94474,94474,39698,7675,0,7.498019235987158,True,,,,,,,,
EVENT,VALIDATION_SEEN_AFTER_V1,VUE012,76936,76936,32600,32600,8150,128,0,3.089920965001511,True,,,,,,,,
EVENT,VALIDATION_SEEN_AFTER_V1,VUE013,491040,491040,180048,180048,45012,36,0,36.58622019000177,True,,,,,,,,
EVENT,VALIDATION_SEEN_AFTER_V1,VUE014,100408,100408,31296,31296,7824,868,0,4.036663605002104,True,,,,,,,,
EVENT,VALIDATION_SEEN_AFTER_V1,VUE015,124326,124326,87914,87914,36090,0,0,7.552965856993978,True,,,,,,,,
EVENT,VALIDATION_SEEN_AFTER_V1,VUE016,231891,231891,77991,77991,30795,0,0,13.297841109000728,True,,,,,,,,
EVENT,VALIDATION_SEEN_AFTER_V1,VUE017,99464,99464,10368,10368,2592,0,0,1.6565911369980313,True,,,,,,,,
EVENT,VALIDATION_SEEN_AFTER_V1,VUE018,562832,562832,33984,33984,16992,88,88,11.50231231599173,True,,,,,,,,
EVENT,VALIDATION_SEEN_AFTER_V1,VUE019,1926864,1926864,1926864,1926864,959031,0,0,321.55143779006175,True,,,,,,,,
EVENT,VALIDATION_SEEN_AFTER_V1,VUE020,134072,134072,7776,7776,1944,8,8,1.9017602910098503,True,,,,,,,,
EVENT,VALIDATION_SEEN_AFTER_V1,VUE021,1630812,1630812,1215948,1215948,482580,0,0,157.74354090304405,True,,,,,,,,
EVENT,VALIDATION_SEEN_AFTER_V1,VUE022,82320,82320,82320,82320,41159,0,0,8.679101453002659,True,,,,,,,,
EVENT,VALIDATION_SEEN_AFTER_V1,VUE023,157508,157508,15552,15552,3888,1340,1340,2.5382217570077046,True,,,,,,,,
EVENT,VALIDATION_SEEN_AFTER_V1,VUE024,157508,157508,64800,64800,16200,2276,2276,4.820408710002084,True,,,,,,,,
EVENT,VALIDATION_SEEN_AFTER_V1,VUE025,1203036,1203036,749580,749580,277236,1608,24,124.92640163501346,True,,,,,,,,
EVENT,VALIDATION_SEEN_AFTER_V1,VUE026,477744,477744,4164,4164,2082,16,16,6.022516191980685,True,,,,,,,,
EVENT,VALIDATION_SEEN_AFTER_V1,VUE027,2983636,2983636,176436,176436,12168,2380,2380,58.41250065096392,True,,,,,,,,
EVENT,VALIDATION_SEEN_AFTER_V1,VUE028,709408,709408,68160,68160,33972,620,620,14.151808009999513,True,,,,,,,,
EVENT,VALIDATION_SEEN_AFTER_V1,VUE029,595926,595926,8358,8358,4154,0,0,7.8257078980022925,True,,,,,,,,
EVENT,VALIDATION_SEEN_AFTER_V1,VUE030,731056,731056,28320,28320,14160,226,226,10.720824661992083,True,,,,,,,,
EVENT,VALIDATION_SEEN_AFTER_V1,VUE031,417510,417510,4290,4290,1080,0,0,5.953159894976125,True,,,,,,,,
EVENT,VALIDATION_SEEN_AFTER_V1,VUE032,270270,270270,270270,270270,135135,20,20,27.86341879999236,True,,,,,,,,
EVENT,VALIDATION_SEEN_AFTER_V1,VUE033,107720,107720,47520,47520,23760,2256,2256,3.5235866109942435,True,,,,,,,,
EVENT,VALIDATION_SEEN_AFTER_V1,VUE034,117352,117352,47520,47520,23760,2696,2696,3.5282651640081895,True,,,,,,,,
EVENT,VALIDATION_SEEN_AFTER_V1,VUE035,129180,129180,50920,50920,25460,264,264,3.996792698999343,True,,,,,,,,
EVENT,VALIDATION_SEEN_AFTER_V1,VUE036,153524,153524,75264,75264,37632,52,52,4.9497176650038455,True,,,,,,,,
EVENT,VALIDATION_SEEN_AFTER_V1,VUE037,1250914,1250914,324674,324674,81156,0,0,47.849550892024126,True,,,,,,,,
AGGREGATE,PILOT_SEEN_DEVELOPMENT_DATA,,4080202,4080202,2390688,2390688,,11640,11640,378.9006826820005,True,9,5,5,62b63b8ab05d5a73565398141bd05a9db4a102541855fb2e3634d85b18a6bffe,226b1b44a9bea6adf26715658f36ae8e7b2c322e030f363270728f9e044b1dad,8b23f2b6df54c2e93794ee087f3ebd7a14f9921544af4f97eef755535e045e7e,c57cfe8e57dfca4bb318d30047e8f7215f6994e88a39babfbdbb10ce7637b2f4,900a262e49436fa75a1567d49b7823ef4e4cb7f08d313389cd2de26c647c3722
AGGREGATE,DEVELOPMENT,,18513014,18513014,3680722,3680722,,39954,36362,676.2721505619775,True,40,23,17,62b63b8ab05d5a73565398141bd05a9db4a102541855fb2e3634d85b18a6bffe,226b1b44a9bea6adf26715658f36ae8e7b2c322e030f363270728f9e044b1dad,8b23f2b6df54c2e93794ee087f3ebd7a14f9921544af4f97eef755535e045e7e,c57cfe8e57dfca4bb318d30047e8f7215f6994e88a39babfbdbb10ce7637b2f4,900a262e49436fa75a1567d49b7823ef4e4cb7f08d313389cd2de26c647c3722
AGGREGATE,VALIDATION_SEEN_AFTER_V1,,19785681,19785681,6285555,6285555,,26027,15508,1031.0266311270389,True,37,25,19,62b63b8ab05d5a73565398141bd05a9db4a102541855fb2e3634d85b18a6bffe,226b1b44a9bea6adf26715658f36ae8e7b2c322e030f363270728f9e044b1dad,8b23f2b6df54c2e93794ee087f3ebd7a14f9921544af4f97eef755535e045e7e,c57cfe8e57dfca4bb318d30047e8f7215f6994e88a39babfbdbb10ce7637b2f4,900a262e49436fa75a1567d49b7823ef4e4cb7f08d313389cd2de26c647c3722
AGGREGATE,ALL_SEEN,,42378897,42378897,12356965,12356965,,77621,63510,2086.199464371017,True,86,53,41,62b63b8ab05d5a73565398141bd05a9db4a102541855fb2e3634d85b18a6bffe,226b1b44a9bea6adf26715658f36ae8e7b2c322e030f363270728f9e044b1dad,8b23f2b6df54c2e93794ee087f3ebd7a14f9921544af4f97eef755535e045e7e,c57cfe8e57dfca4bb318d30047e8f7215f6994e88a39babfbdbb10ce7637b2f4,900a262e49436fa75a1567d49b7823ef4e4cb7f08d313389cd2de26c647c3722
