dataset_role,event_id,bag,elapsed_s,callback_sequence,evaluation_sequence,old_oracle_label,oracle_v2_hard_label,oracle_v2_usable_label,declared_request_count,constructed_path_count,validator_execution_count,unique_constructed_path_digest_count,hard_valid_count,usable_valid_count,best_hard_gate,best_hard_side,best_hard_d_target,best_hard_d_mid,best_hard_entry_scale,best_hard_exit_scale,best_hard_path_digest,best_hard_exit_reaches_next_obstacle,best_hard_braking_deficit_m,best_hard_velocity_loss,best_hard_minimum_normalized_safety_slack,best_hard_obstacle_margin_m,best_usable_path_digest,exact_input_lineage,production_digest_and_validator_parity,coverage_complete,runtime_wall_s
DEVELOPMENT,DVE001,rosbag2_2026_08_25-09_59_22,955.620097445,36618,1,ORACLE_VALID_P3_EXISTS,ORACLE_V2_HARD_VALID_P3_EXISTS,ORACLE_V2_USABLE_VALID_P3_EXISTS,118672,48840,48840,24420,3388,3388,STRICT,RIGHT,-0.46782645683028812,-0.49180573094231489,0.71366941165554731,0.49716841625749453,924c05a1589f4353,0,0,0.20670612923563211,0.0060189973325805264,0.0090284959988707891,924c05a1589f4353,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True,3.629634498996893
DEVELOPMENT,DVE002,rosbag2_2026_08_24-19_00_30,540.620135977,19268,1,ORACLE_VALID_P3_EXISTS,ORACLE_V2_HARD_VALID_P3_EXISTS,ORACLE_V2_USABLE_VALID_P3_EXISTS,90780,35208,35208,8802,128,128,STRICT,LEFT,0.52000000000000002,0.38,0.51458109301505117,0.49716841625749453,e35cdffd36d9fc8c,0,0,0.18701656262203464,0.17783537014984155,0.39051970657196555,e35cdffd36d9fc8c,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True,3.2537017009890405
DEVELOPMENT,DVE003,rosbag2_2026_08_25-09_59_22,1019.770095303,39120,1,NO_VALID_P3_FOUND_IN_ORACLE_DOMAIN,NO_HARD_VALID_P3_IN_DECLARED_FINITE_DOMAIN,NO_USABLE_VALID_P3_IN_DECLARED_FINITE_DOMAIN,153524,75264,75264,37632,0,0,,,,,,,,,,,,,,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True,4.9516845980106154
DEVELOPMENT,DVE004,rosbag2_2026_08_24-19_24_17,596.260105794,23493,1,ORACLE_VALID_P3_EXISTS,ORACLE_V2_HARD_VALID_P3_EXISTS,NO_USABLE_VALID_P3_IN_DECLARED_FINITE_DOMAIN,68618,656,656,328,6,0,STRICT,LEFT,0.14999999999999999,0.14999999999999999,1.310934367577036,6.6778298962198157,02ad20ab80135e1b,1,0,0.13873871393150219,-0.069340380086805542,-0.10401057013020831,,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True,1.3985575790065923
DEVELOPMENT,DVE005,rosbag2_2026_08_24-19_24_17,637.11014269,25100,1,ORACLE_VALID_P3_EXISTS,ORACLE_V2_HARD_VALID_P3_EXISTS,ORACLE_V2_USABLE_VALID_P3_EXISTS,477744,4164,4164,2082,22,22,STRICT,RIGHT,-0.39115057871499376,-0.44115057871499308,0.51458109301505117,0.60498681916591468,735c08c37055d5be,0,0,0.16962936567886347,0.0082469671441544948,1.5,735c08c37055d5be,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True,6.04537930098013
DEVELOPMENT,DVE006,rosbag2_2026_08_24-19_00_30,556.070105096,19818,1,ORACLE_VALID_P3_EXISTS,ORACLE_V2_HARD_VALID_P3_EXISTS,NO_USABLE_VALID_P3_IN_DECLARED_FINITE_DOMAIN,127938,86602,86602,36090,1796,0,STRICT,LEFT,0.58999999999999997,0.44,0.51458109301505117,0.49716841625749453,a7808d6195a29522,1,0,0.3927263201561173,-0.094185914845477392,-0.14127887226821609,,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True,7.058488946997386
DEVELOPMENT,DVE007,rosbag2_2026_08_24-19_24_17,607.510060878,23923,1,ORACLE_VALID_P3_EXISTS,ORACLE_V2_HARD_VALID_P3_EXISTS,NO_USABLE_VALID_P3_IN_DECLARED_FINITE_DOMAIN,93092,1312,1312,656,6,0,STRICT,RIGHT,-0.22759675466956231,-0.22759675466956231,1.310934367577036,7.3975462023963852,19d0c38394f7bb60,1,0,0.20176281796938458,-0.47440252329842242,-0.71160378494763366,,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True,1.766337098000804
DEVELOPMENT,DVE008,rosbag2_2026_08_24-19_00_30,436.890084667,15424,1,NO_VALID_P3_FOUND_IN_ORACLE_DOMAIN,NO_HARD_VALID_P3_IN_DECLARED_FINITE_DOMAIN,NO_USABLE_VALID_P3_IN_DECLARED_FINITE_DOMAIN,73872,20736,20736,5184,0,0,,,,,,,,,,,,,,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True,2.107205216001603
DEVELOPMENT,DVE009,rosbag2_2026_08_24-19_00_30,540.040086959,19245,1,NO_VALID_P3_FOUND_IN_ORACLE_DOMAIN,NO_HARD_VALID_P3_IN_DECLARED_FINITE_DOMAIN,NO_USABLE_VALID_P3_IN_DECLARED_FINITE_DOMAIN,193620,18522,18522,6174,0,0,,,,,,,,,,,,,,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True,4.890924215003906
DEVELOPMENT,DVE010,rosbag2_2026_08_24-19_00_30,542.840073923,19351,1,NO_VALID_P3_FOUND_IN_ORACLE_DOMAIN,NO_HARD_VALID_P3_IN_DECLARED_FINITE_DOMAIN,NO_USABLE_VALID_P3_IN_DECLARED_FINITE_DOMAIN,78040,37816,37816,9454,0,0,,,,,,,,,,,,,,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True,3.4129118580094655
