event_id,phase,gate,side,d_target,d_mid,entry_scale,exit_scale,index,s_m,d_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
V2E02,DIAGNOSIS,STRICT,LEFT,0.15000000000000002,0.1603125,1.310934367577036,6.6307072494084043,0,14.546371178003771,0.057461968260051198,0.83255972311700632,0.27328939570588462,0.26788198571618177,0.082608573198685448,1.1516807020950872,3.4234787824162707
V2E02,DIAGNOSIS,STRICT,LEFT,0.15000000000000002,0.1603125,1.310934367577036,6.6307072494084043,1,14.797220405260116,0.16030039516225519,1.0922738373593752,0.3510689285286499,0.094736435288986037,-0.53216622695321747,1.7839990810746491,3.6965825482999377
V2E02,DIAGNOSIS,STRICT,LEFT,0.15000000000000002,0.1603125,1.310934367577036,6.6307072494084043,2,15.048069632516462,0.14951144702277067,1.3408608945952794,0.31576721197186775,-0.15551972195919619,-0.3826006271518797,2.2447576713249364,3.6999884155038023
V2E02,DIAGNOSIS,STRICT,LEFT,0.15000000000000002,0.1603125,1.310934367577036,6.6307072494084043,3,15.29891885977281,0.14888372625271915,1.5904429986335413,0.29057788501964654,-0.096784798094512861,0.048889652941692452,2.6258753368484808,3.6999959187951879
V2E02,DIAGNOSIS,STRICT,LEFT,0.15000000000000002,0.1603125,1.310934367577036,6.6307072494084043,4,15.549768087029154,0.14851114460610759,1.8400500873867074,0.26564247091926785,-0.099080390681325889,0.003811395809991425,2.9582943677676954,3.6999994810191925
V2E02,DIAGNOSIS,STRICT,LEFT,0.15000000000000002,0.1603125,1.310934367577036,6.6307072494084043,5,15.800617314285502,0.14837828205261608,2.0896806508352466,0.24094562375348727,-0.098154960178152728,0.0035727273167022178,3.2569602159165285,3.6999997520291479
V2E02,DIAGNOSIS,STRICT,LEFT,0.15000000000000002,0.1603125,1.310934367577036,6.6307072494084043,6,16.051466541541846,0.14847012106950822,2.3393332183755096,0.21647239817807806,-0.097288599698633044,0.0033403775829224159,3.5304495648231522,3.6999973200106107
V2E02,DIAGNOSIS,STRICT,LEFT,0.15000000000000002,0.1603125,1.310934367577036,6.6307072494084043,7,16.302315768798191,0.14877204231692812,2.5890063583962539,0.19220824511791268,-0.096479731726070994,0.0031142810036808915,3.7842249419738443,3.6999927152223431
V2E02,DIAGNOSIS,STRICT,LEFT,0.15000000000000002,0.1603125,1.310934367577036,6.6307072494084043,8,16.553164996054537,0.14926982031319752,2.8386986778551284,0.16813900746304641,-0.095726795521884553,0.0028943713496017392,4.0220197280910872,3.6949218947301694
V2E02,DIAGNOSIS,STRICT,LEFT,0.15000000000000002,0.1603125,1.310934367577036,6.6307072494084043,9,16.804014223310883,0.14994961911011281,3.0884088218551788,0.14425091576479973,-0.095028247222072051,0.0026805818528723904,4.2462202138176819,3.6433485148684066
V2E02,DIAGNOSIS,STRICT,LEFT,0.15000000000000002,0.1603125,1.310934367577036,6.6307072494084043,10,17.054863450567229,0.15079798796824209,3.3381354732213455,0.12053058393184139,-0.094382559920070511,0.0024728452845647862,4.456260638333462,3.5950312659754342
V2E02,DIAGNOSIS,STRICT,LEFT,0.15000000000000002,0.1603125,1.310934367577036,6.6307072494084043,11,17.305712677823575,0.15180185703222218,3.5878773520769651,0.096965004926271192,-0.093788223737409665,0.0022710940240158409,4.6542340883675513,3.5494890754280375
