dataset_role,event_id,budget_b,reserve_policy,strict_side_count,lateral_operator_candidates_generated,lateral_proposals_retained,transition_proposals,pair_proposals,pair_proxy_evaluations,reserve_pair_count,p3_reconstructions,raw_harness_validator_executions,logical_exact_validator_calls,selected_unique_path_digests,teacher_top12_unique_candidate_count,teacher_top12_recalled_count,teacher_top12_recall,teacher_final_selected_candidate_defined,teacher_final_selected_candidate_in_pair_pool,teacher_final_selected_candidate_present,teacher_hard_recovered,teacher_usable_recovered,bounded_hard_recovered,bounded_usable_recovered,additional_hard_failure_vs_teacher,additional_usable_failure_vs_teacher,hard_recovery_not_selected_by_teacher,usable_recovery_not_selected_by_teacher,best_hard_side,best_hard_d_target,best_hard_d_mid,best_hard_entry_scale,best_hard_exit_scale,best_hard_path_digest,best_usable_path_digest,geometry_context_preparation_ms,bounded_proposal_and_ranking_ms,exact_harness_wall_ms_including_process_start,offline_core_wall_proxy_ms,pair_pool_lateral_families,selected_lateral_families,selected_transition_families
PILOT_SEEN_DEVELOPMENT_DATA,V2E02,96,NO_RESERVES_DIAGONAL,2,40,40,3,96,96,0,12,12,8,8,11,1,0.09090909090909091,True,True,True,True,True,True,True,False,False,False,False,LEFT,0.15,0.10999999999999999,1.310934367577036,6.630707249408404,2795736f29e94f82,2795736f29e94f82,7.305335006094538,164.70137400028761,22.743756999261677,194.75046600564383,COMPONENT|CORRIDOR|CORRIDOR_INTERPOLATION|PRODUCTION|PRODUCTION_OFFSET,COMPONENT|PRODUCTION|PRODUCTION_OFFSET,LONG_ENTRY_MEDIUM_EXIT|MEDIUM_ENTRY_SHORT_EXIT|SHORT_ENTRY_SHORT_EXIT
PILOT_SEEN_DEVELOPMENT_DATA,V2E02,128,NO_RESERVES_DIAGONAL,2,40,40,3,118,118,0,12,12,8,8,11,1,0.09090909090909091,True,True,True,True,True,True,True,False,False,False,False,LEFT,0.15,0.10999999999999999,1.310934367577036,6.630707249408404,2795736f29e94f82,2795736f29e94f82,7.305335006094538,227.91800599952694,20.92068899946753,256.144030005089,COMPONENT|CORRIDOR|CORRIDOR_INTERPOLATION|PRODUCTION|PRODUCTION_OFFSET,COMPONENT|PRODUCTION|PRODUCTION_OFFSET,LONG_ENTRY_MEDIUM_EXIT|MEDIUM_ENTRY_SHORT_EXIT|SHORT_ENTRY_SHORT_EXIT
PILOT_SEEN_DEVELOPMENT_DATA,V2E03,24,NO_RESERVES_DIAGONAL,1,32,16,7,24,24,0,12,12,11,11,11,1,0.09090909090909091,True,True,True,True,True,True,True,False,False,False,False,LEFT,0.1953345144734313,0.1853345144734313,1.310934367577036,6.620727869394503,0e80da04fd67df6e,0e80da04fd67df6e,4.9717009969754145,46.507666003890336,34.53468000225257,86.01404700311832,COMPONENT|PRODUCTION|PRODUCTION_OFFSET,COMPONENT|PRODUCTION|PRODUCTION_OFFSET,LONG_ENTRY_LONG_EXIT|LONG_ENTRY_MEDIUM_EXIT|MEDIUM_ENTRY_SHORT_EXIT|SHORT_ENTRY_LONG_EXIT|SHORT_ENTRY_SHORT_EXIT
PILOT_SEEN_DEVELOPMENT_DATA,V2E03,32,NO_RESERVES_DIAGONAL,1,32,20,7,32,32,0,12,12,11,11,11,1,0.09090909090909091,True,True,True,True,True,True,True,False,False,False,False,LEFT,0.1953345144734313,0.1853345144734313,1.310934367577036,6.620727869394503,0e80da04fd67df6e,0e80da04fd67df6e,4.9717009969754145,57.88382000173442,33.76945300260559,96.62497400131542,COMPONENT|CORRIDOR_INTERPOLATION|PRODUCTION|PRODUCTION_OFFSET,COMPONENT|CORRIDOR_INTERPOLATION|PRODUCTION|PRODUCTION_OFFSET,LONG_ENTRY_LONG_EXIT|LONG_ENTRY_MEDIUM_EXIT|MEDIUM_ENTRY_SHORT_EXIT|SHORT_ENTRY_LONG_EXIT|SHORT_ENTRY_SHORT_EXIT
PILOT_SEEN_DEVELOPMENT_DATA,V2E03,48,NO_RESERVES_DIAGONAL,1,32,28,7,48,48,0,12,12,11,11,11,1,0.09090909090909091,True,True,True,True,True,True,True,False,False,False,False,LEFT,0.1953345144734313,0.1853345144734313,1.310934367577036,6.620727869394503,0e80da04fd67df6e,0e80da04fd67df6e,4.9717009969754145,99.79180799564347,37.03553299419582,141.7990419868147,COMPONENT|CORRIDOR_INTERPOLATION|PRODUCTION|PRODUCTION_OFFSET,COMPONENT|CORRIDOR_INTERPOLATION|PRODUCTION|PRODUCTION_OFFSET,LONG_ENTRY_LONG_EXIT|LONG_ENTRY_MEDIUM_EXIT|MEDIUM_ENTRY_SHORT_EXIT|SHORT_ENTRY_LONG_EXIT|SHORT_ENTRY_SHORT_EXIT
PILOT_SEEN_DEVELOPMENT_DATA,V2E03,64,NO_RESERVES_DIAGONAL,1,32,32,7,64,64,0,12,12,11,11,11,1,0.09090909090909091,True,True,True,True,True,True,True,False,False,False,False,LEFT,0.1953345144734313,0.1853345144734313,1.310934367577036,6.620727869394503,0e80da04fd67df6e,0e80da04fd67df6e,4.9717009969754145,146.32537998841144,36.144059005891904,187.44113999127876,COMPONENT|CORRIDOR|CORRIDOR_INTERPOLATION|PRODUCTION|PRODUCTION_OFFSET,PRODUCTION|PRODUCTION_OFFSET,LONG_ENTRY_LONG_EXIT|LONG_ENTRY_MEDIUM_EXIT|SHORT_ENTRY_SHORT_EXIT
PILOT_SEEN_DEVELOPMENT_DATA,V2E03,96,NO_RESERVES_DIAGONAL,1,32,32,7,96,96,0,12,12,11,11,11,2,0.18181818181818182,True,True,True,True,True,True,True,False,False,False,False,LEFT,0.1953345144734313,0.1853345144734313,1.310934367577036,6.620727869394503,0e80da04fd67df6e,0e80da04fd67df6e,4.9717009969754145,220.63779200834688,36.93660499993712,262.5460980052594,COMPONENT|CORRIDOR|CORRIDOR_INTERPOLATION|PRODUCTION|PRODUCTION_OFFSET,PRODUCTION|PRODUCTION_OFFSET,LONG_ENTRY_LONG_EXIT|LONG_ENTRY_MEDIUM_EXIT|SHORT_ENTRY_SHORT_EXIT
PILOT_SEEN_DEVELOPMENT_DATA,V2E03,128,NO_RESERVES_DIAGONAL,1,32,32,7,128,128,0,12,12,11,11,11,2,0.18181818181818182,True,True,True,True,True,True,True,False,False,False,False,LEFT,0.1953345144734313,0.1853345144734313,1.310934367577036,6.620727869394503,0e80da04fd67df6e,0e80da04fd67df6e,4.9717009969754145,289.18704099487513,35.711361997528,329.87010398937855,COMPONENT|CORRIDOR|CORRIDOR_INTERPOLATION|PRODUCTION|PRODUCTION_OFFSET,PRODUCTION|PRODUCTION_OFFSET,LONG_ENTRY_LONG_EXIT|LONG_ENTRY_MEDIUM_EXIT|SHORT_ENTRY_SHORT_EXIT
PILOT_SEEN_DEVELOPMENT_DATA,V2E04,24,NO_RESERVES_DIAGONAL,1,32,16,5,24,24,0,12,12,10,10,10,0,0.0,False,,,False,False,False,False,False,False,False,False,,,,,,,,6.161897996207699,66.36608799453825,29.485932012903504,102.01391800364945,COMPONENT|PRODUCTION|PRODUCTION_OFFSET,COMPONENT|PRODUCTION|PRODUCTION_OFFSET,LONG_ENTRY_LONG_EXIT|MEDIUM_ENTRY_SHORT_EXIT|SHORT_ENTRY_LONG_EXIT
PILOT_SEEN_DEVELOPMENT_DATA,V2E04,32,NO_RESERVES_DIAGONAL,1,32,20,5,32,32,0,12,12,10,10,10,0,0.0,False,,,False,False,False,False,False,False,False,False,,,,,,,,6.161897996207699,80.68485400872305,32.33368700603023,119.18043901096098,COMPONENT|PRODUCTION|PRODUCTION_OFFSET,COMPONENT|PRODUCTION|PRODUCTION_OFFSET,LONG_ENTRY_LONG_EXIT|MEDIUM_ENTRY_SHORT_EXIT|SHORT_ENTRY_LONG_EXIT
