dataset_role,budget_b,reserve_policy,episode_count,bounded_hard_recovered,bounded_usable_recovered,exact_r3_usable_recovered,teacher_top12_micro_recall,teacher_final_selected_present_count,reserve_pairs_per_event_mean,selected_family_signature_count
DEVELOPMENT,64,NO_RESERVES_DIAGONAL,40,18,13,14,0.23841059602649006,11,0,24
VALIDATION_SEEN_AFTER_V1,64,NO_RESERVES_DIAGONAL,37,20,17,18,0.23653395784543327,15,0,25
COMBINED_SEEN,64,NO_RESERVES_DIAGONAL,77,38,30,32,0.2375,26,0,38
DEVELOPMENT,64,SIDE_RESERVE,40,18,13,14,0.2560706401766004,11,1.1,23
VALIDATION_SEEN_AFTER_V1,64,SIDE_RESERVE,37,20,17,18,0.26229508196721313,15,1.2432432432432432,24
COMBINED_SEEN,64,SIDE_RESERVE,77,38,30,32,0.2590909090909091,26,1.1688311688311688,35
DEVELOPMENT,64,FULL_SMALL_RESERVES,40,18,13,14,0.26269315673289184,11,6.4,25
VALIDATION_SEEN_AFTER_V1,64,FULL_SMALL_RESERVES,37,19,16,18,0.26697892271662765,16,7.756756756756757,28
COMBINED_SEEN,64,FULL_SMALL_RESERVES,77,37,29,32,0.26477272727272727,27,7.0519480519480515,41
