dataset_role,event_id,teacher_method,teacher_selection_rank,teacher_stream,side,d_target,d_mid,entry_scale,exit_scale,target_source,target_family,mid_source,mid_family,probe_root_source,transition_family,domain_lower,domain_upper,component_count,bottleneck_center,bottleneck_width,bottleneck_station,next_obstacle_start,max_corridor_violation_m,slope_excess,curvature_proxy,exit_conflict_proxy,path_digest,hard_valid,usable_valid,first_failure_reason,teacher_final_selected_path,teacher_final_selected_path_digest,teacher_final_selected_usable
PILOT_SEEN_DEVELOPMENT_DATA,V2E01,R3_LEXICOGRAPHIC_COVERAGE_RESERVE_K12,11,COVERAGE_RESERVE_TOP2,RIGHT,-0.45687960954981943,-0.45687960954981943,0.5145810930150512,0.4971684162574945,PRODUCTION_TARGET,PRODUCTION_TARGET_FAMILY,MID_EQUALS_TARGET,EQUAL_TARGET_FAMILY,NOT_APPLICABLE_DIRECT_DT_DM_FACTOR,SHORT_ENTRY_SHORT_EXIT,-0.8975000000000002,-0.45687960954981943,1,-0.6771898047749098,0.44062039045018064,0.15306811594111736,inf,0.0,0.0,1.4114083208130228,0,f0d505e4f527b4e0,0,False,shifted race line exceeds left control steering curvature,False,,
PILOT_SEEN_DEVELOPMENT_DATA,V2E01,R3_LEXICOGRAPHIC_COVERAGE_RESERVE_K12,12,COVERAGE_RESERVE_TOP2,RIGHT,-0.45687960954981943,-0.45687960954981943,0.5145810930150512,0.6049868191659147,PRODUCTION_TARGET,PRODUCTION_TARGET_FAMILY,MID_EQUALS_TARGET,EQUAL_TARGET_FAMILY,NOT_APPLICABLE_DIRECT_DT_DM_FACTOR,NON_BOUNDED_TRANSITION_ANCHOR,-0.8975000000000002,-0.45687960954981943,1,-0.6771898047749098,0.44062039045018064,0.15306811594111736,inf,0.0,0.0,1.0058874262896202,0,7ea3a3027271c59b,0,False,shifted race line exceeds left control steering curvature,False,,
PILOT_SEEN_DEVELOPMENT_DATA,V2E02,R3_LEXICOGRAPHIC_COVERAGE_RESERVE_K12,1,FEASIBILITY_TOP10,LEFT,0.15,0.11249999999999999,1.310934367577036,6.630707249408404,PRODUCTION_TARGET,PRODUCTION_TARGET_FAMILY,REFERENCE_INWARD_F0.75,REFERENCE_INWARD_FAMILY,NOT_APPLICABLE_DIRECT_DT_DM_FACTOR,LONG_ENTRY_MEDIUM_EXIT,0.15,0.81,1,0.414193609605218,0.7916127807895639,0.2915671120343557,inf,0.0,0.0,0.6102449027430673,0,e411d4e91c71b8b3,1,True,,False,,
PILOT_SEEN_DEVELOPMENT_DATA,V2E02,R3_LEXICOGRAPHIC_COVERAGE_RESERVE_K12,2,FEASIBILITY_TOP10,LEFT,0.1503125,0.112734375,1.310934367577036,6.630707249408404,PRODUCTION_TARGET_MINUS_0.01M,PRODUCTION_TARGET_FAMILY,REFERENCE_INWARD_F0.75,REFERENCE_INWARD_FAMILY,NOT_APPLICABLE_DIRECT_DT_DM_FACTOR,LONG_ENTRY_MEDIUM_EXIT,0.15,0.81,1,0.414193609605218,0.7916127807895639,0.2915671120343557,inf,0.0,0.0,0.6115162462904489,0,bccad6b4582ff521,1,True,,False,,
PILOT_SEEN_DEVELOPMENT_DATA,V2E02,R3_LEXICOGRAPHIC_COVERAGE_RESERVE_K12,3,FEASIBILITY_TOP10,LEFT,0.15,0.10999999999999999,1.310934367577036,6.630707249408404,PRODUCTION_TARGET,PRODUCTION_TARGET_FAMILY,TARGET_MINUS_0.04M,TARGET_OFFSET_FAMILY,NOT_APPLICABLE_DIRECT_DT_DM_FACTOR,LONG_ENTRY_MEDIUM_EXIT,0.15,0.81,1,0.414193609605218,0.7916127807895639,0.2915671120343557,inf,0.0,0.0,0.6509161577373548,0,2795736f29e94f82,1,True,,True,2795736f29e94f82,True
PILOT_SEEN_DEVELOPMENT_DATA,V2E02,R3_LEXICOGRAPHIC_COVERAGE_RESERVE_K12,4,FEASIBILITY_TOP10,LEFT,0.1503125,0.11031249999999998,1.310934367577036,6.630707249408404,PRODUCTION_TARGET_MINUS_0.01M,PRODUCTION_TARGET_FAMILY,TARGET_MINUS_0.04M,TARGET_OFFSET_FAMILY,NOT_APPLICABLE_DIRECT_DT_DM_FACTOR,LONG_ENTRY_MEDIUM_EXIT,0.15,0.81,1,0.414193609605218,0.7916127807895639,0.2915671120343557,inf,0.0,0.0,0.6509165245661643,0,232730798853f6ba,1,True,,False,,
PILOT_SEEN_DEVELOPMENT_DATA,V2E02,R3_LEXICOGRAPHIC_COVERAGE_RESERVE_K12,5,FEASIBILITY_TOP10,LEFT,0.16,0.12,1.310934367577036,6.630707249408404,PRODUCTION_TARGET_PLUS_0.01M,PRODUCTION_TARGET_FAMILY,TARGET_MINUS_0.04M,TARGET_OFFSET_FAMILY,NOT_APPLICABLE_DIRECT_DT_DM_FACTOR,LONG_ENTRY_MEDIUM_EXIT,0.15,0.81,1,0.414193609605218,0.7916127807895639,0.2915671120343557,inf,0.0,0.0,0.6509278962592723,0,70d1d2379ec4f6c6,1,True,,False,,
PILOT_SEEN_DEVELOPMENT_DATA,V2E02,R3_LEXICOGRAPHIC_COVERAGE_RESERVE_K12,6,FEASIBILITY_TOP10,LEFT,0.1603125,0.12031249999999999,1.310934367577036,6.630707249408404,PRODUCTION_TARGET,PRODUCTION_TARGET_FAMILY,TARGET_MINUS_0.04M,TARGET_OFFSET_FAMILY,NOT_APPLICABLE_DIRECT_DT_DM_FACTOR,LONG_ENTRY_MEDIUM_EXIT,0.15,0.81,1,0.414193609605218,0.7916127807895639,0.2915671120343557,inf,0.0,0.0,0.6509282630880822,0,f11198a3e21f135b,1,True,,False,,
PILOT_SEEN_DEVELOPMENT_DATA,V2E02,R3_LEXICOGRAPHIC_COVERAGE_RESERVE_K12,7,FEASIBILITY_TOP10,LEFT,0.16999999999999998,0.12999999999999998,1.310934367577036,6.630707249408404,PRODUCTION_TARGET_PLUS_0.02M,PRODUCTION_TARGET_FAMILY,TARGET_MINUS_0.04M,TARGET_OFFSET_FAMILY,NOT_APPLICABLE_DIRECT_DT_DM_FACTOR,LONG_ENTRY_MEDIUM_EXIT,0.15,0.81,1,0.414193609605218,0.7916127807895639,0.2915671120343557,inf,0.0,0.0,0.6509396347811895,0,565ea29bcba12a91,1,True,,False,,
PILOT_SEEN_DEVELOPMENT_DATA,V2E02,R3_LEXICOGRAPHIC_COVERAGE_RESERVE_K12,8,FEASIBILITY_TOP10,LEFT,0.1703125,0.1303125,1.310934367577036,6.630707249408404,PRODUCTION_TARGET_PLUS_0.01M,PRODUCTION_TARGET_FAMILY,TARGET_MINUS_0.04M,TARGET_OFFSET_FAMILY,NOT_APPLICABLE_DIRECT_DT_DM_FACTOR,LONG_ENTRY_MEDIUM_EXIT,0.15,0.81,1,0.414193609605218,0.7916127807895639,0.2915671120343557,inf,0.0,0.0,0.6509400016099998,0,338c5d2728d7adce,1,True,,False,,
