id,s,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,d_left,d_right
76,13.728298,-0.525036,1.850047,-0.927442,0.126313,5.07173,-2,1.4,1.4
77,13.90891,-0.415048,1.706787,-0.879561,0.403832,5,3.7,1.4,1.4
78,14.08948,-0.29494,1.571956,-0.816311,0.296286,5.131882,-1.701822,1.4,1.4
79,14.270184,-0.167695,1.443648,-0.764755,0.275121,5.071603,-2,1.4,1.4
80,14.450475,-0.034544,1.322095,-0.690201,0.54979,5,3.7,1.4,1.4
81,14.631171,0.110326,1.214094,-0.626774,0.153269,5.131974,2.296309,1.4,1.4
82,14.811839,0.258106,1.110162,-0.581345,0.349876,5.212187,-2,1.4,1.4
83,14.992337,0.41201,1.015859,-0.518101,0.350043,5.142461,-2,1.4,1.4
84,15.173042,0.571748,0.931373,-0.469191,0.191812,5.071694,-2,1.4,1.4
85,15.353563,0.734151,0.85255,-0.415528,0.402088,5,3.7,1.4,1.4
86,15.534238,0.90199,0.785663,-0.364743,0.160312,5.131958,3.7,1.38,1.38
87,15.714938,1.071718,0.723658,-0.325997,0.268838,5.260625,-1.403355,1.295907,1.295907
88,15.895421,1.244049,0.670027,-0.270396,0.346468,5.212256,-2,1.276791,1.276791
89,16.076125,1.419612,0.627227,-0.229022,0.111858,5.14245,-2,1.228326,1.228326
90,16.256773,1.595948,0.587996,-0.186516,0.358825,5.071706,-2,1.198605,1.198605
91,16.437323,1.774359,0.560283,-0.09966,0.603733,5,0,1.17,1.17
92,16.617578,1.95443,0.55215,-0.000481,0.494014,5,3.7,1.151814,1.151814
93,16.798281,2.134957,0.560109,0.035552,-0.094171,5.131978,3.7,1.14,1.14
94,16.978923,2.315534,0.564994,0.011329,-0.173919,5.260604,3.7,1.14,1.14
95,17.159628,2.496236,0.564202,-0.004381,0,5.386202,3.7,1.14,1.14
96,17.340333,2.676939,0.563411,-0.004381,0,5.508937,3.7,1.14,1.14
97,17.521037,2.857642,0.562619,-0.004381,0,5.628996,3.7,1.14,1.14
98,17.701742,3.038345,0.561827,-0.004381,0,5.746548,3.7,1.14,1.14
99,17.882446,3.219048,0.561036,-0.004381,0,5.861743,3.7,1.14,1.14
100,18.063151,3.399751,0.560244,-0.004381,0,5.974717,3.7,1.14,1.14
101,18.243856,3.580454,0.559453,-0.004381,0,6.085594,3.7,1.14,1.14
102,18.42456,3.761157,0.558661,-0.004381,0,6.194487,3.7,1.127721,1.127721
103,18.605265,3.941859,0.557869,-0.004381,0,6.301498,3.7,1.11,1.11
104,18.785969,4.122562,0.557078,-0.004381,0,6.406723,3.7,1.11,1.11
105,18.966674,4.303265,0.556286,-0.004381,0,6.510247,3.7,1.11,1.11
106,19.147379,4.483968,0.555495,-0.004381,0,6.61215,3.7,1.11,1.11
107,19.328083,4.664671,0.554703,-0.004381,0,6.712506,3.7,1.109535,1.109535
108,19.508788,4.845374,0.553911,-0.004381,0,6.811384,0.801078,1.08,1.08
109,19.689492,5.026077,0.55312,-0.004381,0,6.832603,-2,1.08,1.08
110,19.870197,5.20678,0.552328,-0.004381,0,6.779502,-2,1.08,1.08
111,20.050902,5.387482,0.551537,-0.004381,0,6.725982,-2,1.08,1.08
112,20.231606,5.568185,0.550745,-0.004381,0,6.672032,-2,1.08,1.08
113,20.412311,5.748888,0.549953,-0.004381,0,6.617643,-2,1.11,1.11
114,20.593015,5.929591,0.549162,-0.004381,0,6.562803,-2,1.11,1.11
115,20.77372,6.110294,0.54837,-0.004381,0,6.5075,-2,1.11,1.11
116,20.954425,6.290997,0.547579,-0.004381,0,6.451724,-2,1.11,1.11
117,21.135129,6.4717,0.546787,-0.004381,0,6.395461,-2,1.11,1.11
118,21.315834,6.652403,0.545995,-0.004381,0,6.338699,-2,1.11,1.11
119,21.496538,6.833105,0.545204,-0.004381,0,6.281424,-2,1.11,1.11
120,21.677243,7.013808,0.544412,-0.004381,0,6.223622,-2,1.079535,1.079535
121,21.857948,7.194511,0.543621,-0.004381,0,6.165278,-2,1.05,1.05
122,22.038652,7.375214,0.542829,-0.004381,0,6.106376,-2,1.05,1.05
123,22.219357,7.555917,0.542037,-0.004381,0,6.046901,-2,1.05,1.05
124,22.400062,7.73662,0.541246,-0.004381,0,5.986835,-2,1.05,1.05
125,22.580766,7.917323,0.540454,-0.004381,0,5.92616,-2,1.061814,1.061814
126,22.761471,8.098026,0.539663,-0.004381,0,5.864858,-2,1.08,1.08
127,22.942175,8.278728,0.538871,-0.004381,0,5.802908,-2,1.08,1.08
128,23.12288,8.459431,0.538079,-0.004381,0,5.740289,-2,1.08,1.08
129,23.303585,8.640134,0.537288,-0.004381,0,5.67698,-2,1.08,1.08
130,23.484289,8.820837,0.536496,-0.004381,0,5.612957,-2,1.08,1.08
131,23.664994,9.00154,0.535705,-0.004381,0,5.548195,-2,1.08,1.08
132,23.845698,9.182243,0.534913,-0.004381,0,5.482668,-2,1.08,1.08
133,24.026403,9.362946,0.534121,-0.004381,0,5.416348,-2,1.115442,1.115442
134,24.207108,9.543649,0.53333,-0.004381,0,5.349206,-2,1.150884,1.150884
135,24.387812,9.724351,0.532538,-0.004381,0,5.281211,-2,1.186326,1.186326
136,24.568517,9.905054,0.531747,-0.004381,0,5.212329,-2,1.181814,1.181814
137,24.749221,10.085757,0.530955,-0.016034,-0.128989,5.142524,-2,1.17,1.17
138,24.929908,10.266374,0.525953,-0.036125,-0.093372,5.071766,-2,1.17,1.17
139,25.11061,10.446897,0.517903,-0.00237,0.467451,5,3.7,1.17,1.17
140,25.29107,10.627213,0.525097,0.06711,0.301397,5.131803,3.7,1.17,1.17
141,25.471757,10.807098,0.542112,0.12578,0.348445,5.260465,3.253785,1.199535,1.199535
142,25.65237,10.985481,0.570399,0.173402,0.178593,5.371018,-2,1.204977,1.204977
143,25.833069,11.162945,0.604443,0.200088,0.116854,5.303305,-2,1.210419,1.210419
144,26.013765,11.339647,0.642225,0.243605,0.364933,5.234716,1.352792,1.228326,1.228326
145,26.194365,11.513383,0.691541,0.286159,0.105984,5.281182,-2,1.29,1.29
146,26.37507,11.686243,0.744205,0.321487,0.285168,5.212299,-2,1.35,1.35
147,26.555701,11.856093,0.805678,0.370185,0.253793,5.142522,-2,1.4,1.4
148,26.736382,12.022992,0.874889,0.399655,0.072448,5.071767,-2,1.4,1.4
149,26.917086,12.188992,0.946289,0.449853,0.483499,5,3.7,1.4,1.4
150,27.097601,12.347963,1.03181,0.505727,0.13475,5.131843,1.219158,1.4,1.4
151,27.278306,12.504971,1.121267,0.541774,0.264403,5.174594,-2,1.4,1.4
152,27.458954,12.657481,1.218091,0.600338,0.383821,5.104295,-0.916278,1.4,1.4
153,27.639584,12.802899,1.325238,0.64239,0.081651,5.071767,-2,1.4,1.4
154,27.820288,12.946781,1.434564,0.711189,0.680686,5,3.7,1.4,1.4
155,28.000652,13.075923,1.560474,0.796965,0.268225,5.131734,-1.693452,1.4,1.4
156,28.18135,13.199046,1.692733,0.843107,0.242973,5.071754,-2,1.4,1.4
157,28.362021,13.316228,1.830248,0.918713,0.594167,5,2.002173,1.4,1.4
158,28.542529,13.417909,1.979393,0.983491,0.122599,5.071767,-2,1.4,1.4
159,28.723234,13.516371,2.130917,1.045093,0.559703,5,3.7,1.4,1.4
160,28.90374,13.598941,2.29143,1.126669,0.342931,5.131836,-1.696294,1.4,1.4
