scope,count,p50_ms,p90_ms,p95_ms,p99_ms,max_ms,interpretation
ACTIVE_DRIVE_FULL_CALLBACK,4300,0.430958,1.276225,1.491542,1.561764,30.853729,continuation and early exits dominate
ACTIVE_DRIVE_S1_EVALUATOR_ALL_INVOKED,3417,0.007645,0.010117,0.010872,0.013750,27.980873,includes no-blocking-obstacle early exits
CONSTRUCTED_S1_EVALUATOR,16,22.895625,29.102979,29.939347,30.020171,30.040377,all 16 built and validated 12 paths
CONSTRUCTED_FULL_CALLBACK,16,25.690446,32.276484,33.421499,33.475517,33.489021,fresh-generation tail exceeds nominal 25 ms
LOCAL_WAYPOINT_PUBLICATION_GAP,26867,3.446579,6.755352,6.972957,7.452579,11.393785,milliseconds between adjacent publications during active drive
PRE_SMOKE_OFFLINE_S1_EVALUATOR,,11.150000,,20.214000,20.953000,26.946000,user-supplied frozen baseline
PRE_SMOKE_OFFLINE_FULL_CALLBACK,,13.925000,,22.840000,32.220000,34.678000,user-supplied frozen baseline
