selector,budget_k,failure_mechanism,episode_count,recovered_episode_count,recovery_rate,recovered_event_ids,unrecovered_event_ids
H4A_GEOMETRY_TRANSITION,24,S_PROBE_DOMINANT,1,0,0.0,,DVE039
H4A_GEOMETRY_TRANSITION,24,TEMPLATE_OR_TRANSITION_SELECTION,13,12,0.9230769230769231,DVE001|DVE006|DVE012|DVE015|DVE017|DVE018|DVE019|DVE022|DVE023|DVE024|DVE031|DVE038,DVE029
H4A_GEOMETRY_TRANSITION,24,OTHER,6,2,0.3333333333333333,DVE007|DVE020,DVE002|DVE030|DVE032|DVE037
H4B_GEOMETRY_LATERAL_TRANSITION,4,D_PROBE_DOMINANT,3,2,0.6666666666666666,DVE004|DVE014,DVE005
H4B_GEOMETRY_LATERAL_TRANSITION,4,S_PROBE_DOMINANT,1,0,0.0,,DVE039
H4B_GEOMETRY_LATERAL_TRANSITION,4,TEMPLATE_OR_TRANSITION_SELECTION,13,9,0.6923076923076923,DVE001|DVE012|DVE015|DVE017|DVE018|DVE022|DVE023|DVE031|DVE038,DVE006|DVE019|DVE024|DVE029
H4B_GEOMETRY_LATERAL_TRANSITION,4,OTHER,6,2,0.3333333333333333,DVE007|DVE020,DVE002|DVE030|DVE032|DVE037
H4B_GEOMETRY_LATERAL_TRANSITION,8,D_PROBE_DOMINANT,3,2,0.6666666666666666,DVE004|DVE014,DVE005
H4B_GEOMETRY_LATERAL_TRANSITION,8,S_PROBE_DOMINANT,1,0,0.0,,DVE039
H4B_GEOMETRY_LATERAL_TRANSITION,8,TEMPLATE_OR_TRANSITION_SELECTION,13,11,0.8461538461538461,DVE001|DVE006|DVE012|DVE015|DVE017|DVE018|DVE019|DVE022|DVE023|DVE031|DVE038,DVE024|DVE029
H4B_GEOMETRY_LATERAL_TRANSITION,8,OTHER,6,2,0.3333333333333333,DVE007|DVE020,DVE002|DVE030|DVE032|DVE037
H4B_GEOMETRY_LATERAL_TRANSITION,12,D_PROBE_DOMINANT,3,2,0.6666666666666666,DVE004|DVE014,DVE005
H4B_GEOMETRY_LATERAL_TRANSITION,12,S_PROBE_DOMINANT,1,1,1.0,DVE039,
H4B_GEOMETRY_LATERAL_TRANSITION,12,TEMPLATE_OR_TRANSITION_SELECTION,13,11,0.8461538461538461,DVE001|DVE006|DVE012|DVE015|DVE017|DVE018|DVE019|DVE022|DVE023|DVE031|DVE038,DVE024|DVE029
H4B_GEOMETRY_LATERAL_TRANSITION,12,OTHER,6,2,0.3333333333333333,DVE007|DVE020,DVE002|DVE030|DVE032|DVE037
H4B_GEOMETRY_LATERAL_TRANSITION,16,D_PROBE_DOMINANT,3,2,0.6666666666666666,DVE004|DVE014,DVE005
H4B_GEOMETRY_LATERAL_TRANSITION,16,S_PROBE_DOMINANT,1,1,1.0,DVE039,
H4B_GEOMETRY_LATERAL_TRANSITION,16,TEMPLATE_OR_TRANSITION_SELECTION,13,11,0.8461538461538461,DVE001|DVE006|DVE012|DVE015|DVE017|DVE018|DVE019|DVE022|DVE023|DVE031|DVE038,DVE024|DVE029
H4B_GEOMETRY_LATERAL_TRANSITION,16,OTHER,6,2,0.3333333333333333,DVE007|DVE020,DVE002|DVE030|DVE032|DVE037
H4B_GEOMETRY_LATERAL_TRANSITION,24,D_PROBE_DOMINANT,3,2,0.6666666666666666,DVE004|DVE014,DVE005
H4B_GEOMETRY_LATERAL_TRANSITION,24,S_PROBE_DOMINANT,1,1,1.0,DVE039,
H4B_GEOMETRY_LATERAL_TRANSITION,24,TEMPLATE_OR_TRANSITION_SELECTION,13,11,0.8461538461538461,DVE001|DVE006|DVE012|DVE015|DVE017|DVE018|DVE019|DVE022|DVE023|DVE031|DVE038,DVE024|DVE029
H4B_GEOMETRY_LATERAL_TRANSITION,24,OTHER,6,2,0.3333333333333333,DVE007|DVE020,DVE002|DVE030|DVE032|DVE037
