control_event_id,selector,budget_k,dataset_role,production_digest_parity,production_hard_valid_count,production_hard_valid_side_availability,production_selected_side,production_selected_minimum_normalized_safety_slack,production_selected_footprint_track_margin_m,production_selected_obstacle_margin_m,proposed_selected_exact_tuple_count,proposed_construction_guard_reject_count,proposed_duplicate_path_count,proposed_deduplicated_validator_calls,proposed_hard_valid_count,proposed_generates_hard_valid,proposed_hard_valid_side_availability,production_selected_side_available_in_proposed,proposed_best_minimum_normalized_safety_slack,proposed_minus_production_normalized_safety_slack,proposed_best_footprint_track_margin_m,proposed_minus_production_footprint_margin_m,proposed_best_obstacle_margin_m,proposed_minus_production_obstacle_margin_m,offline_audit_harness_wall_runtime_s,deployment_fallback_behavior,deployment_additional_validator_calls_on_success,deployment_selected_path_changed
SCE001,H4B_GEOMETRY_LATERAL_TRANSITION,4,PILOT_SEEN_DEVELOPMENT_DATA_SUCCESS_CONTROL_AUXILIARY,True,2,LEFT,LEFT,0.017483366486120217,0.005189512818077814,0.026225049729180328,4,0,0,4,0,False,,False,,,,,,,0.007923418001155369,PRODUCTION_FIRST_SKIP_PROPOSED_STAGE_WHEN_PRODUCTION_HARD_VALID,0,False
SCE001,H4B_GEOMETRY_LATERAL_TRANSITION,8,PILOT_SEEN_DEVELOPMENT_DATA_SUCCESS_CONTROL_AUXILIARY,True,2,LEFT,LEFT,0.017483366486120217,0.005189512818077814,0.026225049729180328,8,0,0,8,3,True,LEFT,True,0.040367392535816372,0.022884026049696155,0.005703521165303628,0.0005140083472258139,0.41270403461816513,0.3864789848889848,0.01861844000086421,PRODUCTION_FIRST_SKIP_PROPOSED_STAGE_WHEN_PRODUCTION_HARD_VALID,0,False
SCE001,H4B_GEOMETRY_LATERAL_TRANSITION,12,PILOT_SEEN_DEVELOPMENT_DATA_SUCCESS_CONTROL_AUXILIARY,True,2,LEFT,LEFT,0.017483366486120217,0.005189512818077814,0.026225049729180328,12,0,0,12,3,True,LEFT,True,0.040367392535816372,0.022884026049696155,0.005703521165303628,0.0005140083472258139,0.41270403461816513,0.3864789848889848,0.01603940700078965,PRODUCTION_FIRST_SKIP_PROPOSED_STAGE_WHEN_PRODUCTION_HARD_VALID,0,False
SCE001,H4B_GEOMETRY_LATERAL_TRANSITION,16,PILOT_SEEN_DEVELOPMENT_DATA_SUCCESS_CONTROL_AUXILIARY,True,2,LEFT,LEFT,0.017483366486120217,0.005189512818077814,0.026225049729180328,16,0,0,16,4,True,LEFT,True,0.040814434451718985,0.023331067965598768,0.0047969197094975061,-0.00039259310858030805,0.20322350879012763,0.1769984590609473,0.025611333996494068,PRODUCTION_FIRST_SKIP_PROPOSED_STAGE_WHEN_PRODUCTION_HARD_VALID,0,False
SCE001,H4B_GEOMETRY_LATERAL_TRANSITION,24,PILOT_SEEN_DEVELOPMENT_DATA_SUCCESS_CONTROL_AUXILIARY,True,2,LEFT,LEFT,0.017483366486120217,0.005189512818077814,0.026225049729180328,24,0,0,24,5,True,LEFT,True,0.040814434451718985,0.023331067965598768,0.0047969197094975061,-0.00039259310858030805,0.20322350879012763,0.1769984590609473,0.020861036999122007,PRODUCTION_FIRST_SKIP_PROPOSED_STAGE_WHEN_PRODUCTION_HARD_VALID,0,False
SCE002,H3_FIXED_BOUNDED,4,PILOT_SEEN_DEVELOPMENT_DATA_SUCCESS_CONTROL_AUXILIARY,True,2,LEFT,LEFT,0.010550143915425617,0.530378934551757,0.015825215873138426,4,0,0,4,2,True,LEFT,True,0.0069365735414967005,-0.0036135703739289165,0.530378934551757,0.0,0.010404860312245051,-0.005420355560893375,0.007345216999965487,PRODUCTION_FIRST_SKIP_PROPOSED_STAGE_WHEN_PRODUCTION_HARD_VALID,0,False
SCE002,H3_FIXED_BOUNDED,8,PILOT_SEEN_DEVELOPMENT_DATA_SUCCESS_CONTROL_AUXILIARY,True,2,LEFT,LEFT,0.010550143915425617,0.530378934551757,0.015825215873138426,8,0,0,8,3,True,LEFT,True,0.1072414300248012,0.09669128610937558,0.46882894057408914,-0.06154999397766786,0.16086214503720181,0.14503692916406338,0.009021455000038259,PRODUCTION_FIRST_SKIP_PROPOSED_STAGE_WHEN_PRODUCTION_HARD_VALID,0,False
SCE002,H3_FIXED_BOUNDED,12,PILOT_SEEN_DEVELOPMENT_DATA_SUCCESS_CONTROL_AUXILIARY,True,2,LEFT,LEFT,0.010550143915425617,0.530378934551757,0.015825215873138426,12,0,1,11,3,True,LEFT,True,0.1072414300248012,0.09669128610937558,0.46882894057408914,-0.06154999397766786,0.16086214503720181,0.14503692916406338,0.01104721400042763,PRODUCTION_FIRST_SKIP_PROPOSED_STAGE_WHEN_PRODUCTION_HARD_VALID,0,False
SCE002,H3_FIXED_BOUNDED,16,PILOT_SEEN_DEVELOPMENT_DATA_SUCCESS_CONTROL_AUXILIARY,True,2,LEFT,LEFT,0.010550143915425617,0.530378934551757,0.015825215873138426,16,1,1,14,3,True,LEFT,True,0.1072414300248012,0.09669128610937558,0.46882894057408914,-0.06154999397766786,0.16086214503720181,0.14503692916406338,0.011638940999546321,PRODUCTION_FIRST_SKIP_PROPOSED_STAGE_WHEN_PRODUCTION_HARD_VALID,0,False
SCE002,H3_FIXED_BOUNDED,24,PILOT_SEEN_DEVELOPMENT_DATA_SUCCESS_CONTROL_AUXILIARY,True,2,LEFT,LEFT,0.010550143915425617,0.530378934551757,0.015825215873138426,24,3,2,19,4,True,LEFT,True,0.1072414300248012,0.09669128610937558,0.46882894057408914,-0.06154999397766786,0.16086214503720181,0.14503692916406338,0.013347831001738086,PRODUCTION_FIRST_SKIP_PROPOSED_STAGE_WHEN_PRODUCTION_HARD_VALID,0,False
