development_event_id,feature_scope,online_feature_contract,side,ego_d_m,ego_speed_mps,obstacle_start_distance_m,available_entry_distance_m,obstacle_longitudinal_span_m,inflated_obstacle_d_right_m,inflated_obstacle_d_left_m,chosen_side_free_lower_m,chosen_side_free_upper_m,chosen_side_free_width_m,corridor_bottleneck_lower_m,corridor_bottleneck_upper_m,corridor_bottleneck_width_m,corridor_bottleneck_center_m,corridor_bottleneck_station_m,available_merge_exit_distance_m,available_merge_exit_status,reference_curvature_entry_radpm,reference_curvature_obstacle_radpm,reference_curvature_exit_radpm,maximum_abs_reference_curvature_radpm,curvature_sign_change,curvature_pattern,track_width_variation_m,corridor_component_count,corridor_components_json,success_control_selection_hash
DVE001,EVENT_SIDE,PRE_PLANNING_ONLY_NO_VALIDATOR_OR_ORACLE_OUTCOME,RIGHT,-0.669079293972638,0.20287498389138472,0.5303974721786826,0.5303974721786826,0.21568639067760387,-0.4678264568302881,0.19643665874293456,-0.7225,-0.4678264568302881,0.2546735431697119,-0.7225,-0.4678264568302881,0.2546735431697119,-0.595163228415144,0.5763472806706762,3.4741172654102854,TO_NEXT_VISIBLE_OBSTACLE,1.538579667718559e-15,1.538579667718559e-15,0.23727458169239227,0.23670338713013944,False,NEGATIVE,0.08750000000000013,1,"[[-0.6975, -0.4678264568302881]]",
DVE002,EVENT_SIDE,PRE_PLANNING_ONLY_NO_VALIDATOR_OR_ORACLE_OUTCOME,LEFT,0.15582772957225538,0.0,0.23626025452301447,0.23626025452301447,0.3352187232507675,-0.6159535896339117,0.41795442595556653,-0.006634485107256172,0.9600000000000002,0.9666344851072564,0.41795442595556653,0.9725000000000001,0.5545455740444336,0.6952272129777833,0.24672569555011414,14.428521022226217,CENSORED_AT_15M_LOOKAHEAD,0.6636512270917774,0.605537730392042,-6.593912861650967e-16,0.6636512270917774,True,SIGN_CHANGE,1.4124999999999996,1,"[[0.41795442595556653, 0.9600000000000002]]",
DVE003,EVENT_SIDE,PRE_PLANNING_ONLY_NO_VALIDATOR_OR_ORACLE_OUTCOME,RIGHT,-0.9799189488045283,0.0,1.0979426186985952,1.0979426186985952,0.07861207154707017,-0.562044823089171,0.009008159040336972,-0.9850000000000001,-0.562044823089171,0.42295517691082907,-0.9850000000000001,-0.562044823089171,0.42295517691082907,-0.7735224115445856,1.1372486544721303,4.779229769498539,TO_NEXT_VISIBLE_OBSTACLE,0.2334746559707746,0.2334746559707746,-2.08807240618944e-15,0.30429655648995757,True,SIGN_CHANGE,0.3125,1,"[[-0.9850000000000001, -0.562044823089171]]",
DVE004,EVENT_SIDE,PRE_PLANNING_ONLY_NO_VALIDATOR_OR_ORACLE_OUTCOME,LEFT,0.11913705194592336,0.0,0.03919180232155539,0.03919180232155539,0.06960125795286887,-0.4950899188648962,0.14612365056206014,0.14612365056206014,0.9725000000000001,0.82637634943794,0.14612365056206014,0.9725000000000001,0.82637634943794,0.5593118252810302,0.06536223987305068,1.7901001808633328,TO_NEXT_VISIBLE_OBSTACLE,0.6636512270917774,0.6636512270917774,0.29185193577797297,0.6636512270917774,False,POSITIVE,0.3125,1,"[[0.14612365056206014, 0.9725000000000001]]",
DVE005,EVENT_SIDE,PRE_PLANNING_ONLY_NO_VALIDATOR_OR_ORACLE_OUTCOME,RIGHT,-0.29147676794776134,0.32444270983246104,0.12750660984781725,0.12750660984781725,0.023277555928176596,-0.39115057871499376,0.08963362494306767,-0.71,-0.39115057871499376,0.3188494212850062,-0.71,-0.39115057871499376,0.3188494212850062,-0.5505752893574969,0.13914538781190555,14.849215834224006,CENSORED_AT_15M_LOOKAHEAD,0.6926792346629709,0.6926792346629709,-6.593912861650967e-16,0.6636512270917774,True,SIGN_CHANGE,1.4124999999999996,1,"[[-0.71, -0.39115057871499376]]",
DVE006,EVENT_SIDE,PRE_PLANNING_ONLY_NO_VALIDATOR_OR_ORACLE_OUTCOME,LEFT,0.24502107913697357,0.0,0.32654278804298875,0.32654278804298875,0.27080253141754174,-0.62612552681928,0.020828346384911267,0.020828346384911267,0.9600000000000002,0.9391716536150889,0.020828346384911267,0.9600000000000002,0.9391716536150889,0.4904141731924557,0.4619440537517596,2.43150520128144,TO_NEXT_VISIBLE_OBSTACLE,0.6636512270917774,0.605537730392042,0.25816524610154745,0.605537730392042,False,POSITIVE,0.3624999999999998,1,"[[0.020828346384911267, 0.9600000000000002]]",
DVE007,EVENT_SIDE,PRE_PLANNING_ONLY_NO_VALIDATOR_OR_ORACLE_OUTCOME,RIGHT,-0.09211946865662855,0.0,0.17928945394084939,0.17928945394084939,0.0147446561527107,-0.2275967546695623,0.2502629819789842,-0.86,-0.2275967546695623,0.6324032453304377,-0.86,-0.2275967546695623,0.6324032453304377,-0.5437983773347812,0.18666178201720474,2.3036441271377273,TO_NEXT_VISIBLE_OBSTACLE,0.659405264656562,0.659405264656562,0.28712274273133215,0.6926792346629709,False,POSITIVE,0.3125,1,"[[-0.86, -0.2275967546695623]]",
DVE008,EVENT_SIDE,PRE_PLANNING_ONLY_NO_VALIDATOR_OR_ORACLE_OUTCOME,LEFT,-0.18201242357416456,0.0,0.05499503192589117,0.05499503192589117,0.6910207768661678,-0.8199562003127041,0.31223431778039207,0.31223431778039207,0.785,0.47276568221960796,0.31223431778039207,0.785,0.47276568221960796,0.548617158890196,0.07393146874382239,14.253984191207941,CENSORED_AT_15M_LOOKAHEAD,7.692898338592898e-16,3.736550621602234e-15,-0.45005781663483174,0.6410749943005153,True,SIGN_CHANGE,1.2500000000000004,1,"[[0.31223431778039207, 0.785]]",
DVE009,EVENT_SIDE,PRE_PLANNING_ONLY_NO_VALIDATOR_OR_ORACLE_OUTCOME,LEFT,0.13666459376074072,0.0,0.23577233602288072,0.23577233602288072,0.20927764200604004,-0.3417368522637951,0.4688228254292527,0.4688228254292527,0.9725000000000001,0.5036771745707475,0.4688228254292527,0.9725000000000001,0.5036771745707475,0.7206614127146265,0.25851840947660154,2.5954800120974504,TO_NEXT_VISIBLE_OBSTACLE,0.6636512270917774,0.6636512270917774,0.25816524610154745,0.6636512270917774,False,POSITIVE,0.3624999999999998,1,"[[0.4688228254292527, 0.9600000000000002]]",
DVE010,EVENT_SIDE,PRE_PLANNING_ONLY_NO_VALIDATOR_OR_ORACLE_OUTCOME,LEFT,0.20795213566231097,0.0,0.2490852162417817,0.2490852162417817,0.3739405825104476,-0.6437619718508489,0.48278321218374576,0.008841035071502912,0.9600000000000002,0.9511589649284973,0.48278321218374576,0.9725000000000001,0.4897167878162544,0.7276416060918729,0.25754503606918544,2.453931879279505,TO_NEXT_VISIBLE_OBSTACLE,0.6636512270917774,0.605537730392042,0.25816524610154745,0.6636512270917774,False,POSITIVE,0.3624999999999998,1,"[[0.48278321218374576, 0.9600000000000002]]",
