dataset_role,hypothesis,budget_k,episode_count,cheap_lateral_factor_evaluations_total,cheap_pair_priority_evaluations_total,p3_reconstruction_attempts_total,p3_reconstruction_attempts_per_episode_p95,p3_reconstruction_attempts_per_episode_max,fully_reconstructed_candidates_total,unique_constructed_candidates_total,validator_calls_total,validator_calls_per_episode_p95,validator_calls_per_episode_max,raw_audit_harness_validator_executions_total,construction_guard_rejects_total,duplicate_constructed_paths_total
COMBINED_SEEN,R1_FEASIBILITY_LEXICOGRAPHIC,16,77,104155.0,694600.0,1232.0,16.0,16.0,1232.0,1193.0,1193.0,16.0,16.0,1232.0,0.0,39.0
COMBINED_SEEN,R1_FEASIBILITY_LEXICOGRAPHIC,24,77,104155.0,694600.0,1848.0,24.0,24.0,1848.0,1790.0,1790.0,24.0,24.0,1848.0,0.0,58.0
COMBINED_SEEN,R2_BALANCED_PHYSICS_SCORE,8,77,104155.0,694600.0,616.0,8.0,8.0,616.0,593.0,593.0,8.0,8.0,616.0,0.0,23.0
COMBINED_SEEN,R2_BALANCED_PHYSICS_SCORE,12,77,104155.0,694600.0,924.0,12.0,12.0,924.0,889.0,889.0,12.0,12.0,924.0,0.0,35.0
COMBINED_SEEN,R2_BALANCED_PHYSICS_SCORE,16,77,104155.0,694600.0,1232.0,16.0,16.0,1232.0,1185.0,1185.0,16.0,16.0,1232.0,0.0,47.0
COMBINED_SEEN,R2_BALANCED_PHYSICS_SCORE,24,77,104155.0,694600.0,1848.0,24.0,24.0,1848.0,1778.0,1778.0,24.0,24.0,1848.0,0.0,70.0
COMBINED_SEEN,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,8,77,104155.0,694600.0,616.0,8.0,8.0,616.0,597.0,597.0,8.0,8.0,616.0,0.0,19.0
COMBINED_SEEN,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,12,77,104155.0,694600.0,924.0,12.0,12.0,924.0,852.0,852.0,12.0,12.0,924.0,0.0,72.0
COMBINED_SEEN,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,16,77,104155.0,694600.0,1232.0,16.0,16.0,1232.0,1144.0,1144.0,16.0,16.0,1232.0,0.0,88.0
COMBINED_SEEN,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,24,77,104155.0,694600.0,1848.0,24.0,24.0,1848.0,1621.0,1621.0,24.0,24.0,1848.0,0.0,227.0
