dataset_role,method,budget_k,hard_feasible_denominator,hard_recovered,usable_feasible_denominator,usable_recovered,interpretation
COMBINED_SEEN,REFERENCE_ORACLE_V2,FINITE_EXHAUSTIVE,48,48,36,36,OFFLINE_FINITE_DOMAIN_REFERENCE_NOT_ONLINE
COMBINED_SEEN,R1_FEASIBILITY_LEXICOGRAPHIC,8,48,31,36,29,SEEN_ONLY_V2_DESIGN_RESULT
COMBINED_SEEN,R1_FEASIBILITY_LEXICOGRAPHIC,12,48,35,36,32,SEEN_ONLY_V2_DESIGN_RESULT
COMBINED_SEEN,R1_FEASIBILITY_LEXICOGRAPHIC,16,48,36,36,33,SEEN_ONLY_V2_DESIGN_RESULT
COMBINED_SEEN,R1_FEASIBILITY_LEXICOGRAPHIC,24,48,36,36,33,SEEN_ONLY_V2_DESIGN_RESULT
COMBINED_SEEN,R2_BALANCED_PHYSICS_SCORE,8,48,32,36,27,SEEN_ONLY_V2_DESIGN_RESULT
COMBINED_SEEN,R2_BALANCED_PHYSICS_SCORE,12,48,36,36,30,SEEN_ONLY_V2_DESIGN_RESULT
COMBINED_SEEN,R2_BALANCED_PHYSICS_SCORE,16,48,39,36,33,SEEN_ONLY_V2_DESIGN_RESULT
COMBINED_SEEN,R2_BALANCED_PHYSICS_SCORE,24,48,39,36,33,SEEN_ONLY_V2_DESIGN_RESULT
COMBINED_SEEN,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,8,48,31,36,29,SEEN_ONLY_V2_DESIGN_RESULT
COMBINED_SEEN,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,12,48,36,36,32,SEEN_ONLY_V2_DESIGN_RESULT
COMBINED_SEEN,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,16,48,38,36,33,SEEN_ONLY_V2_DESIGN_RESULT
COMBINED_SEEN,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,24,48,39,36,34,SEEN_ONLY_V2_DESIGN_RESULT
