dataset_role,validity_metric,hypothesis,budget_k,oracle_v2_feasible_production_failure_count,recovered_episode_count,recovery_rate,recovered_event_ids,unrecovered_event_ids
DEVELOPMENT,USABLE,R2_BALANCED_PHYSICS_SCORE,24,17,15,0.8823529411764706,DVE001|DVE002|DVE005|DVE012|DVE014|DVE015|DVE017|DVE018|DVE020|DVE024|DVE029|DVE030|DVE031|DVE037|DVE038,DVE022|DVE039
DEVELOPMENT,USABLE,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,8,17,13,0.7647058823529411,DVE001|DVE012|DVE014|DVE015|DVE017|DVE018|DVE020|DVE024|DVE029|DVE030|DVE031|DVE037|DVE038,DVE002|DVE005|DVE022|DVE039
DEVELOPMENT,USABLE,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,12,17,14,0.8235294117647058,DVE001|DVE012|DVE014|DVE015|DVE017|DVE018|DVE020|DVE024|DVE029|DVE030|DVE031|DVE037|DVE038|DVE039,DVE002|DVE005|DVE022
DEVELOPMENT,USABLE,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,16,17,15,0.8823529411764706,DVE001|DVE002|DVE012|DVE014|DVE015|DVE017|DVE018|DVE020|DVE024|DVE029|DVE030|DVE031|DVE037|DVE038|DVE039,DVE005|DVE022
DEVELOPMENT,USABLE,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,24,17,16,0.9411764705882353,DVE001|DVE002|DVE005|DVE012|DVE014|DVE015|DVE017|DVE018|DVE020|DVE024|DVE029|DVE030|DVE031|DVE037|DVE038|DVE039,DVE022
VALIDATION_SEEN_AFTER_V1,HARD,R1_FEASIBILITY_LEXICOGRAPHIC,8,25,16,0.64,VUE004|VUE005|VUE006|VUE007|VUE008|VUE018|VUE020|VUE023|VUE024|VUE025|VUE027|VUE028|VUE030|VUE032|VUE033|VUE034,VUE009|VUE010|VUE011|VUE012|VUE013|VUE014|VUE026|VUE035|VUE036
VALIDATION_SEEN_AFTER_V1,HARD,R1_FEASIBILITY_LEXICOGRAPHIC,12,25,18,0.72,VUE004|VUE005|VUE006|VUE007|VUE008|VUE018|VUE020|VUE023|VUE024|VUE025|VUE026|VUE027|VUE028|VUE030|VUE032|VUE033|VUE034|VUE036,VUE009|VUE010|VUE011|VUE012|VUE013|VUE014|VUE035
VALIDATION_SEEN_AFTER_V1,HARD,R1_FEASIBILITY_LEXICOGRAPHIC,16,25,18,0.72,VUE004|VUE005|VUE006|VUE007|VUE008|VUE018|VUE020|VUE023|VUE024|VUE025|VUE026|VUE027|VUE028|VUE030|VUE032|VUE033|VUE034|VUE036,VUE009|VUE010|VUE011|VUE012|VUE013|VUE014|VUE035
VALIDATION_SEEN_AFTER_V1,HARD,R1_FEASIBILITY_LEXICOGRAPHIC,24,25,18,0.72,VUE004|VUE005|VUE006|VUE007|VUE008|VUE018|VUE020|VUE023|VUE024|VUE025|VUE026|VUE027|VUE028|VUE030|VUE032|VUE033|VUE034|VUE036,VUE009|VUE010|VUE011|VUE012|VUE013|VUE014|VUE035
VALIDATION_SEEN_AFTER_V1,HARD,R2_BALANCED_PHYSICS_SCORE,8,25,15,0.6,VUE004|VUE005|VUE006|VUE007|VUE008|VUE011|VUE018|VUE020|VUE023|VUE024|VUE027|VUE028|VUE030|VUE033|VUE034,VUE009|VUE010|VUE012|VUE013|VUE014|VUE025|VUE026|VUE032|VUE035|VUE036
VALIDATION_SEEN_AFTER_V1,HARD,R2_BALANCED_PHYSICS_SCORE,12,25,18,0.72,VUE004|VUE005|VUE006|VUE007|VUE008|VUE011|VUE018|VUE020|VUE023|VUE024|VUE025|VUE026|VUE027|VUE028|VUE030|VUE033|VUE034|VUE036,VUE009|VUE010|VUE012|VUE013|VUE014|VUE032|VUE035
VALIDATION_SEEN_AFTER_V1,HARD,R2_BALANCED_PHYSICS_SCORE,16,25,19,0.76,VUE004|VUE005|VUE006|VUE007|VUE008|VUE011|VUE018|VUE020|VUE023|VUE024|VUE025|VUE026|VUE027|VUE028|VUE030|VUE032|VUE033|VUE034|VUE036,VUE009|VUE010|VUE012|VUE013|VUE014|VUE035
VALIDATION_SEEN_AFTER_V1,HARD,R2_BALANCED_PHYSICS_SCORE,24,25,19,0.76,VUE004|VUE005|VUE006|VUE007|VUE008|VUE011|VUE018|VUE020|VUE023|VUE024|VUE025|VUE026|VUE027|VUE028|VUE030|VUE032|VUE033|VUE034|VUE036,VUE009|VUE010|VUE012|VUE013|VUE014|VUE035
