event_id,dataset_role,repeat,evaluation_wall_us,gqsc_generation_us,exact_validation_us,final_ranking_us,lifecycle_us,fallback_us,callback_total_us,pair_proxy_count,reconstruction_count,validator_count,outcome
V2E01,PILOT_SEEN_DEVELOPMENT_DATA,0,9474.1319999999996,5321.5359999999991,4113.0480000000007,6.2640000000000002,592.76099999999997,0,10069.566000000001,128,12,10,FRESH_SELECTED
V2E01,PILOT_SEEN_DEVELOPMENT_DATA,1,9706.0750000000007,5360.6080000000002,4302.7730000000001,7.8810000000000002,870.21500000000003,0,10579.956,128,12,10,FRESH_SELECTED
V2E01,PILOT_SEEN_DEVELOPMENT_DATA,2,12689.757,7523.8999999999996,5123.5820000000003,7.8639999999999999,863.01700000000005,0,13556.873,128,12,10,FRESH_SELECTED
V2E01,PILOT_SEEN_DEVELOPMENT_DATA,3,9871.9369999999999,5668.6469999999999,4162.8090000000002,7.5259999999999998,597.41899999999998,0,10472.316999999999,128,12,10,FRESH_SELECTED
V2E01,PILOT_SEEN_DEVELOPMENT_DATA,4,8801.8809999999994,5007.9670000000006,3756.9020000000005,7.4100000000000001,830.92100000000005,0,9636.1239999999998,128,12,10,FRESH_SELECTED
V2E01,PILOT_SEEN_DEVELOPMENT_DATA,5,14326.117,8249.4220000000005,6024.2860000000001,9.1479999999999997,886.09799999999996,0,15214.978999999999,128,12,10,FRESH_SELECTED
V2E01,PILOT_SEEN_DEVELOPMENT_DATA,6,11293.044,7113.3440000000001,4140.8890000000001,7.2770000000000001,516.63300000000004,0,11812.463,128,12,10,FRESH_SELECTED
V2E02,PILOT_SEEN_DEVELOPMENT_DATA,0,15876.950999999999,7650.9280000000008,8171.884,9.7170000000000005,1189.7470000000001,0,17107.444,128,12,11,FRESH_SELECTED
V2E02,PILOT_SEEN_DEVELOPMENT_DATA,1,16306.778,9351.7989999999991,6911.0429999999997,8.484,823.31500000000005,0,17158.888999999999,128,12,11,FRESH_SELECTED
V2E02,PILOT_SEEN_DEVELOPMENT_DATA,2,14280.742,7491.7979999999989,6744.3090000000011,9.9100000000000001,707.05399999999997,0,14991.367,128,12,11,FRESH_SELECTED
