scope,samples,p50_ms,p90_ms,p95_ms,p99_ms,max_ms,gate_25ms
production_equivalent_s1_evaluator,728,11.092112,17.367899,19.742289,20.758241,21.023309,PASS
full_callback_model,728,16.860622,39.238762,43.207782,55.005568,55.968214,FAIL
