development_event_id,dataset_role,episode_id,bag,elapsed_s,callback_sequence,evaluation_sequence,exact_lineage_and_reconstruction_parity,production_hard_valid_count,oracle_hard_valid_count,mechanism_class,classification_evidence,production_stage,production_template,side,production_s_probe,production_d_probe,production_d_target,production_d_mid,nearest_oracle_valid_d_mid,d_oracle_at_production_s_probe,required_delta_d_probe_m,branch_filter_pass_if_anchor_changed,root_bound_pass_if_anchor_changed,root_lower_bound,root_upper_bound,root_bound_rule,station_sweep_min_abs_residual_m,station_sweep_argmin_m,station_sweep_zero_crossing
DVE004,DEVELOPMENT,rosbag2_2026_08_24-19_24_17__EP0050,rosbag2_2026_08_24-19_24_17,596.260105794,23493,1,True,0,10,D_PROBE_DOMINANT,fixed-s anchor correction recovers oracle tuple; current-anchor station sweep has no intersection,M1,NEAR_LONG,LEFT,0.06536223987305068,0.5593118252810302,0.15,0.6150186810751646,0.16000000000000078,0.15921652656574264,-0.40009529871528754,True,True,0.15,0.9725000000000001,M1_CONNECTED_CONSTANT_COMPONENT,0.3993118252810294,0.07399243129798982,False
DVE005,DEVELOPMENT,rosbag2_2026_08_24-19_24_17__EP0057,rosbag2_2026_08_24-19_24_17,637.11014269,25100,1,True,0,12,D_PROBE_DOMINANT,fixed-s anchor correction recovers oracle tuple; current-anchor station sweep has no intersection,M0_V1,FROZEN_V1_CURVATURE_CONTINUITY,RIGHT,0.13914538781190555,-0.4711505787149938,-0.39115057871499376,-0.4711505787149931,-0.44999999999999996,-0.44999999999999996,0.021150578714993817,True,True,-0.71,-0.39115057871499376,M0_V1_MID_INTERVAL_PLUS_SIDE_MONOTONICITY,0.021150578714993817,0.13914538781190555,False
DVE014,DEVELOPMENT,rosbag2_2026_08_24-19_24_17__EP0069,rosbag2_2026_08_24-19_24_17,724.130108493,28107,1,True,0,44,D_PROBE_DOMINANT,fixed-s anchor correction recovers oracle tuple; current-anchor station sweep has no intersection,M0_V1,FROZEN_V1_CURVATURE_CONTINUITY,RIGHT,0.16805805978815336,-0.4506815156606074,-0.37068151566060736,-0.4506815156606081,-0.41000000000000003,-0.41000000000000003,0.04068151566060735,True,True,-0.8975000000000001,-0.37068151566060736,M0_V1_MID_INTERVAL_PLUS_SIDE_MONOTONICITY,0.04068151566060735,0.16805805978815336,False
