development_event_id,dataset_role,episode_id,bag,elapsed_s,callback_sequence,evaluation_sequence,exact_lineage_and_reconstruction_parity,production_hard_valid_count,oracle_hard_valid_count,side,production_stage,production_s_probe,production_d_probe,d_oracle_at_production_s_probe,delta_d_probe_required_m,absolute_delta_d_probe_required_m,correction_direction,corridor_width_m,corridor_center_m,d_probe_minus_corridor_center_m,station_sweep_min_abs_residual_m,station_sweep_zero_crossing
DVE004,DEVELOPMENT,rosbag2_2026_08_24-19_24_17__EP0050,rosbag2_2026_08_24-19_24_17,596.260105794,23493,1,True,0,10,LEFT,M1,0.06536223987305068,0.5593118252810302,0.15921652656574264,-0.40009529871528754,0.40009529871528754,TOWARD_ZERO,0.82637634943794,0.5593118252810302,0.0,0.3993118252810294,False
DVE005,DEVELOPMENT,rosbag2_2026_08_24-19_24_17__EP0057,rosbag2_2026_08_24-19_24_17,637.11014269,25100,1,True,0,12,RIGHT,M0_V1,0.13914538781190555,-0.4711505787149938,-0.44999999999999996,0.021150578714993817,0.021150578714993817,TOWARD_ZERO,0.3188494212850062,-0.5505752893574969,0.07942471064250312,0.021150578714993817,False
DVE014,DEVELOPMENT,rosbag2_2026_08_24-19_24_17__EP0069,rosbag2_2026_08_24-19_24_17,724.130108493,28107,1,True,0,44,RIGHT,M0_V1,0.16805805978815336,-0.4506815156606074,-0.41000000000000003,0.04068151566060735,0.04068151566060735,TOWARD_ZERO,0.5268184843393927,-0.6340907578303037,0.18340924216969628,0.04068151566060735,False
