development_event_id,production_stage,production_template,probe_policy,station_forward_m,current_policy_d_probe,oracle_d_at_station,residual_m,branch_lower,branch_upper,is_minimum_abs_residual,minimum_abs_residual_m,zero_crossing_exists
DVE004,M1,NEAR_LONG,BOTTLENECK_CENTER,0.03919181232155539,0.5593118252810302,0.15000000433016417,-0.40931182095086605,0.14612365056206014,0.9725000000000001,False,0.3993118252810294,False
DVE004,M1,NEAR_LONG,BOTTLENECK_CENTER,0.03933101479746113,0.5593118252810302,0.1500601518387603,-0.40925167344226987,0.14612365056206014,0.9725000000000001,False,0.3993118252810294,False
DVE004,M1,NEAR_LONG,BOTTLENECK_CENTER,0.039470217273366866,0.5593118252810302,0.1501200465446916,-0.4091917787363386,0.14612365056206014,0.9725000000000001,False,0.3993118252810294,False
DVE004,M1,NEAR_LONG,BOTTLENECK_CENTER,0.03960941974927261,0.5593118252810302,0.1501796974073031,-0.4091321278737271,0.14612365056206014,0.9725000000000001,False,0.3993118252810294,False
DVE004,M1,NEAR_LONG,BOTTLENECK_CENTER,0.039748622225178346,0.5593118252810302,0.15023911318020852,-0.40907271210082163,0.14612365056206014,0.9725000000000001,False,0.3993118252810294,False
DVE004,M1,NEAR_LONG,BOTTLENECK_CENTER,0.03988782470108408,0.5593118252810302,0.15029830241288494,-0.40901352286814524,0.14612365056206014,0.9725000000000001,False,0.3993118252810294,False
DVE004,M1,NEAR_LONG,BOTTLENECK_CENTER,0.04002702717698982,0.5593118252810302,0.15035727345226776,-0.4089545518287624,0.14612365056206014,0.9725000000000001,False,0.3993118252810294,False
DVE004,M1,NEAR_LONG,BOTTLENECK_CENTER,0.040166229652895555,0.5593118252810302,0.15041603444434537,-0.4088957908366848,0.14612365056206014,0.9725000000000001,False,0.3993118252810294,False
DVE004,M1,NEAR_LONG,BOTTLENECK_CENTER,0.0403054321288013,0.5593118252810302,0.15047459333575394,-0.4088372319452762,0.14612365056206014,0.9725000000000001,False,0.3993118252810294,False
DVE004,M1,NEAR_LONG,BOTTLENECK_CENTER,0.040444634604707035,0.5593118252810302,0.1505329578753722,-0.408778867405658,0.14612365056206014,0.9725000000000001,False,0.3993118252810294,False
DVE004,M1,NEAR_LONG,BOTTLENECK_CENTER,0.04058383708061277,0.5593118252810302,0.15059113561591606,-0.4087206896651141,0.14612365056206014,0.9725000000000001,False,0.3993118252810294,False
DVE004,M1,NEAR_LONG,BOTTLENECK_CENTER,0.04072303955651851,0.5593118252810302,0.15064913391553372,-0.4086626913654965,0.14612365056206014,0.9725000000000001,False,0.3993118252810294,False
