corpus_schema,bag_id,bag_path,storage_file,storage_format,size_bytes,expected_sha256,actual_sha256,sha256_match,metadata_consistent,mcap_sequential_read_completed,instrumented_replay_completed,instrumentation_dropped_cycles,scenario_note,instrumentation_tag,instrumentation_commit,source_sha256,config_sha256,forbidden_incomplete_copy
first_real_rosbag_baseline_audit/1,rosbag2_2026_08_24-19_00_30,/home/sungho/rosbags/rosbag2_2026_08_24-19_00_30,/home/sungho/rosbags/rosbag2_2026_08_24-19_00_30/rosbag2_2026_08_24-19_00_30_0.mcap,mcap,906095251,fdeb91c173c65ecefed9199b172ba3cd70927e801250cb0d345c8644dda65a03,fdeb91c173c65ecefed9199b172ba3cd70927e801250cb0d345c8644dda65a03,1,1,1,1,6,USER_RECOLLECTION_COMPETITION_SITE,research_instrumentation_v1,6ba46dbe90139d184c066740a3cbbf191d41cc61,09fb8c4980b277d9d0ee07b6337a8d4797f77a252616611c27745e15157d135b,6009b3211a50dce7159b95553b7dbea1417eb20b50dbc6fb716947973a2e334a,
first_real_rosbag_baseline_audit/1,rosbag2_2026_08_24-19_24_17,/home/sungho/rosbags/rosbag2_2026_08_24-19_24_17,/home/sungho/rosbags/rosbag2_2026_08_24-19_24_17/rosbag2_2026_08_24-19_24_17_0.mcap,mcap,806653367,d95ef49e50db3c1826e68c2328c1b9ed3bafe3abadf5a50fc019bcb992cadf1e,d95ef49e50db3c1826e68c2328c1b9ed3bafe3abadf5a50fc019bcb992cadf1e,1,1,1,1,3,USER_RECOLLECTION_COMPETITION_SITE,research_instrumentation_v1,6ba46dbe90139d184c066740a3cbbf191d41cc61,09fb8c4980b277d9d0ee07b6337a8d4797f77a252616611c27745e15157d135b,6009b3211a50dce7159b95553b7dbea1417eb20b50dbc6fb716947973a2e334a,
first_real_rosbag_baseline_audit/1,rosbag2_2026_08_25-09_23_32,/home/sungho/rosbags/rosbag2_2026_08_25-09_23_32,/home/sungho/rosbags/rosbag2_2026_08_25-09_23_32/rosbag2_2026_08_25-09_23_32_0.mcap,mcap,83129253,179fc14f27c60ec7d46db66243030bfae2046f6bb557d1cdc30988939f6df48d,179fc14f27c60ec7d46db66243030bfae2046f6bb557d1cdc30988939f6df48d,1,1,1,1,0,USER_RECOLLECTION_COMPETITION_SITE,research_instrumentation_v1,6ba46dbe90139d184c066740a3cbbf191d41cc61,09fb8c4980b277d9d0ee07b6337a8d4797f77a252616611c27745e15157d135b,6009b3211a50dce7159b95553b7dbea1417eb20b50dbc6fb716947973a2e334a,
first_real_rosbag_baseline_audit/1,rosbag2_2026_08_25-09_59_22,/home/sungho/Documents/F1TENTH_research_data/rosbags_original/recent/rosbag2_2026_08_25-09_59_22,/home/sungho/Documents/F1TENTH_research_data/rosbags_original/recent/rosbag2_2026_08_25-09_59_22/rosbag2_2026_08_25-09_59_22_0.mcap,mcap,1357839843,,270ab6852ae7ddae137da712fc51ef774818a58e51defe64422fc9805928df5e,,1,1,1,6,USER_RECOLLECTION_COMPETITION_SITE,research_instrumentation_v1,6ba46dbe90139d184c066740a3cbbf191d41cc61,09fb8c4980b277d9d0ee07b6337a8d4797f77a252616611c27745e15157d135b,6009b3211a50dce7159b95553b7dbea1417eb20b50dbc6fb716947973a2e334a,/home/sungho/rosbags/rosbag2_2026_08_25-09_59_22
