bag_id,planning_event_count_in_bag_time,ready_planning_event_count,blocking_context_event_count,continuation_event_count,fresh_planning_event_count,no_candidate_event_count,safe_stop_event_count,safe_stop_entry_count,p3_invalidation_event_count,p3_invalidation_reasons,selected_path_identity_change_count,selected_side_change_count,global_handoff_entry_count,candidate_event_count,candidate_event_unmatched_count,candidate_event_join_fraction,localization_join_count,localization_join_abs_offset_p50_s,localization_join_abs_offset_p95_s,localization_join_abs_offset_p99_s,localization_join_abs_offset_max_s,localization_join_abs_offset_le_0p05_fraction,localization_join_abs_offset_le_0p1_fraction,localization_join_abs_offset_le_1p0_fraction,strict_attempted_sum,relaxed_attempted_sum,m0_v1_constructed_right_sum,m0_v1_constructed_left_sum,discarded_side_candidate_count_sum,m0_v2_constructed_sum,m1_constructed_sum,constructed_total_actual_sum,validate_candidate_executed_total_actual_sum,hard_valid_total_actual_sum,returned_candidate_count_sum,lifecycle_revalidation_count_sum,safe_stop_escape_evaluator_count_sum,constructed_total_actual_p50_per_callback,constructed_total_actual_p95_per_callback,constructed_total_actual_p99_per_callback,constructed_total_actual_max_per_callback,constructed_total_actual_mean_per_blocking_context_callback,validate_candidate_executed_total_actual_p50_per_callback,validate_candidate_executed_total_actual_p95_per_callback,validate_candidate_executed_total_actual_p99_per_callback,validate_candidate_executed_total_actual_max_per_callback,validate_candidate_executed_total_actual_mean_per_blocking_context_callback,hard_valid_total_actual_p50_per_callback,hard_valid_total_actual_p95_per_callback,hard_valid_total_actual_p99_per_callback,hard_valid_total_actual_max_per_callback,hard_valid_total_actual_mean_per_blocking_context_callback,returned_candidate_count_p50_per_callback,returned_candidate_count_p95_per_callback,returned_candidate_count_p99_per_callback,returned_candidate_count_max_per_callback,returned_candidate_count_mean_per_blocking_context_callback,selected_final_rank_count,selected_final_rank_p50,selected_final_rank_p95,selected_final_rank_min,selected_final_rank_max,selected_braking_deficit_m_count,selected_braking_deficit_m_p50,selected_braking_deficit_m_p95,selected_braking_deficit_m_min,selected_braking_deficit_m_max,selected_velocity_loss_count,selected_velocity_loss_p50,selected_velocity_loss_p95,selected_velocity_loss_min,selected_velocity_loss_max,selected_minimum_normalized_safety_slack_count,selected_minimum_normalized_safety_slack_p50,selected_minimum_normalized_safety_slack_p95,selected_minimum_normalized_safety_slack_min,selected_minimum_normalized_safety_slack_max,selected_global_path_deviation_m_count,selected_global_path_deviation_m_p50,selected_global_path_deviation_m_p95,selected_global_path_deviation_m_min,selected_global_path_deviation_m_max,selected_exit_reaches_next_obstacle_count,selected_exit_reaches_next_obstacle_p50,selected_exit_reaches_next_obstacle_p95,selected_exit_reaches_next_obstacle_min,selected_exit_reaches_next_obstacle_max,selected_braking_feasible_count,selected_braking_feasible_p50,selected_braking_feasible_p95,selected_braking_feasible_min,selected_braking_feasible_max,selected_generation_index_count,selected_generation_index_p50,selected_generation_index_p95,selected_generation_index_min,selected_generation_index_max,selected_center_track_m_count,selected_center_track_m_p50,selected_center_track_m_p95,selected_center_track_m_min,selected_center_track_m_max,selected_footprint_track_m_count,selected_footprint_track_m_p50,selected_footprint_track_m_p95,selected_footprint_track_m_min,selected_footprint_track_m_max,selected_obstacle_m_count,selected_obstacle_m_p50,selected_obstacle_m_p95,selected_obstacle_m_min,selected_obstacle_m_max,selected_lateral_slope_margin_count,selected_lateral_slope_margin_p50,selected_lateral_slope_margin_p95,selected_lateral_slope_margin_min,selected_lateral_slope_margin_max,selected_signed_curvature_margin_radpm_count,selected_signed_curvature_margin_radpm_p50,selected_signed_curvature_margin_radpm_p95,selected_signed_curvature_margin_radpm_min,selected_signed_curvature_margin_radpm_max,selected_curvature_rate_margin_radpm2_count,selected_curvature_rate_margin_radpm2_p50,selected_curvature_rate_margin_radpm2_p95,selected_curvature_rate_margin_radpm2_min,selected_curvature_rate_margin_radpm2_max
rosbag2_2026_08_24-19_00_30,35661,27759,16124,160,293,4042,15572,164,174,"{""CURRENT_EXACT_HARD_INVALID:path entry is discontinuous from the current ego d"": 2, ""CURRENT_RAW_OBSTACLE_COLLISION:d-offset intersects an inflated static-obstacle box"": 1, ""FRENET_ODOMETRY_STALE"": 35, ""STALE_SOURCE"": 134, ""WRAP_OR_BACKWARD_PROGRESS"": 2}",12160,62,512,82179,0,1.0,35661,0.008053222,1.094588695,2.6607044124000003,4.440700048,0.7866016096015255,0.8039595075853173,0.9444491180841816,14503,8529,8623,26824,24368,13991,32741,82179,127455,7105,52795,760,4294,0,20.0,64.0,240,5.096688166708013,0,30.0,90.0,360,7.856549243363929,0,1.0,8.0,30,0.3959935499875961,0,12.0,48.0,240,3.274311585214587,293,1.0,1.0,1.0,1.0,293,0.0,0.6913038522862829,0.0,2.9238093427905243,293,0.12330225080828082,0.2688034847881851,0.03661407906734052,0.3394361856849497,293,0.038516392985166896,0.17436773070324285,-0.016920242578493117,0.31457264194014806,293,0.1285467425264266,0.2928263457374222,0.017433823670981487,0.4156623640448238,293,0.0,0.0,0.0,0.0,293,1.0,1.0,0.0,1.0,293,1000.0,2000.0,0.0,2003.0,293,0.4116922138639109,0.7190767248794652,0.12461963613226024,0.8786915896469142,293,0.24496243448672364,0.530378934551757,0.001819702776279443,0.6989526042726187,293,0.08000000000000351,1.5,-7.315155869935808e-07,1.5,293,0.5775133536988541,0.7394800771210448,0.07054508931435699,0.7819951624663762,293,0.5206607521965009,0.7998258116796572,0.006392587504178149,0.8909383077996373,293,18.93308736489762,19.36055328557595,14.17802186838335,19.5660567852559
rosbag2_2026_08_24-19_24_17,29828,29825,13270,681,534,1390,11828,91,355,"{""BACKWARD_PROGRESS_INDEX"": 1, ""CURRENT_RAW_OBSTACLE_COLLISION:d-offset intersects an inflated static-obstacle box"": 3, ""FRENET_ODOMETRY_STALE"": 103, ""OBSTACLE_MANEUVER_IDENTITY_MISMATCH"": 2, ""STALE_SOURCE"": 244, ""WRAP_OR_BACKWARD_PROGRESS"": 2}",14939,85,621,55512,0,1.0,29828,0.008185939,8.10288459474997,47.454323727389976,62.36777781,0.7622032989137723,0.7776921013812526,0.8777658575834786,12205,3135,13860,9285,16459,11725,20642,55512,77488,9353,38223,1817,1573,0,9.0,36.0,252,4.183270535041447,0,12.0,53.0,380,5.763225320271289,0,1.0,8.0,20,0.631424265259985,0,6.0,24.0,252,2.8804069329314244,534,1.0,1.0,1.0,1.0,534,0.0,0.9144040361997521,0.0,4.541251661594031,534,0.12411975699185526,0.19853475971456505,0.022277366652683626,0.3290092230814906,534,0.052603439584058984,0.3026150208557753,0.0006293110525939319,0.40903431365789683,534,0.11420019385637377,0.26940547062311726,0.02665137868143662,0.39347240110113196,534,0.0,0.0,0.0,0.0,534,1.0,1.0,0.0,1.0,534,1000.0,2001.0,0.0,2004.0,534,0.3362507421996465,0.7225,0.16320373489463139,0.7635514704868451,534,0.12549536159017682,0.5303789345516217,0.002594137560282629,0.5858311687594409,534,0.10416351366047566,1.5,0.000943966578890898,1.5,534,0.5614459234628502,0.7279021596608912,0.0035266681315532233,0.774246422881258,534,0.49222741013700405,0.8075607716384962,0.002989679559142422,1.048223426673591,534,18.82767278644203,19.46165722441775,14.206731800716401,19.592048390471682
rosbag2_2026_08_25-09_23_32,2150,2030,196,0,0,5,196,1,0,{},4,0,3,200,0,1.0,2150,0.006607571,0.01269729715,0.014614125419999993,0.041166451,1.0,1.0,1.0,1845,12,144,0,0,0,56,200,261,0,56,0,6,0.0,0.0,0.0,72,1.0204081632653061,0.0,0.0,0.0,97,1.3316326530612246,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,24,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rosbag2_2026_08_25-09_59_22,43183,43180,18689,365,634,1703,17596,101,398,"{""CURRENT_EXACT_HARD_INVALID:path entry is discontinuous from the current ego d"": 1, ""FRENET_ODOMETRY_STALE"": 149, ""STALE_SOURCE"": 238, ""WRAP_OR_BACKWARD_PROGRESS"": 10}",14747,64,1120,74993,0,1.0,43183,0.009128695,56.50879185230001,82.9135825046,90.098241091,0.7021513095431072,0.7187087511289165,0.8355834471898664,18971,3953,14722,11543,9461,25243,23485,74993,109503,9819,63186,1648,2266,0.0,6.0,42.0,294,4.012681256354005,0.0,12.0,64.0,422,5.809941676922254,0.0,1.0,7.0,18,0.47942640055647706,0.0,6.0,42.0,294,3.3809192573171383,634,1.0,1.0,1.0,1.0,634,0.0,1.0667497790341685,0.0,7.405210529406932,634,0.10193961457011709,0.2418874763138014,0.026183583345712153,0.3266778746411986,634,0.03693199300553725,0.22976717212045178,-0.0007918340266458065,0.43434287911002983,634,0.12093941076843626,0.313730886359678,0.025233938491966316,0.42027919076302483,634,0.0,0.0,0.0,0.0,634,1.0,1.0,0.0,1.0,634,1000.0,2001.0,0.0,2002.0,634,0.5103578540825522,0.6725,0.1488122489600312,0.8015143186650446,634,0.3319519441906939,0.506407215275409,0.0002251995826272335,0.6265931669589524,634,0.07999999999999989,1.5,4.6494805717611776e-05,1.5,634,0.5593729024573092,0.7367787548926823,0.02562138441992512,0.7876579399747196,634,0.4932215758926687,0.7197409595602249,0.0010053701733401255,0.9199449171534393,634,19.12888929105425,19.38458141228588,15.694561787964684,19.51742494995196
