bag_id,mcap_readable,metadata_consistent,storage_format,start_ns,start_utc,end_ns,end_utc,duration_s,metadata_message_count,topic_message_count_sum,topic_count,topics_json,confirmed_static_obs_present,confirmed_static_obs_topics,confirmed_static_obs_types,confirmed_static_obs_message_count,global_waypoints_present,global_waypoints_topics,global_waypoints_types,global_waypoints_message_count,frenet_odom_present,frenet_odom_topics,frenet_odom_types,frenet_odom_message_count,localization_pose_present,localization_pose_topics,localization_pose_types,localization_pose_message_count,avoid_waypoints_present,avoid_waypoints_topics,avoid_waypoints_types,avoid_waypoints_message_count,p3_shadow_present,p3_shadow_topics,p3_shadow_types,p3_shadow_message_count,vehicle_odom_present,vehicle_odom_topics,vehicle_odom_types,vehicle_odom_message_count,imu_present,imu_topics,imu_types,imu_message_count,scan_present,scan_topics,scan_types,scan_message_count,tf_present,tf_topics,tf_types,tf_message_count,tf_static_present,tf_static_topics,tf_static_types,tf_static_message_count,drive_present,drive_topics,drive_types,drive_message_count,state_present,state_topics,state_types,state_message_count,raw_static_obs_present,raw_static_obs_topics,raw_static_obs_types,raw_static_obs_message_count,can_replay_current_planner_input,can_extract_localization_features
rosbag2_2026_08_24-19_00_30,1,1,mcap,1787565630140172974,2026-08-24T10:00:30.140173+00:00,1787566574337082522,2026-08-24T10:16:14.337083+00:00,944.196909548,967747,967747,56,"{""/ackermann_cmd"":{""count"":28752,""type"":""ackermann_msgs/msg/AckermannDriveStamped""},""/avoid_waypoints"":{""count"":22480,""type"":""f110_msgs/msg/OTWpntArray""},""/bond"":{""count"":12704,""type"":""bond/msg/Status""},""/car_state/frenet/odom"":{""count"":34185,""type"":""nav_msgs/msg/Odometry""},""/centerline_waypoints"":{""count"":471,""type"":""f110_msgs/msg/WpntArray""},""/centerline_waypoints/markers"":{""count"":471,""type"":""visualization_msgs/msg/MarkerArray""},""/clicked_point"":{""count"":0,""type"":""geometry_msgs/msg/PointStamped""},""/commands/motor/brake"":{""count"":5535,""type"":""std_msgs/msg/Float64""},""/commands/motor/speed"":{""count"":27307,""type"":""std_msgs/msg/Float64""},""/commands/servo/position"":{""count"":28753,""type"":""std_msgs/msg/Float64""},""/confirmed_static_obs"":{""count"":17627,""type"":""f110_msgs/msg/ObstacleArray""},""/cruise/gap_data"":{""count"":554,""type"":""f110_msgs/msg/GapData""},""/cruise_speed_limit"":{""count"":47068,""type"":""std_msgs/msg/Float64""},""/debug/l1_lookahead"":{""count"":39593,""type"":""visualization_msgs/msg/MarkerArray""},""/diagnostics"":{""count"":4409,""type"":""diagnostic_msgs/msg/DiagnosticArray""},""/drive"":{""count"":46661,""type"":""ackermann_msgs/msg/AckermannDriveStamped""},""/drive_autonomous"":{""count"":46661,""type"":""ackermann_msgs/msg/AckermannDriveStamped""},""/drive_mode"":{""count"":18803,""type"":""std_msgs/msg/String""},""/estimated_lap_time"":{""count"":471,""type"":""std_msgs/msg/Float32""},""/estop_lock"":{""count"":18803,""type"":""std_msgs/msg/Bool""},""/events/write_split"":{""count"":0,""type"":""rosbag2_interfaces/msg/WriteSplitEvent""},""/global_waypoints"":{""count"":472,""type"":""f110_msgs/msg/WpntArray""},""/global_waypoints/markers"":{""count"":471,""type"":""visualization_msgs/msg/MarkerArray""},""/global_waypoints/shortest_path"":{""count"":471,""type"":""f110_msgs/msg/WpntArray""},""/goal_pose"":{""count"":0,""type"":""geometry_msgs/msg/PoseStamped""},""/initialpose"":{""count"":27,""type"":""geometry_msgs/msg/PoseWithCovarianceStamped""},""/joy"":{""count"":15372,""type"":""sensor_msgs/msg/Joy""},""/kinematic_localization/diagnostics"":{""count"":32805,""type"":""diagnostic_msgs/msg/DiagnosticArray""},""/laser_status"":{""count"":0,""type"":""urg_node_msgs/msg/Status""},""/local_planning/p3_shadow"":{""count"":1866,""type"":""std_msgs/msg/String""},""/local_planning/path"":{""count"":5122,""type"":""nav_msgs/msg/Path""},""/local_planning/reference_map"":{""count"":4,""type"":""nav_msgs/msg/OccupancyGrid""},""/local_planning_map_server/transition_event"":{""count"":12,""type"":""lifecycle_msgs/msg/TransitionEvent""},""/local_waypoints"":{""count"":28424,""type"":""f110_msgs/msg/WpntArray""},""/local_waypoints/path"":{""count"":28424,""type"":""nav_msgs/msg/Path""},""/map"":{""count"":95,""type"":""nav_msgs/msg/OccupancyGrid""},""/map_infos"":{""count"":471,""type"":""std_msgs/msg/String""},""/odom"":{""count"":45836,""type"":""nav_msgs/msg/Odometry""},""/opp_obs"":{""count"":12800,""type"":""f110_msgs/msg/ObstacleArray""},""/opp_obs/markers"":{""count"":12800,""type"":""visualization_msgs/msg/MarkerArray""},""/parameter_events"":{""count"":0,""type"":""rcl_interfaces/msg/ParameterEvent""},""/pf/pose/odom"":{""count"":34537,""type"":""nav_msgs/msg/Odometry""},""/rosout"":{""count"":5136,""type"":""rcl_interfaces/msg/Log""},""/scan"":{""count"":37650,""type"":""sensor_msgs/msg/LaserScan""},""/scan_slow"":{""count"":4409,""type"":""sensor_msgs/msg/LaserScan""},""/sensors/core"":{""count"":47140,""type"":""vesc_msgs/msg/VescStateStamped""},""/sensors/imu"":{""count"":47140,""type"":""vesc_msgs/msg/VescImuStamped""},""/sensors/imu/raw"":{""count"":47140,""type"":""sensor_msgs/msg/Imu""},""/sensors/servo_position_command"":{""count"":28752,""type"":""std_msgs/msg/Float64""},""/state"":{""count"":7710,""type"":""f110_msgs/msg/StateMachine""},""/static_obs"":{""count"":17627,""type"":""f110_msgs/msg/ObstacleArray""},""/static_obs/markers"":{""count"":17627,""type"":""visualization_msgs/msg/MarkerArray""},""/teleop"":{""count"":5247,""type"":""ackermann_msgs/msg/AckermannDriveStamped""},""/tf"":{""count"":80380,""type"":""tf2_msgs/msg/TFMessage""},""/tf_static"":{""count"":1,""type"":""tf2_msgs/msg/TFMessage""},""/trackbounds/markers"":{""count"":471,""type"":""visualization_msgs/msg/MarkerArray""}}",1,/confirmed_static_obs,f110_msgs/msg/ObstacleArray,17627,1,/global_waypoints,f110_msgs/msg/WpntArray,472,1,/car_state/frenet/odom,nav_msgs/msg/Odometry,34185,1,/pf/pose/odom,nav_msgs/msg/Odometry,34537,1,/avoid_waypoints,f110_msgs/msg/OTWpntArray,22480,1,/local_planning/p3_shadow,std_msgs/msg/String,1866,1,/odom,nav_msgs/msg/Odometry,45836,1,/sensors/imu/raw;/sensors/imu,sensor_msgs/msg/Imu;vesc_msgs/msg/VescImuStamped,94280,1,/scan;/scan_slow,sensor_msgs/msg/LaserScan;sensor_msgs/msg/LaserScan,42059,1,/tf,tf2_msgs/msg/TFMessage,80380,1,/tf_static,tf2_msgs/msg/TFMessage,1,1,/drive;/drive_autonomous;/ackermann_cmd,ackermann_msgs/msg/AckermannDriveStamped;ackermann_msgs/msg/AckermannDriveStamped;ackermann_msgs/msg/AckermannDriveStamped,122074,1,/state,f110_msgs/msg/StateMachine,7710,1,/static_obs,f110_msgs/msg/ObstacleArray,17627,1,1
rosbag2_2026_08_24-19_24_17,1,1,mcap,1787567057740534285,2026-08-24T10:24:17.740534+00:00,1787567826810701456,2026-08-24T10:37:06.810702+00:00,769.070167171,775242,775242,56,"{""/ackermann_cmd"":{""count"":19566,""type"":""ackermann_msgs/msg/AckermannDriveStamped""},""/avoid_waypoints"":{""count"":22878,""type"":""f110_msgs/msg/OTWpntArray""},""/bond"":{""count"":12985,""type"":""bond/msg/Status""},""/car_state/frenet/odom"":{""count"":24865,""type"":""nav_msgs/msg/Odometry""},""/centerline_waypoints"":{""count"":384,""type"":""f110_msgs/msg/WpntArray""},""/centerline_waypoints/markers"":{""count"":384,""type"":""visualization_msgs/msg/MarkerArray""},""/clicked_point"":{""count"":0,""type"":""geometry_msgs/msg/PointStamped""},""/commands/motor/brake"":{""count"":5777,""type"":""std_msgs/msg/Float64""},""/commands/motor/speed"":{""count"":18278,""type"":""std_msgs/msg/Float64""},""/commands/servo/position"":{""count"":19566,""type"":""std_msgs/msg/Float64""},""/confirmed_static_obs"":{""count"":20614,""type"":""f110_msgs/msg/ObstacleArray""},""/cruise/gap_data"":{""count"":105,""type"":""f110_msgs/msg/GapData""},""/cruise_speed_limit"":{""count"":37912,""type"":""std_msgs/msg/Float64""},""/debug/l1_lookahead"":{""count"":29130,""type"":""visualization_msgs/msg/MarkerArray""},""/diagnostics"":{""count"":3579,""type"":""diagnostic_msgs/msg/DiagnosticArray""},""/drive"":{""count"":37623,""type"":""ackermann_msgs/msg/AckermannDriveStamped""},""/drive_autonomous"":{""count"":37616,""type"":""ackermann_msgs/msg/AckermannDriveStamped""},""/drive_mode"":{""count"":14699,""type"":""std_msgs/msg/String""},""/estimated_lap_time"":{""count"":384,""type"":""std_msgs/msg/Float32""},""/estop_lock"":{""count"":14699,""type"":""std_msgs/msg/Bool""},""/events/write_split"":{""count"":0,""type"":""rosbag2_interfaces/msg/WriteSplitEvent""},""/global_waypoints"":{""count"":384,""type"":""f110_msgs/msg/WpntArray""},""/global_waypoints/markers"":{""count"":384,""type"":""visualization_msgs/msg/MarkerArray""},""/global_waypoints/shortest_path"":{""count"":384,""type"":""f110_msgs/msg/WpntArray""},""/goal_pose"":{""count"":0,""type"":""geometry_msgs/msg/PoseStamped""},""/initialpose"":{""count"":17,""type"":""geometry_msgs/msg/PoseWithCovarianceStamped""},""/joy"":{""count"":13292,""type"":""sensor_msgs/msg/Joy""},""/kinematic_localization/diagnostics"":{""count"":23787,""type"":""diagnostic_msgs/msg/DiagnosticArray""},""/laser_status"":{""count"":0,""type"":""urg_node_msgs/msg/Status""},""/local_planning/p3_shadow"":{""count"":1986,""type"":""std_msgs/msg/String""},""/local_planning/path"":{""count"":5187,""type"":""nav_msgs/msg/Path""},""/local_planning/reference_map"":{""count"":4,""type"":""nav_msgs/msg/OccupancyGrid""},""/local_planning_map_server/transition_event"":{""count"":12,""type"":""lifecycle_msgs/msg/TransitionEvent""},""/local_waypoints"":{""count"":18332,""type"":""f110_msgs/msg/WpntArray""},""/local_waypoints/path"":{""count"":18332,""type"":""nav_msgs/msg/Path""},""/map"":{""count"":77,""type"":""nav_msgs/msg/OccupancyGrid""},""/map_infos"":{""count"":384,""type"":""std_msgs/msg/String""},""/odom"":{""count"":36084,""type"":""nav_msgs/msg/Odometry""},""/opp_obs"":{""count"":15526,""type"":""f110_msgs/msg/ObstacleArray""},""/opp_obs/markers"":{""count"":15526,""type"":""visualization_msgs/msg/MarkerArray""},""/parameter_events"":{""count"":18,""type"":""rcl_interfaces/msg/ParameterEvent""},""/pf/pose/odom"":{""count"":25147,""type"":""nav_msgs/msg/Odometry""},""/rosout"":{""count"":4965,""type"":""rcl_interfaces/msg/Log""},""/scan"":{""count"":29288,""type"":""sensor_msgs/msg/LaserScan""},""/scan_slow"":{""count"":3410,""type"":""sensor_msgs/msg/LaserScan""},""/sensors/core"":{""count"":36805,""type"":""vesc_msgs/msg/VescStateStamped""},""/sensors/imu"":{""count"":36804,""type"":""vesc_msgs/msg/VescImuStamped""},""/sensors/imu/raw"":{""count"":36804,""type"":""sensor_msgs/msg/Imu""},""/sensors/servo_position_command"":{""count"":19566,""type"":""std_msgs/msg/Float64""},""/state"":{""count"":5032,""type"":""f110_msgs/msg/StateMachine""},""/static_obs"":{""count"":20614,""type"":""f110_msgs/msg/ObstacleArray""},""/static_obs/markers"":{""count"":20614,""type"":""visualization_msgs/msg/MarkerArray""},""/teleop"":{""count"":3794,""type"":""ackermann_msgs/msg/AckermannDriveStamped""},""/tf"":{""count"":61252,""type"":""tf2_msgs/msg/TFMessage""},""/tf_static"":{""count"":3,""type"":""tf2_msgs/msg/TFMessage""},""/trackbounds/markers"":{""count"":384,""type"":""visualization_msgs/msg/MarkerArray""}}",1,/confirmed_static_obs,f110_msgs/msg/ObstacleArray,20614,1,/global_waypoints,f110_msgs/msg/WpntArray,384,1,/car_state/frenet/odom,nav_msgs/msg/Odometry,24865,1,/pf/pose/odom,nav_msgs/msg/Odometry,25147,1,/avoid_waypoints,f110_msgs/msg/OTWpntArray,22878,1,/local_planning/p3_shadow,std_msgs/msg/String,1986,1,/odom,nav_msgs/msg/Odometry,36084,1,/sensors/imu/raw;/sensors/imu,sensor_msgs/msg/Imu;vesc_msgs/msg/VescImuStamped,73608,1,/scan;/scan_slow,sensor_msgs/msg/LaserScan;sensor_msgs/msg/LaserScan,32698,1,/tf,tf2_msgs/msg/TFMessage,61252,1,/tf_static,tf2_msgs/msg/TFMessage,3,1,/drive;/drive_autonomous;/ackermann_cmd,ackermann_msgs/msg/AckermannDriveStamped;ackermann_msgs/msg/AckermannDriveStamped;ackermann_msgs/msg/AckermannDriveStamped,94805,1,/state,f110_msgs/msg/StateMachine,5032,1,/static_obs,f110_msgs/msg/ObstacleArray,20614,1,1
rosbag2_2026_08_25-09_23_32,1,1,mcap,1787617412411016974,2026-08-25T00:23:32.411017+00:00,1787617466209279344,2026-08-25T00:24:26.209279+00:00,53.79826237,59314,59314,55,"{""/ackermann_cmd"":{""count"":917,""type"":""ackermann_msgs/msg/AckermannDriveStamped""},""/avoid_waypoints"":{""count"":2027,""type"":""f110_msgs/msg/OTWpntArray""},""/car_state/frenet/odom"":{""count"":1975,""type"":""nav_msgs/msg/Odometry""},""/centerline_waypoints"":{""count"":26,""type"":""f110_msgs/msg/WpntArray""},""/centerline_waypoints/markers"":{""count"":26,""type"":""visualization_msgs/msg/MarkerArray""},""/clicked_point"":{""count"":0,""type"":""geometry_msgs/msg/PointStamped""},""/commands/motor/brake"":{""count"":601,""type"":""std_msgs/msg/Float64""},""/commands/motor/speed"":{""count"":822,""type"":""std_msgs/msg/Float64""},""/commands/servo/position"":{""count"":917,""type"":""std_msgs/msg/Float64""},""/confirmed_static_obs"":{""count"":2027,""type"":""f110_msgs/msg/ObstacleArray""},""/cruise/gap_data"":{""count"":0,""type"":""f110_msgs/msg/GapData""},""/cruise_speed_limit"":{""count"":2618,""type"":""std_msgs/msg/Float64""},""/debug/l1_lookahead"":{""count"":2612,""type"":""visualization_msgs/msg/MarkerArray""},""/diagnostics"":{""count"":263,""type"":""diagnostic_msgs/msg/DiagnosticArray""},""/drive"":{""count"":2673,""type"":""ackermann_msgs/msg/AckermannDriveStamped""},""/drive_autonomous"":{""count"":2612,""type"":""ackermann_msgs/msg/AckermannDriveStamped""},""/drive_mode"":{""count"":1027,""type"":""std_msgs/msg/String""},""/estimated_lap_time"":{""count"":26,""type"":""std_msgs/msg/Float32""},""/estop_lock"":{""count"":1027,""type"":""std_msgs/msg/Bool""},""/events/write_split"":{""count"":0,""type"":""rosbag2_interfaces/msg/WriteSplitEvent""},""/global_waypoints"":{""count"":27,""type"":""f110_msgs/msg/WpntArray""},""/global_waypoints/markers"":{""count"":26,""type"":""visualization_msgs/msg/MarkerArray""},""/global_waypoints/shortest_path"":{""count"":26,""type"":""f110_msgs/msg/WpntArray""},""/goal_pose"":{""count"":0,""type"":""geometry_msgs/msg/PoseStamped""},""/initialpose"":{""count"":3,""type"":""geometry_msgs/msg/PoseWithCovarianceStamped""},""/joy"":{""count"":860,""type"":""sensor_msgs/msg/Joy""},""/kinematic_localization/diagnostics"":{""count"":2142,""type"":""diagnostic_msgs/msg/DiagnosticArray""},""/lap_count"":{""count"":2,""type"":""std_msgs/msg/Int32""},""/laser_status"":{""count"":0,""type"":""urg_node_msgs/msg/Status""},""/local_planning/p3_shadow"":{""count"":102,""type"":""std_msgs/msg/String""},""/local_planning/path"":{""count"":445,""type"":""nav_msgs/msg/Path""},""/local_planning_map_server/transition_event"":{""count"":0,""type"":""lifecycle_msgs/msg/TransitionEvent""},""/local_waypoints"":{""count"":1894,""type"":""f110_msgs/msg/WpntArray""},""/local_waypoints/path"":{""count"":1894,""type"":""nav_msgs/msg/Path""},""/map"":{""count"":7,""type"":""nav_msgs/msg/OccupancyGrid""},""/map_infos"":{""count"":26,""type"":""std_msgs/msg/String""},""/odom"":{""count"":2683,""type"":""nav_msgs/msg/Odometry""},""/opp_obs"":{""count"":1836,""type"":""f110_msgs/msg/ObstacleArray""},""/opp_obs/markers"":{""count"":1836,""type"":""visualization_msgs/msg/MarkerArray""},""/parameter_events"":{""count"":0,""type"":""rcl_interfaces/msg/ParameterEvent""},""/pf/pose/odom"":{""count"":2142,""type"":""nav_msgs/msg/Odometry""},""/rosout"":{""count"":443,""type"":""rcl_interfaces/msg/Log""},""/scan"":{""count"":2072,""type"":""sensor_msgs/msg/LaserScan""},""/scan_slow"":{""count"":255,""type"":""sensor_msgs/msg/LaserScan""},""/sensors/core"":{""count"":2600,""type"":""vesc_msgs/msg/VescStateStamped""},""/sensors/imu"":{""count"":2598,""type"":""vesc_msgs/msg/VescImuStamped""},""/sensors/imu/raw"":{""count"":2600,""type"":""sensor_msgs/msg/Imu""},""/sensors/servo_position_command"":{""count"":917,""type"":""std_msgs/msg/Float64""},""/state"":{""count"":513,""type"":""f110_msgs/msg/StateMachine""},""/static_obs"":{""count"":2027,""type"":""f110_msgs/msg/ObstacleArray""},""/static_obs/markers"":{""count"":2027,""type"":""visualization_msgs/msg/MarkerArray""},""/teleop"":{""count"":259,""type"":""ackermann_msgs/msg/AckermannDriveStamped""},""/tf"":{""count"":4829,""type"":""tf2_msgs/msg/TFMessage""},""/tf_static"":{""count"":1,""type"":""tf2_msgs/msg/TFMessage""},""/trackbounds/markers"":{""count"":26,""type"":""visualization_msgs/msg/MarkerArray""}}",1,/confirmed_static_obs,f110_msgs/msg/ObstacleArray,2027,1,/global_waypoints,f110_msgs/msg/WpntArray,27,1,/car_state/frenet/odom,nav_msgs/msg/Odometry,1975,1,/pf/pose/odom,nav_msgs/msg/Odometry,2142,1,/avoid_waypoints,f110_msgs/msg/OTWpntArray,2027,1,/local_planning/p3_shadow,std_msgs/msg/String,102,1,/odom,nav_msgs/msg/Odometry,2683,1,/sensors/imu/raw;/sensors/imu,sensor_msgs/msg/Imu;vesc_msgs/msg/VescImuStamped,5198,1,/scan;/scan_slow,sensor_msgs/msg/LaserScan;sensor_msgs/msg/LaserScan,2327,1,/tf,tf2_msgs/msg/TFMessage,4829,1,/tf_static,tf2_msgs/msg/TFMessage,1,1,/drive;/drive_autonomous;/ackermann_cmd,ackermann_msgs/msg/AckermannDriveStamped;ackermann_msgs/msg/AckermannDriveStamped;ackermann_msgs/msg/AckermannDriveStamped,6202,1,/state,f110_msgs/msg/StateMachine,513,1,/static_obs,f110_msgs/msg/ObstacleArray,2027,1,1
rosbag2_2026_08_25-09_59_22,1,1,mcap,1787619562226058485,2026-08-25T00:59:22.226058+00:00,1787620679300913006,2026-08-25T01:17:59.300913+00:00,1117.074854521,1126487,1126487,55,"{""/ackermann_cmd"":{""count"":30036,""type"":""ackermann_msgs/msg/AckermannDriveStamped""},""/avoid_waypoints"":{""count"":38862,""type"":""f110_msgs/msg/OTWpntArray""},""/car_state/frenet/odom"":{""count"":30809,""type"":""nav_msgs/msg/Odometry""},""/centerline_waypoints"":{""count"":558,""type"":""f110_msgs/msg/WpntArray""},""/centerline_waypoints/markers"":{""count"":558,""type"":""visualization_msgs/msg/MarkerArray""},""/clicked_point"":{""count"":0,""type"":""geometry_msgs/msg/PointStamped""},""/commands/motor/brake"":{""count"":10487,""type"":""std_msgs/msg/Float64""},""/commands/motor/speed"":{""count"":28022,""type"":""std_msgs/msg/Float64""},""/commands/servo/position"":{""count"":30046,""type"":""std_msgs/msg/Float64""},""/confirmed_static_obs"":{""count"":31071,""type"":""f110_msgs/msg/ObstacleArray""},""/cruise/gap_data"":{""count"":0,""type"":""f110_msgs/msg/GapData""},""/cruise_speed_limit"":{""count"":55299,""type"":""std_msgs/msg/Float64""},""/debug/l1_lookahead"":{""count"":41510,""type"":""visualization_msgs/msg/MarkerArray""},""/diagnostics"":{""count"":5534,""type"":""diagnostic_msgs/msg/DiagnosticArray""},""/drive"":{""count"":54819,""type"":""ackermann_msgs/msg/AckermannDriveStamped""},""/drive_autonomous"":{""count"":54928,""type"":""ackermann_msgs/msg/AckermannDriveStamped""},""/drive_mode"":{""count"":22239,""type"":""std_msgs/msg/String""},""/estimated_lap_time"":{""count"":558,""type"":""std_msgs/msg/Float32""},""/estop_lock"":{""count"":22239,""type"":""std_msgs/msg/Bool""},""/events/write_split"":{""count"":0,""type"":""rosbag2_interfaces/msg/WriteSplitEvent""},""/global_waypoints"":{""count"":559,""type"":""f110_msgs/msg/WpntArray""},""/global_waypoints/markers"":{""count"":558,""type"":""visualization_msgs/msg/MarkerArray""},""/global_waypoints/shortest_path"":{""count"":558,""type"":""f110_msgs/msg/WpntArray""},""/goal_pose"":{""count"":1,""type"":""geometry_msgs/msg/PoseStamped""},""/initialpose"":{""count"":40,""type"":""geometry_msgs/msg/PoseWithCovarianceStamped""},""/joy"":{""count"":18173,""type"":""sensor_msgs/msg/Joy""},""/kinematic_localization/diagnostics"":{""count"":32311,""type"":""diagnostic_msgs/msg/DiagnosticArray""},""/lap_count"":{""count"":13,""type"":""std_msgs/msg/Int32""},""/laser_status"":{""count"":0,""type"":""urg_node_msgs/msg/Status""},""/local_planning/p3_shadow"":{""count"":3223,""type"":""std_msgs/msg/String""},""/local_planning/path"":{""count"":8695,""type"":""nav_msgs/msg/Path""},""/local_planning_map_server/transition_event"":{""count"":0,""type"":""lifecycle_msgs/msg/TransitionEvent""},""/local_waypoints"":{""count"":26695,""type"":""f110_msgs/msg/WpntArray""},""/local_waypoints/path"":{""count"":26695,""type"":""nav_msgs/msg/Path""},""/map"":{""count"":112,""type"":""nav_msgs/msg/OccupancyGrid""},""/map_infos"":{""count"":558,""type"":""std_msgs/msg/String""},""/odom"":{""count"":55082,""type"":""nav_msgs/msg/Odometry""},""/opp_obs"":{""count"":26290,""type"":""f110_msgs/msg/ObstacleArray""},""/opp_obs/markers"":{""count"":26290,""type"":""visualization_msgs/msg/MarkerArray""},""/parameter_events"":{""count"":1,""type"":""rcl_interfaces/msg/ParameterEvent""},""/pf/pose/odom"":{""count"":31485,""type"":""nav_msgs/msg/Odometry""},""/rosout"":{""count"":7992,""type"":""rcl_interfaces/msg/Log""},""/scan"":{""count"":40647,""type"":""sensor_msgs/msg/LaserScan""},""/scan_slow"":{""count"":4809,""type"":""sensor_msgs/msg/LaserScan""},""/sensors/core"":{""count"":55510,""type"":""vesc_msgs/msg/VescStateStamped""},""/sensors/imu"":{""count"":55508,""type"":""vesc_msgs/msg/VescImuStamped""},""/sensors/imu/raw"":{""count"":55510,""type"":""sensor_msgs/msg/Imu""},""/sensors/servo_position_command"":{""count"":30047,""type"":""std_msgs/msg/Float64""},""/state"":{""count"":9524,""type"":""f110_msgs/msg/StateMachine""},""/static_obs"":{""count"":31071,""type"":""f110_msgs/msg/ObstacleArray""},""/static_obs/markers"":{""count"":31071,""type"":""visualization_msgs/msg/MarkerArray""},""/teleop"":{""count"":2667,""type"":""ackermann_msgs/msg/AckermannDriveStamped""},""/tf"":{""count"":86658,""type"":""tf2_msgs/msg/TFMessage""},""/tf_static"":{""count"":1,""type"":""tf2_msgs/msg/TFMessage""},""/trackbounds/markers"":{""count"":558,""type"":""visualization_msgs/msg/MarkerArray""}}",1,/confirmed_static_obs,f110_msgs/msg/ObstacleArray,31071,1,/global_waypoints,f110_msgs/msg/WpntArray,559,1,/car_state/frenet/odom,nav_msgs/msg/Odometry,30809,1,/pf/pose/odom,nav_msgs/msg/Odometry,31485,1,/avoid_waypoints,f110_msgs/msg/OTWpntArray,38862,1,/local_planning/p3_shadow,std_msgs/msg/String,3223,1,/odom,nav_msgs/msg/Odometry,55082,1,/sensors/imu/raw;/sensors/imu,sensor_msgs/msg/Imu;vesc_msgs/msg/VescImuStamped,111018,1,/scan;/scan_slow,sensor_msgs/msg/LaserScan;sensor_msgs/msg/LaserScan,45456,1,/tf,tf2_msgs/msg/TFMessage,86658,1,/tf_static,tf2_msgs/msg/TFMessage,1,1,/drive;/drive_autonomous;/ackermann_cmd,ackermann_msgs/msg/AckermannDriveStamped;ackermann_msgs/msg/AckermannDriveStamped;ackermann_msgs/msg/AckermannDriveStamped,139783,1,/state,f110_msgs/msg/StateMachine,9524,1,/static_obs,f110_msgs/msg/ObstacleArray,31071,1,1
