path,name,confirmed_static_obstacles,historical_static_obstacles,local_avoidance_path,selected_local_path,global_reference_waypoints,localization_pose,frenet_odometry,vehicle_odometry,simulator_ground_truth_pose,imu,scan,tf,tf_static,particle_cloud,drive_command,steering,CAN_REPLAY_PLANNER_INPUT,CAN_REPLAY_CURRENT_PLANNER_INPUT,HAS_LOCALIZATION,HAS_LOCALIZATION_COVARIANCE,HAS_FRENET_STATE,HAS_ODOMETRY,HAS_IMU,HAS_SCAN,HAS_TF,HAS_TF_STATIC,HAS_PARTICLES,HAS_GT,HAS_PLANNER_OUTPUT,HAS_DRIVE_COMMAND,HAS_STEERING,CAN_AUDIT_LOCALIZATION
/home/sungho/.local/share/Trash/files/run_0813_203537,run_0813_203537,,,/avoid_waypoints,/local_waypoints,/global_waypoints,/pf/pose/odom,/car_state/frenet/odom,/odom,,/sensors/imu/raw,/scan,/tf,/tf_static,,/ackermann_cmd;/drive;/drive_autonomous,/ackermann_cmd;/commands/servo/position,False,False,True,True,True,True,True,True,True,True,False,False,True,True,True,True
/home/sungho/.local/share/Trash/files/run_0814_131653,run_0814_131653,,/static_obs,/avoid_waypoints,/local_waypoints,/global_waypoints,/pf/pose/odom,/car_state/frenet/odom,/odom,,/sensors/imu/raw,/scan,/tf,/tf_static,,/ackermann_cmd;/drive;/drive_autonomous,/ackermann_cmd;/commands/servo/position,True,False,True,True,True,True,True,True,True,True,False,False,True,True,True,True
/home/sungho/.local/share/Trash/files/run_0818_182531,run_0818_182531,,,/avoid_waypoints,/local_waypoints,/global_waypoints,/pf/pose/odom,/car_state/frenet/odom,/odom,,/sensors/imu/raw,/scan,/tf,/tf_static,/pf/viz/particles,/ackermann_cmd;/drive;/drive_autonomous,/ackermann_cmd;/commands/servo/position,False,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True
/home/sungho/.local/share/Trash/files/run_161657,run_161657,/confirmed_static_obs,/static_obs,/avoid_waypoints,/local_waypoints,/global_waypoints,/pf/pose/odom,/car_state/frenet/odom,/odom,,/sensors/imu/raw,/scan,,,,/drive;/drive_autonomous,,True,True,True,True,True,True,True,True,False,False,False,False,True,True,False,True
/home/sungho/.local/share/Trash/files/run_192006,run_192006,/confirmed_static_obs,/static_obs,/avoid_waypoints,/local_waypoints,/global_waypoints,/pf/pose/odom,/car_state/frenet/odom,/odom,,/sensors/imu/raw,/scan,,,,/drive;/drive_autonomous,,True,True,True,True,True,True,True,True,False,False,False,False,True,True,False,True
/home/sungho/.local/share/Trash/files/run_20260821_021635,run_20260821_021635,/confirmed_static_obs,/static_obs,/avoid_waypoints,/local_waypoints,/global_waypoints,/pf/pose/odom,/car_state/frenet/odom,/odom,,/sensors/imu/raw,/scan,/tf,/tf_static,,/drive;/drive_autonomous,,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,True
/home/sungho/.local/share/Trash/files/run_20260821_021805,run_20260821_021805,/confirmed_static_obs,/static_obs,/avoid_waypoints,/local_waypoints,/global_waypoints,/pf/pose/odom,/car_state/frenet/odom,/odom,,/sensors/imu/raw,/scan,/tf,/tf_static,,/drive;/drive_autonomous,,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,True
/home/sungho/.local/share/Trash/files/run_20260821_044020,run_20260821_044020,/confirmed_static_obs,/static_obs,/avoid_waypoints,,/global_waypoints,/pf/pose/odom,,/odom,,/sensors/imu/raw,/scan,/tf,/tf_static,,/drive;/drive_autonomous,,False,False,True,True,False,True,True,True,True,True,False,False,True,True,False,True
/home/sungho/.local/share/Trash/files/run_20260821_213754,run_20260821_213754,/confirmed_static_obs,/static_obs,/avoid_waypoints,/local_waypoints,/global_waypoints,/pf/pose/odom,/car_state/frenet/odom,/odom,,/sensors/imu/raw,/scan,/tf,/tf_static,,/drive;/drive_autonomous,,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,True
/home/sungho/.local/share/Trash/files/run_20260821_221931,run_20260821_221931,/confirmed_static_obs,/static_obs,/avoid_waypoints,/local_waypoints,/global_waypoints,/pf/pose/odom,/car_state/frenet/odom,/odom,,/sensors/imu/raw,/scan,/tf,/tf_static,,/drive;/drive_autonomous,,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,True
/home/sungho/.local/share/Trash/files/run_220742,run_220742,/confirmed_static_obs,/static_obs,/avoid_waypoints,/local_waypoints,/global_waypoints,/pf/pose/odom,/car_state/frenet/odom,/odom,,/sensors/imu/raw,/scan,,,,/drive;/drive_autonomous,,True,True,True,True,True,True,True,True,False,False,False,False,True,True,False,True
