scope,stage,mode,events,p50_us,p90_us,p95_us,p99_us,max_us,p50_speedup,p95_speedup,interpretation
r3_invocation,BEFORE,PRODUCTION_EQUIVALENT_OFF,86,213801.122,1242704.269,2489205.770,4248128.964,6062728.460,1.000,1.000,FUNCTIONAL_INTEGRATION_BASELINE
r3_invocation,AFTER,PRODUCTION_EQUIVALENT_OFF,86,17188.452,112659.168,132728.050,196073.692,263353.693,12.439,18.754,CORE_MEDIAN_UNDER_25MS_TAIL_NOT_QUALIFIED
full_evaluator_wall,BEFORE,PRODUCTION_EQUIVALENT_OFF,86,228222.984,1294117.005,2531715.274,4309827.085,6152518.752,1.000,1.000,STRICT_RELAXED_PLUS_R3_EVALUATOR
full_evaluator_wall,AFTER,PRODUCTION_EQUIVALENT_OFF,86,29797.894,140076.819,166053.383,223224.969,303857.978,7.659,15.246,MEDIAN_AND_TAIL_EXCEED_25MS
standalone_process_wall,BEFORE,PRODUCTION_EQUIVALENT_OFF,86,235136.138,1307871.277,2545791.748,4329706.595,6179234.076,1.000,1.000,INCLUDES_PROCESS_AND_EVENT_IO
standalone_process_wall,AFTER,PRODUCTION_EQUIVALENT_OFF,86,35827.010,146558.090,172830.034,229946.207,311292.588,6.563,14.730,NOT_DEPLOYABLE_CALLBACK_LATENCY
