0.000000000000000000e+00,5.000000000000000000e-01,6.015625000000000000e-01,7.031250000000000000e-01,8.046875000000000000e-01,9.062500000000000000e-01,1.007812500000000000e+00,1.109375000000000000e+00,1.210937500000000000e+00,1.312500000000000000e+00,1.414062500000000000e+00,1.515625000000000000e+00,1.617187500000000000e+00,1.718750000000000000e+00,1.820312500000000000e+00,1.921875000000000000e+00,2.023437500000000000e+00,2.125000000000000000e+00,2.226562500000000000e+00,2.328125000000000000e+00,2.429687500000000000e+00,2.531250000000000000e+00,2.632812500000000000e+00,2.734375000000000000e+00,2.835937500000000000e+00,2.937500000000000000e+00,3.039062500000000000e+00,3.140625000000000000e+00,3.242187500000000000e+00,3.343750000000000000e+00,3.445312500000000000e+00,3.546875000000000000e+00,3.648437500000000000e+00,3.750000000000000000e+00,3.851562500000000000e+00,3.953125000000000000e+00,4.054687500000000000e+00,4.156250000000000000e+00,4.257812500000000000e+00,4.359375000000000000e+00,4.460937500000000000e+00,4.562500000000000000e+00,4.664062500000000000e+00,4.765625000000000000e+00,4.867187500000000000e+00,4.968750000000000000e+00,5.070312500000000000e+00,5.171875000000000000e+00,5.273437500000000000e+00,5.375000000000000000e+00,5.476562500000000000e+00,5.578125000000000000e+00,5.679687500000000000e+00,5.781250000000000000e+00,5.882812500000000000e+00,5.984375000000000000e+00,6.085937500000000000e+00,6.187500000000000000e+00,6.289062500000000000e+00,6.390625000000000000e+00,6.492187500000000000e+00,6.593750000000000000e+00,6.695312500000000000e+00,6.796875000000000000e+00,6.898437500000000000e+00,7.000000000000000000e+00
0.000000000000000000e+00,0,0,0,0,0,0.0965923,0.0829055,0.0694178,3.58591e-10,0,0.353023,0.419503,0.113744,0,2.74351,0.504852,0.270543,0.0748773,1.04204,3.05625,1.38576,0.582044,0.529381,2.86913,3.11481,0.230427,0.212863,4.36244,0.415975,2.70007,1.71513,0.0523888,0.335132,0.112268,0.0897041,0.034556,0.024296,0,0,5.75791e-10,9.67565e-11,3.52666e-09,2.02288e-08,8.28639e-09,0.548248,4.28608e-09,7.37652e-09,4.08238e-09,8.60357e-10,6.72182e-10,4.50882e-10,2.27616e-09,4.51875e-09,7.66461e-09,5.49162e-09,2.24711e-08,3.28689e-08,4.5848e-08,2.81507e-08,1.28726e-08,0,0,0,0,0
3.333333333333333547e-03,0.00255423,0.00369091,0.00503214,0.00657539,0.0083178,0.0102561,0.0123869,0.0147061,0.0172096,0.019893,0.316391,0.257215,0.0289741,0.0323276,0.543202,0.230003,0.0432894,1.10505,1.00646,0.660588,0.674063,0.913511,0.637899,0.929755,0.34079,0.834829,0.464438,0.463062,0.67587,0.850049,0.27651,0.206669,0.244836,0.150868,0.11771,0.121982,0.127159,0.121912,0.150615,0.156043,0.161477,0.166915,0.172351,0.897703,0.393183,0.188617,0.194014,0.199391,0.204748,0.210081,0.215387,0.220664,0.22591,0.231122,0.236298,0.241437,0.246537,0.251595,0.256611,0.261584,0.266511,0.271392,0.276225,0.28101,0.285747
6.666666666666667095e-03,0.00510852,0.0073819,0.0100644,0.0131509,0.0166358,0.0154453,0.0191891,0.027666,0.0291617,0.0397864,0.174869,0.191485,0.0579487,0.048537,0.279232,0.157547,0.0843432,0.829627,0.839122,0.585764,0.322707,0.799221,0.58473,0.767295,0.474008,0.811391,0.373796,0.34088,0.597402,0.289825,0.194106,0.544398,1.15773,0.23653,0.225137,0.274876,0.340178,0.320021,0.308636,0.312036,1.94921,0.333764,0.344628,1.6277,0.641937,0.377128,0.387908,0.39865,0.409349,0.419999,0.430594,0.441129,0.451601,0.462004,0.472335,0.482589,0.492763,0.502853,0.512858,0.522773,0.532597,0.542327,0.551961,0.561496,0.570933
1.000000000000000021e-02,0.00766292,0.011073,0.0150968,0.0197267,0.0249541,0.0307692,0.0371615,0.0441193,0.0516301,0.0596804,0.203085,0.0773427,0.0869242,0.0969845,0.281866,0.183697,0.155492,0.887323,0.690273,1.0348,0.676255,0.347021,1.0158,0.896755,0.948096,0.617117,0.561333,0.322437,0.23871,1.09193,0.241551,0.198413,0.238745,0.330865,0.28468,0.295018,0.316332,0.282493,0.350473,0.46793,0.484204,0.500484,0.516758,0.291925,0.613894,0.565427,0.581565,0.597644,0.613654,0.629588,0.645438,0.661195,0.676853,0.692406,0.707846,0.723168,0.738366,0.753437,0.768374,0.783174,0.797834,0.812348,0.826716,0.840932,0.854996
1.333333333333333419e-02,0.0102175,0.0147644,0.0201296,0.0263029,0.0332729,0.0410266,0.0495498,0.0588271,0.0688416,0.0795756,0.297865,0.103126,0.331423,0.129315,0.407734,0.165254,0.83149,1.39068,0.986689,0.961739,1.1243,0.99805,0.842053,0.766536,0.356142,1.13411,0.351031,0.634547,0.378777,0.25582,0.259475,0.148797,0.261063,0.391846,0.294397,0.268461,0.283366,0.425124,0.422303,0.375577,0.645341,0.667009,0.688665,0.2987,0.485232,0.753406,0.774863,0.796237,0.817515,0.838685,0.859737,0.880661,0.901446,0.922084,0.942567,0.962886,0.983034,1.003,1.02279,1.04239,1.06179,1.081,1.1,1.11879,1.13737
1.666666666666666644e-02,0.0127723,0.0184561,0.0251628,0.0328797,0.0415924,0.0512848,0.0693659,0.0735359,0.0860544,0.0994721,0.255451,0.12891,0.292422,0.161647,0.159729,0.103988,0.117471,0.959128,0.420318,0.794619,1.24176,1.24899,0.724175,0.922724,0.554187,0.367922,0.507566,0.463053,0.933711,0.570296,0.373118,0.291601,0.205162,0.332898,0.332463,0.462103,0.416682,0.411471,0.439095,0.329892,0.806249,0.833272,0.31141,1.68425,0.706758,0.940957,0.967682,0.994295,1.02078,1.04712,1.07331,1.09932,1.12516,1.15079,1.17623,1.20145,1.22645,1.25121,1.27574,1.30002,1.32404,1.34781,1.37131,1.39454,1.4175
2.000000000000000042e-02,0.0153273,0.0221482,0.0301966,0.0394572,0.0499128,0.087691,0.126674,0.181582,0.150067,0.174235,0.178249,0.154697,0.321993,0.193981,0.286328,0.104409,0.306391,0.774481,1.14506,0.795982,0.975263,1.30659,1.18206,0.784083,0.289329,0.969019,1.19939,0.843391,0.518438,0.52062,0.394286,0.302422,0.280176,0.308013,0.300492,0.399349,0.269666,0.355903,0.368337,0.333702,0.619602,0.509992,1.03151,1.26024,0.416029,1.12797,1.1599,1.19168,1.2233,1.25473,1.28596,1.31697,1.34775,1.37829,1.40857,1.43857,1.46829,1.49772,1.52684,1.55566,1.58415,1.61232,1.64015,1.66765,1.6948
2.333333333333333440e-02,0.0178827,0.0258408,0.0352309,0.0460355,0.0582342,0.0718046,0.0410677,0.0636364,0.0690902,0.0696269,0.15386,0.11274,0.10032,0.150867,0.0858153,0.149645,0.147613,1.06847,0.712547,0.942757,0.751503,1.31262,1.1018,0.525322,0.344453,0.99687,0.836901,0.400655,0.465042,0.715625,1.17129,1.08954,0.295257,0.539612,0.188317,0.410097,0.59053,0.472087,0.35667,0.190186,0.48871,0.737024,0.688429,0.588451,0.335688,1.31433,1.35139,1.38825,1.42491,1.46133,1.4975,1.5334,1.56901,1.60432,1.6393,1.67394,1.70824,1.74217,1.77573,1.8089,1.84168,1.87406,1.90603,1.93758,1.96872
2.666666666666666838e-02,0.0204385,0.0295339,0.0402661,0.0526147,0.0665568,0.0820665,0.0991153,0.117672,0.133416,0.248232,0.102875,0.333763,0.523527,0.258658,0.312129,0.23351,0.284666,1.38048,0.252814,0.361922,1.29412,1.41592,1.17887,0.592983,0.23717,0.754701,0.835089,0.8791,0.562449,0.460941,0.640479,0.423511,0.440271,0.621341,0.169326,0.552176,0.653779,0.7504,0.530289,0.185329,0.845236,0.853309,1.30255,1.18311,0.545499,1.49993,1.54202,1.58387,1.62546,1.66676,1.70774,1.7484,1.7887,1.82862,1.86815,1.90726,1.94595,1.9842,2.022,2.05933,2.09618,2.13255,2.16843,2.2038,2.23867
