budget_b,stage,p50_ms,p90_ms,p95_ms,p99_ms,max_ms
64,wall,13.190337,32.509759100000004,40.39578159999999,68.93823643,69.421995
64,context,0.006084,0.0162051,0.0212768,0.02897754,0.043449
64,geometry,0.4589265,0.49419870000000005,0.50547855,0.52617494,0.550492
64,transition,0.006221000000000001,0.021533999999999998,0.030838349999999987,0.034788770000000004,0.043653
64,lateral,0.11923,0.16556459999999992,0.20652954999999998,0.22024804,0.235881
64,pair_proxy,0.7485200000000001,1.4003067,1.46292275,1.5396930599999998,1.603705
64,lexicographic,0.0125795,0.016820400000000003,0.018846449999999997,0.02119488999999999,0.029865
64,coverage,0.0069195,0.0113152,0.0118233,0.0130651,0.022874
64,shape_dedup,0.0274075,0.028850999999999998,0.03289689999999999,0.03802901,0.059936
64,reconstruction,1.8103495,4.5498516,5.0681144499999995,7.1718743499999995,7.2513070000000015
64,validation,1.7982230000000001,5.233043300000001,5.5020315,7.738868469999999,7.943232
64,final_ranking,0.000455,0.0062834,0.006786049999999999,0.008949259999999987,0.025389
64,r3_total,5.323124999999999,11.896213099999999,12.9073923,16.836266809999998,17.124756
96,wall,13.825076,33.8957045,40.97568985,70.12363441,70.75932399999999
96,context,0.0060895,0.01642869999999999,0.021930649999999996,0.028513069999999998,0.032549
96,geometry,0.4559355,0.4957832,0.5055358,0.52877791,0.7338859999999999
96,transition,0.0063655,0.0226916,0.0287772,0.03547344999999999,0.056354999999999995
96,lateral,0.1196595,0.1716069999999999,0.2051138,0.21609242999999995,0.249688
96,pair_proxy,1.1423009999999998,2.0737212,2.3207756499999994,2.468342,2.961044
96,lexicographic,0.018159,0.026088499999999997,0.029247149999999996,0.032449229999999975,0.049054
96,coverage,0.007705,0.016998100000000002,0.01755535,0.018786769999999998,0.027015
96,shape_dedup,0.0276285,0.029362399999999997,0.03485705,0.04467680999999997,0.05900400000000001
96,reconstruction,1.7279895,4.6726666,5.497049199999999,7.169614600000001,7.235176999999999
96,validation,1.9264130000000002,4.9429784,5.51431455,7.75938284,7.822869
96,final_ranking,0.0020715000000000004,0.006625699999999999,0.00718405,0.008038019999999996,0.017969000000000002
96,r3_total,5.956654,13.1257419,13.772672600000002,16.82748392,16.938902
128,wall,14.4552185,34.6973136,41.9035645,70.50608018,70.909051
128,context,0.006082,0.016228199999999995,0.020984149999999993,0.0284301,0.063561
128,geometry,0.45490450000000004,0.493702,0.50617005,0.5262351399999999,0.7078049999999999
128,transition,0.006498,0.022546100000000003,0.030096149999999974,0.03480502,0.053738
128,lateral,0.119128,0.16519539999999996,0.20081515,0.21309708999999996,0.22591999999999998
128,pair_proxy,1.6625345,2.6848536,3.39545825,3.50508574,3.5410079999999997
128,lexicographic,0.023799,0.03544269999999999,0.0393755,0.042373799999999996,0.076492
128,coverage,0.008367,0.0218996,0.022910699999999996,0.02706043,0.036088
128,shape_dedup,0.027799499999999998,0.033663799999999994,0.04277785,0.052941009999999955,0.06554399999999999
128,reconstruction,1.704583,4.6185225999999995,5.4869153,7.165011959999999,7.229212000000001
128,validation,1.8910015000000002,4.9344311,5.4698144,7.764773600000001,7.857887000000001
128,final_ranking,0.0034755000000000003,0.0064075,0.0068655,0.008061449999999998,0.022314
128,r3_total,6.3389305,13.4294862,14.2877347,16.8348901,16.984852999999998
