event_id,development_data_label,localization_stress_candidate,production_stage,production_template,probe_policy,side,d_target,entry_scale,exit_scale,production_d_mid,oracle_d_mid,s_probe_prod,d_probe_prod,d_oracle_at_s_probe_prod,probe_residual_m,d_probe_required,delta_d_probe_required_minus_production_m,production_first_failure,oracle_minimum_normalized_safety_slack,oracle_footprint_track_margin_m,oracle_obstacle_margin_m,oracle_lateral_slope_margin,oracle_signed_curvature_margin_radpm,oracle_curvature_rate_margin_radpm2,diagnostic_class,oracle_entry_scale,oracle_exit_scale,explanation
V2E01,PILOT_SEEN_DEVELOPMENT_DATA,False,M0_V1,FROZEN_V1_CURVATURE_CONTINUITY,CURVATURE_CONTINUITY,RIGHT,-0.45687960954981943,0.5145810930150512,0.6049868191659147,-0.536879609549819,-0.51,0.15306811594111736,-0.5368796095498194,-0.51,0.026879609549819383,-0.51,0.026879609549819383,shifted race line exceeds left control steering curvature,0.12238596570543912,0.3451461695670259,1.5,0.05273211787629506,0.16109254906322157,15.788850094475517,A_PROBE_CONSTRAINT_MISS,,,
V2E02,PILOT_SEEN_DEVELOPMENT_DATA,False,M1,NEAR_LONG,BOTTLENECK_CENTER,LEFT,0.15,1.310934367577036,6.630707249408404,0.41419360960521834,0.17000000000000004,0.2915671120343557,0.414193609605218,0.17000000000000004,-0.24419360960521796,0.17000000000000004,-0.24419360960521796,quintic d-offset exceeds maximum_lateral_slope,0.09243058662770616,0.1256261381255866,0.15158926164255923,0.3487926750849339,0.49708242020395277,17.343897657577305,A_PROBE_CONSTRAINT_MISS,,,
V2E08,PILOT_SEEN_DEVELOPMENT_DATA,True,M0_V1,FROZEN_V1_CURVATURE_CONTINUITY,CURVATURE_CONTINUITY,RIGHT,-0.15000000000000002,0.5145810930150512,7.397546202396385,-0.15000000158945753,-0.09999999999999924,0.3512738198587826,-0.15000000000000002,-0.12209079805217934,0.027909201947820678,-0.12209079805217934,0.027909201947820678,shifted race line exceeds left control steering curvature,0.03014794025175317,0.39492057793403623,0.04522191037762975,0.502480269068441,0.30055310964988213,18.662625833874763,B_ROOT_SOLVER_OR_BRANCH_FILTER_MISS,,,
V2E03,PILOT_SEEN_DEVELOPMENT_DATA,False,M1,ZERO_BOUNDARY_SHORT,NONE_ZERO_INTERFACE,LEFT,0.19958710018478393,0.5145810930150512,0.4971684162574945,0.19958710018478393,0.19958710018478393,,,,,,,shifted race line exceeds right control steering curvature,0.0094415469915080652,,,,,,TEMPLATE_OR_TRANSITION_SELECTION,0.51458109301505117,6.6207278693945026,same production d_target/d_mid becomes valid with existing entry=0.5145810930150512 and long exit=6.620727869394503
