event_id,development_data_label,localization_stress_candidate,production_stage,production_template,probe_policy,side,d_target,entry_scale,exit_scale,production_d_mid,oracle_d_mid,s_probe_prod,d_probe_prod,d_oracle_at_s_probe_prod,probe_residual_m,d_probe_required,delta_d_probe_required_minus_production_m
V2E01,PILOT_SEEN_DEVELOPMENT_DATA,False,M0_V1,FROZEN_V1_CURVATURE_CONTINUITY,CURVATURE_CONTINUITY,RIGHT,-0.45687960954981943,0.5145810930150512,0.6049868191659147,-0.536879609549819,-0.51,0.15306811594111736,-0.5368796095498194,-0.51,0.026879609549819383,-0.51,0.026879609549819383
V2E02,PILOT_SEEN_DEVELOPMENT_DATA,False,M1,NEAR_LONG,BOTTLENECK_CENTER,LEFT,0.15,1.310934367577036,6.630707249408404,0.41419360960521834,0.17000000000000004,0.2915671120343557,0.414193609605218,0.17000000000000004,-0.24419360960521796,0.17000000000000004,-0.24419360960521796
V2E08,PILOT_SEEN_DEVELOPMENT_DATA,True,M0_V1,FROZEN_V1_CURVATURE_CONTINUITY,CURVATURE_CONTINUITY,RIGHT,-0.15000000000000002,0.5145810930150512,7.397546202396385,-0.15000000158945753,-0.09999999999999924,0.3512738198587826,-0.15000000000000002,-0.12209079805217934,0.027909201947820678,-0.12209079805217934,0.027909201947820678
