event_id,phase,gate,side,d_target,d_mid,entry_scale,exit_scale,index,s_m,d_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
E04,NEAREST_INVALID,STRICT,RIGHT,-0.43880225630475256,-0.45000000000000001,1.310934367577036,0.58889254858469275,0,21.568176109172274,-1.1561586186359005,8.3428215182253904,-1.0674188869134946,0.50755627737174525,0.88540325734963088,1.3813228731594267,2.5121801372938548
E04,NEAREST_INVALID,STRICT,RIGHT,-0.43880225630475256,-0.45000000000000001,1.310934367577036,0.58889254858469275,1,21.818757377290499,-1.1186594537506871,8.6313406062049509,-0.83728059654077924,0.82825296872694587,0.80105331044071404,1.939678907445322,2.4867615949211292
E04,NEAREST_INVALID,STRICT,RIGHT,-0.43880225630475256,-0.45000000000000001,1.310934367577036,0.58889254858469275,2,22.069344613654412,-1.0136896013859817,8.8459756995082781,-0.53241338679061423,1.089675007619995,0.60596170960967544,2.3699577660965256,2.4218665207776038
E04,NEAREST_INVALID,STRICT,RIGHT,-0.43880225630475256,-0.45000000000000001,1.310934367577036,0.58889254858469275,3,22.31989679798706,-0.85391807598048586,8.9833563339207174,-0.17513560886555635,1.2988355319838023,0.40079530000523333,2.7332738569603352,2.4499459317769259
E04,NEAREST_INVALID,STRICT,RIGHT,-0.43880225630475256,-0.45000000000000001,1.310934367577036,0.58889254858469275,4,22.570387761739322,-0.67881007456216413,9.0616807127274477,0.19496816776292286,1.4090549475321938,0.12475668579165726,3.0535911823473643,1.5322045011195771
E04,NEAREST_INVALID,STRICT,RIGHT,-0.43880225630475256,-0.45000000000000001,1.310934367577036,0.58889254858469275,5,22.820882212972169,-0.53462135676294431,9.1144498073553724,0.54093219868484876,1.4055775915468383,-0.14990432773461659,3.2244155785635038,-1.5931067997496573
E04,NEAREST_INVALID,STRICT,RIGHT,-0.43880225630475256,-0.45000000000000001,1.310934367577036,0.58889254858469275,6,23.07140517347375,-0.45464521252314349,9.1791756400306941,0.84870854294070519,1.2918768782863161,-0.018410631999702769,3.0650879239063751,-1.3641762748918957
E04,NEAREST_INVALID,STRICT,RIGHT,-0.43880225630475256,-0.45000000000000001,1.310934367577036,0.58889254858469275,7,23.321966497353319,-0.4438136473390355,9.2732977713307712,1.1307028076742447,1.3061890216279264,0.41690013113190788,2.9297882872658056,0
E04,NEAREST_INVALID,STRICT,RIGHT,-0.43880225630475256,-0.45000000000000001,1.310934367577036,0.58889254858469275,8,23.572507086240048,-0.4100506430471203,9.315361104293558,1.4240495175436521,1.5729246598953537,0.75533283424991871,2.9297882872658056,0
E04,NEAREST_INVALID,STRICT,RIGHT,-0.43880225630475256,-0.45000000000000001,1.310934367577036,0.58889254858469275,9,23.823046637283529,-0.32051097571739084,9.270894182197841,1.7231512565506706,1.8242047111935666,0.63019434186759626,2.9297882872658056,0
E04,NEAREST_INVALID,STRICT,RIGHT,-0.43880225630475256,-0.45000000000000001,1.310934367577036,0.58889254858469275,10,24.073539933266733,-0.20994936479290052,9.1735000676068417,2.0072180177143926,1.9719623077384234,0.34677069487030032,2.9297882872658056,0
E04,NEAREST_INVALID,STRICT,RIGHT,-0.43880225630475256,-0.45000000000000001,1.310934367577036,0.58889254858469275,11,24.324016367525605,-0.10308563351529154,9.0494875349718189,2.2678758335064182,2.0368374251100989,0.077822227108443151,2.9297882872658056,3.4489261485804725
E04,NEAREST_INVALID,STRICT,RIGHT,-0.43880225630475256,-0.45000000000000001,1.310934367577036,0.58889254858469275,12,24.574426107607078,-0.029032691818025758,8.9300088986638375,2.5084829044649717,2.0107061087346088,-0.015076434800702376,3.2305868638380244,3.6497879563145825
E04,NEAREST_INVALID,STRICT,RIGHT,-0.43880225630475256,-0.45000000000000001,1.310934367577036,0.58889254858469275,13,24.824745833459506,-0.0013459511955196679,8.8269359464720552,2.7403705565391445,1.9910526555350427,0.15808372762057021,3.5055751961854664,3.6986012635889463
E04,NEAREST_INVALID,STRICT,RIGHT,-0.43880225630475256,-0.45000000000000001,1.310934367577036,0.58889254858469275,14,25.07503491083617,0,8.7180451212378269,2.9658362995223411,2.0771407612109045,0.40653757044137928,3.7604782446782061,-1.0152554665778268
E04,NEAREST_INVALID,STRICT,RIGHT,-0.43880225630475256,-0.45000000000000001,1.310934367577036,0.58889254858469275,15,25.325363597423198,0,8.5809852322609323,3.1753095392500654,2.2154412519141289,0.52700699475796364,3.6922759232891336,-1.0840000473202143
E04,NEAREST_INVALID,STRICT,RIGHT,-0.43880225630475256,-0.45000000000000001,1.310934367577036,0.58889254858469275,16,25.575683556354839,0,8.4175781489108257,3.3649360325218387,2.3495961037632522,0.55225834294203646,3.6180392202194875,-1.4866252419216603
E04,NEAREST_INVALID,STRICT,RIGHT,-0.43880225630475256,-0.45000000000000001,1.310934367577036,0.58889254858469275,17,25.825900137344934,0,8.2297412172861879,3.5302406740786125,2.492600347014656,0.59060567472076053,3.5137232714816942,-0.99218518528316846
E04,NEAREST_INVALID,STRICT,RIGHT,-0.43880225630475256,-0.45000000000000001,1.310934367577036,0.58889254858469275,18,26.076027894214945,0,8.0195150183796073,3.6657723679738541,2.6485521677439472,0.61895673069090873,3.442369114282045,0.39947857055625013
