event_id,dataset_role,source_kind,method,selected,side,d_target,d_mid,entry_scale,exit_scale,digest,hard_valid,usable_valid,safety_slack,track_margin_m,obstacle_margin_m,curvature_margin,curvature_rate_margin,slope_margin,braking_deficit_m,velocity_loss,exit_conflict,mean_lateral_deviation_m,max_curvature_radpm,max_curvature_rate_radpm2,point_count,maneuver_station_length_m
V2E01,PILOT_SEEN_DEVELOPMENT_DATA,FROZEN_PRODUCTION_FAILURE,LEGACY_SEEDED_TEACHER_B128,0,RIGHT,-0.45687960954981943,-0.45687960954981943,1.310934367577036,7.397546202396385,fc8130780082f626,True,True,0.24817834420424137,0.3561927841082032,1.5,0.697309788388106,19.22179381426724,0.7552656713787205,0.0,0.13094662351094166,False,0.17573094762864475,0.6189567306909051,0.7782061857327603,94,18.7215859541444
V2E01,PILOT_SEEN_DEVELOPMENT_DATA,FROZEN_PRODUCTION_FAILURE,LEGACY_SEEDED_TEACHER_B128,0,RIGHT,-0.4637643031506035,-0.4637643031506035,1.310934367577036,7.397546202396385,84d77c6dca9c8ee8,True,True,0.24817600868161602,0.35619007846106,1.5,0.697309788388106,19.221798605318142,0.7545915722516053,0.0,0.13090260537195428,False,0.1783790275720477,0.6189567306909051,0.778201394681858,94,18.7215859541444
V2E01,PILOT_SEEN_DEVELOPMENT_DATA,FROZEN_PRODUCTION_FAILURE,LEGACY_SEEDED_TEACHER_B128,0,RIGHT,-0.46687960954981944,-0.46687960954981944,1.310934367577036,7.397546202396385,9f32fcfdc7cdf403,True,True,0.2481749518635494,0.35618885416526325,1.5,0.697309788388106,19.22180072564664,0.7542865441056663,0.0,0.13088267539850182,False,0.17957727703261614,0.6189567306909051,0.7781992743533573,94,18.7215859541444
V2E01,PILOT_SEEN_DEVELOPMENT_DATA,FROZEN_PRODUCTION_FAILURE,LEGACY_SEEDED_TEACHER_B128,1,RIGHT,-0.4706489967513876,-0.4706489967513876,0.5145810930150512,7.397546202396385,e08dc6cd11cfc0b6,True,True,0.2481736731589901,0.3561873728220147,1.5,0.697309788388106,19.221803251544465,0.75391747312449,0.0,0.13085856044007813,False,0.1810271075154508,0.6189567306909051,0.7781967484555367,94,18.63572820012399
V2E01,PILOT_SEEN_DEVELOPMENT_DATA,FROZEN_PRODUCTION_FAILURE,LEGACY_SEEDED_TEACHER_B128,0,RIGHT,-0.45687960954981943,-0.45687960954981943,1.310934367577036,3.94735730932694,8ae5ff4fa5f4d2f4,True,True,0.2819376392621095,0.42285704061458823,1.5,0.8001297525389268,19.22113813078988,0.7162549837159332,0.0,0.17036984337177197,False,0.1483253659620663,0.5161367665400842,0.7788618692101207,60,10.066767669972869
V2E01,PILOT_SEEN_DEVELOPMENT_DATA,FROZEN_PRODUCTION_FAILURE,LEGACY_SEEDED_TEACHER_B128,0,RIGHT,-0.4637643031506035,-0.4637643031506035,1.310934367577036,3.94735730932694,5cb7f2468459052d,True,True,0.2775466136432491,0.41627034088756737,1.5,0.8001297525389268,19.22113813078988,0.7149930346911638,0.0,0.17036984337177197,False,0.15056047270906933,0.5161367665400842,0.7788618692101207,60,10.066767669972869
V2E01,PILOT_SEEN_DEVELOPMENT_DATA,FROZEN_PRODUCTION_FAILURE,LEGACY_SEEDED_TEACHER_B128,0,RIGHT,-0.46687960954981944,-0.46687960954981944,1.310934367577036,3.94735730932694,d3baf49043233c0e,True,True,0.27555968568352135,0.4132898813637263,1.5,0.8001297525389268,19.22113813078988,0.7144220059569437,0.0,0.17036984337177197,False,0.15157185284530042,0.5161367665400842,0.7788618692101207,60,10.066767669972869
V2E01,PILOT_SEEN_DEVELOPMENT_DATA,FROZEN_PRODUCTION_FAILURE,LEGACY_SEEDED_TEACHER_B128,0,RIGHT,-0.45687960954981943,-0.46687960954981944,1.310934367577036,3.94735730932694,c308181cce441358,True,True,0.1970443318242958,0.29457043866084903,1.5,0.8001297525389268,19.22113813078988,0.6667015400548418,0.0,0.17036984337177197,False,0.21067993143401686,0.5161367665400842,0.7788618692101207,60,10.066767669972869
V2E02,PILOT_SEEN_DEVELOPMENT_DATA,FROZEN_PRODUCTION_FAILURE,LEGACY_SEEDED_TEACHER_B128,1,LEFT,0.15,0.10999999999999999,1.310934367577036,6.630707249408404,2795736f29e94f82,True,True,0.06110660721338912,0.08319941375916054,0.09165991082008368,0.32411953170355,18.2228982593307,0.593675984274532,0.0,0.11460026924491093,False,0.17894660919261157,0.819956107759123,1.7771017406692975,185,41.36796440739351
V2E02,PILOT_SEEN_DEVELOPMENT_DATA,FROZEN_PRODUCTION_FAILURE,LEGACY_SEEDED_TEACHER_B128,0,LEFT,0.15,0.10999999999999999,0.5145810930150512,0.4971684162574945,bf31d2671916c1ee,True,True,0.061106579795812216,0.5303789345517054,0.09165986969371832,0.4844022888986109,19.051505283624703,0.5594773810197345,0.0,0.22714971154259936,False,0.023906231854924073,0.6596733505640621,0.948494716375296,34,3.360427705965643
V2E02,PILOT_SEEN_DEVELOPMENT_DATA,FROZEN_PRODUCTION_FAILURE,LEGACY_SEEDED_TEACHER_B128,0,LEFT,0.15,0.13,1.310934367577036,6.630707249408404,f04ca0ec02a0d517,True,True,0.0744242305265612,0.32124766483288003,0.1116363457898418,0.46554569482209684,18.023370762531158,0.514721904860939,0.0,0.12337105505539124,False,0.07796541177475871,0.6785299446405761,1.9766292374688403,185,41.36796440739351
V2E02,PILOT_SEEN_DEVELOPMENT_DATA,FROZEN_PRODUCTION_FAILURE,LEGACY_SEEDED_TEACHER_B128,0,LEFT,0.1603125,0.1403125,1.310934367577036,6.630707249408404,a11be182eb5fb474,True,True,0.08129923052518785,0.3306426067304085,0.12194884578778178,0.4686057863652261,17.83222203904694,0.4772682625043647,0.0,0.12576864584425756,False,0.07699506529260831,0.6754698530974469,2.167777960953061,185,41.36796440739351
V2E02,PILOT_SEEN_DEVELOPMENT_DATA,FROZEN_PRODUCTION_FAILURE,LEGACY_SEEDED_TEACHER_B128,0,LEFT,0.15,0.09999999999999999,0.5145810930150512,0.4971684162574945,f8d2a40faf11efa6,True,True,0.05444776214014074,0.5303789345517054,0.08167164321021111,0.6684803624058424,18.82410801376874,0.5992950300224964,0.0,0.22714971154259936,False,0.021968617818530083,0.48820217740969346,1.1758919862312607,34,3.360427705965643
V2E03,PILOT_SEEN_DEVELOPMENT_DATA,FROZEN_PRODUCTION_FAILURE,LEGACY_SEEDED_TEACHER_B128,1,LEFT,0.1953345144734313,0.1853345144734313,1.310934367577036,6.620727869394503,0e80da04fd67df6e,True,True,0.0011645285225024653,0.3206509106429877,0.0017467927837536978,0.2524521009206746,14.66615574813789,0.04600821046179937,0.0,0.048823385821301024,False,0.07094713502726181,1.0638144181583364,5.333844251862112,185,41.367964407393515
V2E03,PILOT_SEEN_DEVELOPMENT_DATA,FROZEN_PRODUCTION_FAILURE,LEGACY_SEEDED_TEACHER_B128,0,LEFT,0.18958710018478392,0.18958710018478392,1.310934367577036,6.620727869394503,9027a36c406610e1,True,True,0.0027838340211752133,0.2768961704518239,0.00417575103176282,0.27570383151102873,14.66481698727948,0.034441636569026546,0.0,0.05115730103329339,False,0.08171317472591755,1.0405626875679823,5.335183012720521,185,41.367964407393515
V2E03,PILOT_SEEN_DEVELOPMENT_DATA,FROZEN_PRODUCTION_FAILURE,LEGACY_SEEDED_TEACHER_B128,0,LEFT,0.1953345144734313,0.1953345144734313,1.310934367577036,6.620727869394503,6f31f8eb9ec8f308,True,True,0.006614355607173865,0.27137051754361446,0.009921533410760797,0.2646222484624121,14.50195053948816,0.018181764241384957,0.0,0.051588979273514794,False,0.08418093474085919,1.051644270616599,5.498049460511839,185,41.367964407393515
V2E03,PILOT_SEEN_DEVELOPMENT_DATA,FROZEN_PRODUCTION_FAILURE,LEGACY_SEEDED_TEACHER_B128,0,LEFT,0.19958710018478393,0.19958710018478393,1.310934367577036,6.620727869394503,e52a9e61df936376,True,True,0.009441546991508065,0.26728214257648913,0.014162320487262098,0.24626980862607928,14.32866747849834,0.0017716525453569387,0.0,0.05193931559992768,False,0.08601271722577804,1.0699967104529318,5.671332521501659,185,41.367964407393515
V2E08,PILOT_SEEN_DEVELOPMENT_DATA,FROZEN_PRODUCTION_FAILURE,LEGACY_SEEDED_TEACHER_B128,0,RIGHT,-0.15,-0.09999999999999999,1.310934367577036,3.94735730932694,06dd58e0d88e317b,True,True,0.030147940251753186,0.36304169358603283,0.04522191037762978,0.28113455473035476,18.682350244604493,0.5024986444048145,0.0,0.1260567487517293,False,0.05428378691513167,1.0351319643486563,1.3176497553955084,61,10.29134025661915
V2E08,PILOT_SEEN_DEVELOPMENT_DATA,FROZEN_PRODUCTION_FAILURE,LEGACY_SEEDED_TEACHER_B128,0,RIGHT,-0.1593359375,-0.1093359375,1.310934367577036,3.94735730932694,61d10b824479ca7c,True,True,0.032018230380711644,0.3629457417834595,0.04802734557106747,0.19142977250899618,18.490177857363317,0.4764651189729255,0.0,0.12862044643054207,False,0.053809175403824946,1.1248367465700149,1.5098221426366818,61,10.29134025661915
V2E08,PILOT_SEEN_DEVELOPMENT_DATA,FROZEN_PRODUCTION_FAILURE,LEGACY_SEEDED_TEACHER_B128,1,RIGHT,-0.15,-0.0375,1.310934367577036,3.94735730932694,8dd7ec9d69ccda2b,True,True,0.027423416846725942,0.37336444816826786,0.04113512527008891,0.697309788388076,18.71700237288888,0.5718909362716288,0.0,0.12479889249316158,False,0.14063914685460793,0.618956730690935,1.2829976271111192,61,10.29134025661915
V2E08,PILOT_SEEN_DEVELOPMENT_DATA,FROZEN_PRODUCTION_FAILURE,LEGACY_SEEDED_TEACHER_B128,0,RIGHT,-0.15,-0.0375,0.5145810930150512,0.4971684162574945,7319033bbf8afcc5,True,True,0.027423416846725942,0.6080004768569546,0.04113512527008891,0.209100019916866,17.78539896895235,0.5163181435296889,0.0,0.2631447301575382,False,0.010517812766432821,1.107166499162145,2.2146010310476494,27,1.6365219724476168
