event_id,dataset_role,source_kind,seed_index,side,d_target,d_mid,entry_scale,exit_scale,generator_stage,candidate_template,source_cell,root_type,probe_location_rule,probe_anchor_rule,semantic_class,target_value_consumed_by_lateral_bank,transition_value_selected_into_bounded_set,supports_any_hard_lateral,supports_any_usable_lateral,supports_any_hard_transition,supports_any_usable_transition,root_or_probe_numeric_value_read_by_gqsc
V2E01,PILOT_SEEN_DEVELOPMENT_DATA,FROZEN_PRODUCTION_FAILURE,0,RIGHT,-0.45687960954981943,-0.536879609549819,0.5145810930150512,0.6049868191659147,M0_V1,FROZEN_V1_CURVATURE_CONTINUITY,ACTIVE_OUTER,ACTIVE_OUTER,CURVATURE_CORRIDOR_CRITICAL,CONTINUITY_BIASED_SAFE_ANCHOR,M0_V1_ANALYTIC_PROBE_ROOT,1,0,1,1,0,0,0
V2E01,PILOT_SEEN_DEVELOPMENT_DATA,FROZEN_PRODUCTION_FAILURE,1,RIGHT,-0.45687960954981943,-0.536879609549819,0.5145810930150512,3.94735730932694,M0_V1,FROZEN_V1_CURVATURE_CONTINUITY,ACTIVE_OUTER,ACTIVE_OUTER,CURVATURE_CORRIDOR_CRITICAL,CONTINUITY_BIASED_SAFE_ANCHOR,M0_V1_ANALYTIC_PROBE_ROOT,1,1,1,1,0,0,0
V2E01,PILOT_SEEN_DEVELOPMENT_DATA,FROZEN_PRODUCTION_FAILURE,2,RIGHT,-0.45687960954981943,-0.536879609549819,0.5145810930150512,7.397546202396385,M0_V1,FROZEN_V1_CURVATURE_CONTINUITY,ACTIVE_OUTER,ACTIVE_OUTER,CURVATURE_CORRIDOR_CRITICAL,CONTINUITY_BIASED_SAFE_ANCHOR,M0_V1_ANALYTIC_PROBE_ROOT,1,1,1,1,1,1,0
V2E01,PILOT_SEEN_DEVELOPMENT_DATA,FROZEN_PRODUCTION_FAILURE,3,RIGHT,-0.45687960954981943,-0.5368796095498206,1.310934367577036,0.6049868191659147,M0_V1,FROZEN_V1_CURVATURE_CONTINUITY,ACTIVE_OUTER,ACTIVE_OUTER,CURVATURE_CORRIDOR_CRITICAL,CONTINUITY_BIASED_SAFE_ANCHOR,M0_V1_ANALYTIC_PROBE_ROOT,1,1,1,1,0,0,0
V2E01,PILOT_SEEN_DEVELOPMENT_DATA,FROZEN_PRODUCTION_FAILURE,4,RIGHT,-0.45687960954981943,-0.5368796095498206,1.310934367577036,3.94735730932694,M0_V1,FROZEN_V1_CURVATURE_CONTINUITY,ACTIVE_OUTER,ACTIVE_OUTER,CURVATURE_CORRIDOR_CRITICAL,CONTINUITY_BIASED_SAFE_ANCHOR,M0_V1_ANALYTIC_PROBE_ROOT,1,1,1,1,1,1,0
V2E01,PILOT_SEEN_DEVELOPMENT_DATA,FROZEN_PRODUCTION_FAILURE,5,RIGHT,-0.45687960954981943,-0.5368796095498206,1.310934367577036,7.397546202396385,M0_V1,FROZEN_V1_CURVATURE_CONTINUITY,ACTIVE_OUTER,ACTIVE_OUTER,CURVATURE_CORRIDOR_CRITICAL,CONTINUITY_BIASED_SAFE_ANCHOR,M0_V1_ANALYTIC_PROBE_ROOT,1,1,1,1,1,1,0
V2E01,PILOT_SEEN_DEVELOPMENT_DATA,FROZEN_PRODUCTION_FAILURE,6,RIGHT,-0.4637643031506035,-0.4637643031506035,0.5145810930150512,0.4971684162574945,M1,ZERO_BOUNDARY_SHORT,ZERO_INTERFACE,ZERO_INTERFACE,NONE,NONE,ZERO_INTERFACE_DIRECT_ANCHOR,1,1,1,1,0,0,0
V2E01,PILOT_SEEN_DEVELOPMENT_DATA,FROZEN_PRODUCTION_FAILURE,7,RIGHT,-0.4637643031506035,-0.4637643031506035,0.7136694116555473,0.4971684162574945,M1,ZERO_BOUNDARY_SPAN,ZERO_INTERFACE,ZERO_INTERFACE,NONE,NONE,ZERO_INTERFACE_DIRECT_ANCHOR,1,1,1,1,0,0,0
V2E01,PILOT_SEEN_DEVELOPMENT_DATA,FROZEN_PRODUCTION_FAILURE,8,RIGHT,-0.45687960954981943,-0.6771898047749101,1.310934367577036,7.397546202396385,M1,NEAR_LONG,ACTIVE_OUTER,ACTIVE_OUTER,CORRIDOR_BOTTLENECK,CORRIDOR_CENTER,ANALYTIC_ACTIVE_OUTER_ROOT,1,1,1,1,1,1,0
V2E02,PILOT_SEEN_DEVELOPMENT_DATA,FROZEN_PRODUCTION_FAILURE,0,LEFT,0.1603125,0.1603125,0.5145810930150512,0.4971684162574945,M1,ZERO_BOUNDARY_SHORT,ZERO_INTERFACE,ZERO_INTERFACE,NONE,NONE,ZERO_INTERFACE_DIRECT_ANCHOR,1,1,1,1,1,1,0
