event_id,method,lateral_factor_count,lateral_factor_cap,transition_factor_count,transition_family_cap,pair_proxy_count,pair_proxy_cap,reconstruction_count,reconstruction_cap,validator_count,validator_cap,legacy_seed_count_consumed,legacy_builder_or_validator_called_inside_standalone,all_bounds_pass
DVE021,STANDALONE_DIRECT_SEED_B128,63,64,7,7,128,128,12,12,10,12,0,0,1
DVE022,LEGACY_SEEDED_TEACHER_B128,31,64,2,7,60,128,12,12,11,12,2,0,1
DVE022,STANDALONE_DIRECT_SEED_B128,62,64,7,7,128,128,12,12,11,12,0,0,1
DVE023,LEGACY_SEEDED_TEACHER_B128,32,64,2,7,62,128,12,12,10,12,2,0,1
DVE023,STANDALONE_DIRECT_SEED_B128,64,64,7,7,128,128,12,12,10,12,0,0,1
DVE024,LEGACY_SEEDED_TEACHER_B128,38,64,7,7,128,128,12,12,11,12,30,0,1
DVE024,STANDALONE_DIRECT_SEED_B128,62,64,7,7,128,128,12,12,10,12,0,0,1
DVE025,LEGACY_SEEDED_TEACHER_B128,21,64,6,7,126,128,12,12,10,12,7,0,1
DVE025,STANDALONE_DIRECT_SEED_B128,32,64,7,7,128,128,12,12,10,12,0,0,1
DVE026,LEGACY_SEEDED_TEACHER_B128,32,64,2,7,62,128,12,12,10,12,2,0,1
DVE026,STANDALONE_DIRECT_SEED_B128,62,64,7,7,128,128,12,12,10,12,0,0,1
DVE027,LEGACY_SEEDED_TEACHER_B128,54,64,5,7,128,128,12,12,10,12,8,0,1
DVE027,STANDALONE_DIRECT_SEED_B128,62,64,7,7,128,128,12,12,10,12,0,0,1
DVE028,LEGACY_SEEDED_TEACHER_B128,30,64,2,7,58,128,12,12,10,12,2,0,1
DVE028,STANDALONE_DIRECT_SEED_B128,61,64,7,7,128,128,12,12,10,12,0,0,1
DVE029,LEGACY_SEEDED_TEACHER_B128,38,64,7,7,128,128,12,12,11,12,30,0,1
DVE029,STANDALONE_DIRECT_SEED_B128,62,64,7,7,128,128,12,12,10,12,0,0,1
DVE030,LEGACY_SEEDED_TEACHER_B128,23,64,2,7,44,128,12,12,10,12,2,0,1
DVE030,STANDALONE_DIRECT_SEED_B128,32,64,7,7,128,128,12,12,11,12,0,0,1
DVE031,LEGACY_SEEDED_TEACHER_B128,40,64,7,7,128,128,12,12,11,12,9,0,1
DVE031,STANDALONE_DIRECT_SEED_B128,63,64,7,7,128,128,12,12,10,12,0,0,1
DVE032,LEGACY_SEEDED_TEACHER_B128,23,64,2,7,44,128,12,12,10,12,2,0,1
DVE032,STANDALONE_DIRECT_SEED_B128,32,64,7,7,128,128,12,12,10,12,0,0,1
DVE033,LEGACY_SEEDED_TEACHER_B128,32,64,2,7,62,128,12,12,10,12,2,0,1
DVE033,STANDALONE_DIRECT_SEED_B128,63,64,7,7,128,128,12,12,10,12,0,0,1
