candidate,selection,pair_materialization,direct_transition,status,exact_method_miss_recovered_19,selection_recovered_10,b128_recovered_2,transition_recovered_5,lateral_recovered_2,allowed_seen_hard_104,allowed_seen_usable_104,new_hard_regressions,new_usable_regressions,production_parity_hard_4,production_parity_usable_4,max_pair_proxy,max_reconstruction,max_validator,runtime_p95_ms,runtime_p99_ms,interpretation
A_FROZEN_V3,LEX10_SIDE2,FROZEN_WAVES,NONE,REFERENCE,0,0,0,0,0,61,54,0,0,3,2,128,12,12,18.867404,21.410704,IMMUTABLE_REFERENCE
B_SELECTION_ONLY,LEX8_GLOBAL_DISJOINT_COVERAGE4,FROZEN_WAVES,NONE,CLEAN_PARTIAL_CANDIDATE,3,3,0,0,0,62,54,0,0,4,3,128,12,12,19.945731,20.920591,CLEAN_NONREGRESSION_BUT_NOT_SUFFICIENT
C_SELECTION_PLUS_B128,LEX8_GLOBAL_DISJOINT_COVERAGE4,PRIMARY_THEN_LONG_SHORT_STRIPE_B128,NONE,REJECTED,4,2,2,0,0,62,55,1,1,3,2,128,12,12,19.593979,21.026575,B128_MISSES_RECOVERED_BUT_VUE025_REGRESSED
D_SELECTION_B128_DIRECT_TRANSITION,LEX8_GLOBAL_DISJOINT_COVERAGE4,NOT_SELECTED,NOT_DERIVABLE,NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128,12,12,NA,NA,NO_GENERAL_GEOMETRY_ONLY_TRANSITION_DERIVATION
