configuration_budget,selected_entry_exit_scale_pairs,covered_oracle_valid_episode_count,oracle_valid_episode_count,coverage_fraction,covered_template_case_count,template_case_count,template_case_coverage_fraction,covered_event_ids,uncovered_event_ids,selection_algorithm,coverage_condition
1,"[[0.514581093015, 0.497168416257]]",16,23,0.6956521739130435,11,13,0.8461538461538461,DVE001|DVE002|DVE006|DVE012|DVE015|DVE017|DVE018|DVE019|DVE020|DVE022|DVE023|DVE029|DVE030|DVE032|DVE037|DVE038,DVE004|DVE005|DVE007|DVE014|DVE024|DVE031|DVE039,EXACT_MAXIMUM_SET_COVERAGE_ENUMERATION_TIE_LEXICOGRAPHIC,transition pair only; assumes oracle-valid lateral target/mid is available
2,"[[0.514581093015, 0.497168416257], [1.310934367577, 0.604986819166]]",21,23,0.9130434782608695,13,13,1.0,DVE001|DVE002|DVE005|DVE006|DVE012|DVE014|DVE015|DVE017|DVE018|DVE019|DVE020|DVE022|DVE023|DVE024|DVE029|DVE030|DVE031|DVE032|DVE037|DVE038|DVE039,DVE004|DVE007,EXACT_MAXIMUM_SET_COVERAGE_ENUMERATION_TIE_LEXICOGRAPHIC,transition pair only; assumes oracle-valid lateral target/mid is available
3,"[[0.514581093015, 0.497168416257], [0.514581093015, 0.604986819166], [1.310934367577, 7.397546202396]]",22,23,0.9565217391304348,13,13,1.0,DVE001|DVE002|DVE005|DVE006|DVE007|DVE012|DVE014|DVE015|DVE017|DVE018|DVE019|DVE020|DVE022|DVE023|DVE024|DVE029|DVE030|DVE031|DVE032|DVE037|DVE038|DVE039,DVE004,EXACT_MAXIMUM_SET_COVERAGE_ENUMERATION_TIE_LEXICOGRAPHIC,transition pair only; assumes oracle-valid lateral target/mid is available
4,"[[0.514581093015, 0.497168416257], [0.514581093015, 0.604986819166], [1.310934367577, 6.67782989622], [1.310934367577, 7.397546202396]]",23,23,1.0,13,13,1.0,DVE001|DVE002|DVE004|DVE005|DVE006|DVE007|DVE012|DVE014|DVE015|DVE017|DVE018|DVE019|DVE020|DVE022|DVE023|DVE024|DVE029|DVE030|DVE031|DVE032|DVE037|DVE038|DVE039,,EXACT_MAXIMUM_SET_COVERAGE_ENUMERATION_TIE_LEXICOGRAPHIC,transition pair only; assumes oracle-valid lateral target/mid is available
5,"[[0.514581093015, 0.497168416257], [0.514581093015, 0.593389663146], [0.514581093015, 0.604986819166], [1.310934367577, 6.67782989622], [1.310934367577, 7.397546202396]]",23,23,1.0,13,13,1.0,DVE001|DVE002|DVE004|DVE005|DVE006|DVE007|DVE012|DVE014|DVE015|DVE017|DVE018|DVE019|DVE020|DVE022|DVE023|DVE024|DVE029|DVE030|DVE031|DVE032|DVE037|DVE038|DVE039,,EXACT_MAXIMUM_SET_COVERAGE_ENUMERATION_TIE_LEXICOGRAPHIC,transition pair only; assumes oracle-valid lateral target/mid is available
