event_id,classification,additional_evidence_label,exact_input_digest_parity,d_target_domains_json,d_mid_lower_m,d_mid_upper_m,coarse_resolution_m,refinement_resolution_m,refinement_half_window_m,refinement_seed_count,entry_exit_pairs_json,coarse_requests,refinement_requests,total_oracle_requests,constructed_oracle_paths,construction_guard_rejections,validator_executions,hard_valid_count,oracle_sampling_runtime_s,first_failure_distribution_json,failure_at_waypoint_zero_count,maximum_footprint_track_margin_m_in_sampled_domain,best_valid_d_target_m,best_valid_d_mid_m,nearest_invalid_d_target_m,nearest_invalid_d_mid_m,nearest_invalid_first_failure,nearest_invalid_footprint_track_margin_m,nearest_invalid_obstacle_margin_m,nearest_invalid_lateral_slope_margin,nearest_invalid_curvature_margin_radpm,nearest_invalid_curvature_rate_margin_radpm2,nearest_invalid_braking_deficit_m,nearest_invalid_velocity_loss,inconclusive_reason
E01,ORACLE_INCONCLUSIVE,,0,[],,,,,,,"[[0.5145810930150512,0.4971684162574945],[0.5145810930150512,0.6049868191659147],[0.5145810930150512,3.94735730932694],[0.5145810930150512,7.397546202396385],[0.7136694116555473,0.4971684162574945],[0.7136694116555473,1.9422747749657074],[0.7136694116555473,2.222262862792217],[1.310934367577036,0.5874875636767578],[1.310934367577036,0.6049868191659147],[1.310934367577036,3.94735730932694],[1.310934367577036,6.277593851090346],[1.310934367577036,7.397546202396385]]",0,0,0,0,0,0,0,0,{},0,,,,,,,,,,,,,,exact callback subevaluation input lineage/path-digest parity unresolved
E02,NO_VALID_P3_FOUND_IN_ORACLE_DOMAIN,,1,"[{""gate"":""STRICT"",""side"":""RIGHT"",""lower"":-0.7350000000000001,""upper"":-0.5367880776836516},{""gate"":""STRICT"",""side"":""LEFT"",""lower"":0.21053177712971718,""upper"":0.7850000000000001},{""gate"":""RELAXED"",""side"":""RIGHT"",""lower"":-0.7350000000000001,""upper"":-0.5367880776836516},{""gate"":""RELAXED"",""side"":""LEFT"",""lower"":0.21053177712971718,""upper"":0.7850000000000001}]",-1.5,1.5,0.05,0.01,0.04,30,"[[0.5145810930150512,0.4971684162574945],[0.5145810930150512,0.6049868191659147],[0.5145810930150512,3.94735730932694],[0.5145810930150512,7.397546202396385],[0.7136694116555473,0.4971684162574945],[0.7136694116555473,1.7147135972280925],[0.7136694116555473,1.9378796392079618],[0.7136694116555473,2.222262862792217],[1.310934367577036,0.5732649900681569],[1.310934367577036,0.5872128676918987],[1.310934367577036,0.6049868191659147],[1.310934367577036,3.94735730932694],[1.310934367577036,5.367349140139886],[1.310934367577036,6.260013308059364],[1.310934367577036,7.397546202396385]]",57066,2140,59206,59206,0,59206,0,65.25074231299732,"{""footprint_track_bound"":59206}",59206,-0.07692878185819763,,,0.36000000000000004,0.10999999999999999,footprint_track_bound,-0.078544814188231449,0.92831596166656183,0.0098846340196008242,0.066112061231533792,17.496387764809043,0,0.28591273477263474,
E03,ORACLE_INCONCLUSIVE,,0,[],,,,,,,"[[0.5145810930150512,0.4971684162574945],[0.5145810930150512,0.5888537914428583],[0.5145810930150512,3.431100422189137],[0.5145810930150512,6.365032428120779],[0.7136694116555473,0.4971684162574945],[1.310934367577036,0.5888537914428583],[1.310934367577036,3.431100422189137],[1.310934367577036,6.365032428120779]]",0,0,0,0,0,0,0,0,{},0,,,,,,,,,,,,,,exact callback subevaluation input lineage/path-digest parity unresolved
E04,NO_VALID_P3_FOUND_IN_ORACLE_DOMAIN,,1,"[{""gate"":""STRICT"",""side"":""RIGHT"",""lower"":-0.44750000000000006,""upper"":-0.43880225630475256},{""gate"":""STRICT"",""side"":""LEFT"",""lower"":0.25932161444901597,""upper"":1.0725000000000002},{""gate"":""RELAXED"",""side"":""RIGHT"",""lower"":-0.44750000000000006,""upper"":-0.43880225630475256},{""gate"":""RELAXED"",""side"":""LEFT"",""lower"":0.25932161444901597,""upper"":1.0725000000000002}]",-1.5,1.5,0.05,0.01,0.04,30,"[[0.5145810930150512,0.4971684162574945],[0.5145810930150512,0.5888925485846928],[0.5145810930150512,3.4323406507278387],[0.5145810930150512,6.367512885198183],[0.7136694116555473,0.4971684162574945],[1.310934367577036,0.5888925485846928],[1.310934367577036,3.4323406507278387],[1.310934367577036,6.367512885198183]]",22900,444,23344,9824,13520,9824,0,9.592426961000456,"{""footprint_track_bound"":9752,""shifted race line exceeds left control steering curvature"":72}",9680,-0.04061374516156687,,,-0.43880225630475256,-0.45000000000000001,footprint_track_bound,-0.047997417604330593,0.0050113910342829415,0.10094084514958979,0.43086326172938016,18.262657794142086,0,0.2014918524275281,
E05,ORACLE_INCONCLUSIVE,,0,[],,,,,,,"[[0.5145810930150512,0.4971684162574945],[0.5145810930150512,0.6049868191659147],[0.5145810930150512,3.94735730932694],[0.5145810930150512,7.397546202396385],[0.7136694116555473,0.4971684162574945],[1.310934367577036,0.6049868191659147],[1.310934367577036,3.94735730932694],[1.310934367577036,7.397546202396385]]",0,0,0,0,0,0,0,0,{},0,,,,,,,,,,,,,,exact callback subevaluation input lineage/path-digest parity unresolved
