event_id,rank,first_failure_reason,inconclusive_reason,violation_count,normalized_max_violation_score,request_index,phase,gate,side,d_target,d_mid,entry_scale,exit_scale,z0,z1,z2,z3,z4,point_count,validator_executed,hard_valid,first_failure_enum,failure_waypoint_index,failure_obstacle_id,center_track_margin_m,footprint_track_margin_m,obstacle_margin_m,peak_lateral_slope,lateral_slope_margin,peak_positive_curvature_radpm,peak_negative_curvature_radpm,signed_curvature_margin_radpm,peak_curvature_rate_radpm2,curvature_rate_margin_radpm2,braking_deficit_m,velocity_loss,minimum_normalized_safety_slack,global_path_deviation_m,exit_reaches_next_obstacle,path_digest,failure_footprint_side,failure_heading_relative_rad,failure_corner_protrusion_m
E01,,NOT_EVALUATED,exact callback subevaluation input lineage/path-digest parity unresolved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E02,1,footprint_track_bound,,1,7.854481418823145,235,REFINE,STRICT,LEFT,0.36000000000000004,0.10999999999999999,1.310934367577036,0.5732649900681569,0,8.1153522075296145,8.16049486855729,8.2056375295849655,11.74757238268983,66,1,0,3,0,-1,0.079761808492553099,-0.078544814188231449,0.92831596166656183,0.79011536598039922,0.0098846340196008242,nan,nan,0.066112061231533792,2.5036122351909573,17.496387764809043,0,0.28591273477263474,-0.046825461004964541,0.31929244412021973,0,c1362758cd9cad20,left,-0.009257832233600452,0
E02,2,footprint_track_bound,,1,7.854481418823145,325,REFINE,STRICT,LEFT,0.36000000000000004,0.10999999999999999,1.310934367577036,0.58721286769189873,0,8.1153522075296145,8.16049486855729,8.2056375295849655,11.833749760932481,67,1,0,3,0,-1,0.079761808492553099,-0.078544814188231449,0.92831596166656183,0.79263774771195616,0.0073622522880438801,nan,nan,0.0742299822537138,2.4375773227058031,17.562422677294197,0,0.28127198781416229,-0.046825461004964541,0.31719061034404905,0,3348d11e332e0d2e,left,-0.009257832233600452,0
E02,3,footprint_track_bound,,1,7.854481418823145,415,REFINE,STRICT,LEFT,0.36000000000000004,0.10999999999999999,1.310934367577036,0.60498681916591468,0,8.1153522075296145,8.16049486855729,8.2056375295849655,11.943566650667412,67,1,0,3,0,-1,0.079761808492553099,-0.078544814188231449,0.92831596166656183,0.79484915647326626,0.0051508435267337838,nan,nan,0.084378253894479505,2.357831593709625,17.642168406290374,0,0.28042073143069329,-0.046825461004964541,0.32069781051461393,0,d68082bf0511011a,left,-0.009257832233600452,0
E02,4,footprint_track_bound,,1,7.854481418823145,505,REFINE,RELAXED,LEFT,0.36000000000000004,0.10999999999999999,1.310934367577036,0.5732649900681569,0,8.1153522075296145,8.16049486855729,8.2056375295849655,11.74757238268983,66,1,0,3,0,-1,0.079761808492553099,-0.078544814188231449,0.92831596166656183,0.79011536598039922,0.0098846340196008242,nan,nan,0.066112061231533792,2.5036122351909573,17.496387764809043,0,0.28591273477263474,-0.046825461004964541,0.31929244412021973,0,c1362758cd9cad20,left,-0.009257832233600452,0
E02,5,footprint_track_bound,,1,7.854481418823145,595,REFINE,RELAXED,LEFT,0.36000000000000004,0.10999999999999999,1.310934367577036,0.58721286769189873,0,8.1153522075296145,8.16049486855729,8.2056375295849655,11.833749760932481,67,1,0,3,0,-1,0.079761808492553099,-0.078544814188231449,0.92831596166656183,0.79263774771195616,0.0073622522880438801,nan,nan,0.0742299822537138,2.4375773227058031,17.562422677294197,0,0.28127198781416229,-0.046825461004964541,0.31719061034404905,0,3348d11e332e0d2e,left,-0.009257832233600452,0
E02,6,footprint_track_bound,,1,7.854481418823145,685,REFINE,RELAXED,LEFT,0.36000000000000004,0.10999999999999999,1.310934367577036,0.60498681916591468,0,8.1153522075296145,8.16049486855729,8.2056375295849655,11.943566650667412,67,1,0,3,0,-1,0.079761808492553099,-0.078544814188231449,0.92831596166656183,0.79484915647326626,0.0051508435267337838,nan,nan,0.084378253894479505,2.357831593709625,17.642168406290374,0,0.28042073143069329,-0.046825461004964541,0.32069781051461393,0,d68082bf0511011a,left,-0.009257832233600452,0
E02,7,footprint_track_bound,,1,7.854481418823145,1790,REFINE,STRICT,LEFT,0.36000000000000004,0.11000000000000076,1.310934367577036,0.5732649900681569,0,8.1153522075296145,8.16049486855729,8.2056375295849655,11.74757238268983,66,1,0,3,0,-1,0.079761808492552877,-0.078544814188231449,0.92831596166655561,0.79011536598039744,0.0098846340196026006,nan,nan,0.066112061231534902,2.5036122351909871,17.496387764809015,0,0.2859127347726359,-0.046825461004964687,0.31929244412021879,0,fa27c8cbf6fbf12f,left,-0.0092578322336982211,0
E02,8,footprint_track_bound,,1,7.854481418823145,1890,REFINE,STRICT,LEFT,0.36000000000000004,0.11000000000000076,1.310934367577036,0.58721286769189873,0,8.1153522075296145,8.16049486855729,8.2056375295849655,11.833749760932481,67,1,0,3,0,-1,0.079761808492552877,-0.078544814188231449,0.92831596166655561,0.79263774771195328,0.0073622522880467667,nan,nan,0.07422998225369426,2.4375773227057249,17.562422677294276,0,0.28127198781416368,-0.046825461004964687,0.31719061034404794,0,ea553e9fba098ee3,left,-0.0092578322336982211,0
E02,9,footprint_track_bound,,1,7.854481418823145,1990,REFINE,STRICT,LEFT,0.36000000000000004,0.11000000000000076,1.310934367577036,0.60498681916591468,0,8.1153522075296145,8.16049486855729,8.2056375295849655,11.943566650667412,67,1,0,3,0,-1,0.079761808492552877,-0.078544814188231449,0.92831596166655561,0.79484915647326515,0.005150843526734894,nan,nan,0.084378253894445754,2.3578315937096308,17.64216840629037,0,0.2804207314306934,-0.046825461004964687,0.3206978105146146,0,2de4a5f695a3713b,left,-0.0092578322336982211,0
E02,10,footprint_track_bound,,1,7.854481418823145,2090,REFINE,RELAXED,LEFT,0.36000000000000004,0.11000000000000076,1.310934367577036,0.5732649900681569,0,8.1153522075296145,8.16049486855729,8.2056375295849655,11.74757238268983,66,1,0,3,0,-1,0.079761808492552877,-0.078544814188231449,0.92831596166655561,0.79011536598039744,0.0098846340196026006,nan,nan,0.066112061231534902,2.5036122351909871,17.496387764809015,0,0.2859127347726359,-0.046825461004964687,0.31929244412021879,0,fa27c8cbf6fbf12f,left,-0.0092578322336982211,0
E03,,NOT_EVALUATED,exact callback subevaluation input lineage/path-digest parity unresolved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E04,1,footprint_track_bound,,1,4.799741760433059,305,REFINE,STRICT,RIGHT,-0.43880225630475256,-0.45000000000000001,1.310934367577036,0.58889254858469275,-2.2204460492503131e-16,1.8287150562076206,1.9274055160233736,2.0260959758391266,3.5033362530718506,34,1,0,3,0,-1,0.13744935695287971,-0.047997417604330593,0.0050113910342829415,0.69905915485041026,0.10094084514958979,nan,nan,0.43086326172938016,1.7373422058579135,18.262657794142086,0,0.2014918524275281,-0.008367095364746854,0.21553797944195857,0,681696e2e5665ca1,right,0.040289297819082637,0.011156226100967365
E04,2,footprint_track_bound,,1,4.799741760433059,335,REFINE,RELAXED,RIGHT,-0.43880225630475256,-0.45000000000000001,1.310934367577036,0.58889254858469275,-2.2204460492503131e-16,1.8287150562076206,1.9274055160233736,2.0260959758391266,3.5033362530718506,34,1,0,3,0,-1,0.13744935695287971,-0.047997417604330593,0.0050113910342829415,0.69905915485041026,0.10094084514958979,nan,nan,0.43086326172938016,1.7373422058579135,18.262657794142086,0,0.2014918524275281,-0.008367095364746854,0.21553797944195857,0,681696e2e5665ca1,right,0.040289297819082637,0.011156226100967365
