event_id,lateral_factors,transition_factors,raw_combinations,production_configurations_excluded,unique_configurations,unique_exact_profiles,full_proxy_evaluations_after,exact_profile_reuses,evaluation_reduction_fraction,exact_skip_reason,station_basis_builds,station_basis_reuses,r3_total_ms_after
V2E07,1227,2,2454,2,2452,1226,1226,1226,0.500000,EXACT_PROFILE_EQUIVALENCE_REUSE,26,1200,9.762
V2E08,1211,8,9688,9,9679,4840,4840,4839,0.499948,EXACT_PROFILE_EQUIVALENCE_REUSE,88,4752,25.134
V2E09,1400,2,2800,2,2798,1670,1670,1128,0.403145,EXACT_PROFILE_EQUIVALENCE_REUSE,36,1634,10.428
VUE001,1378,9,12402,12,12390,6885,6885,5505,0.444310,EXACT_PROFILE_EQUIVALENCE_REUSE,255,6630,34.235
VUE002,1124,2,2248,2,2246,1123,1123,1123,0.500000,EXACT_PROFILE_EQUIVALENCE_REUSE,38,1085,10.337
VUE003,750,8,6000,8,5992,2996,2996,2996,0.500000,EXACT_PROFILE_EQUIVALENCE_REUSE,112,2884,15.355
VUE004,1177,6,7062,7,7055,3695,3695,3360,0.476258,EXACT_PROFILE_EQUIVALENCE_REUSE,102,3593,17.545
VUE005,1231,8,9848,9,9839,5467,5467,4372,0.444354,EXACT_PROFILE_EQUIVALENCE_REUSE,132,5335,24.096
VUE006,1414,8,11312,9,11303,6199,6199,5104,0.451562,EXACT_PROFILE_EQUIVALENCE_REUSE,140,6059,27.205
VUE007,1231,8,9848,9,9839,5359,5359,4480,0.455331,EXACT_PROFILE_EQUIVALENCE_REUSE,132,5227,24.665
VUE008,1177,6,7062,7,7055,3695,3695,3360,0.476258,EXACT_PROFILE_EQUIVALENCE_REUSE,96,3599,19.415
VUE009,1366,2,2732,2,2730,1365,1365,1365,0.500000,EXACT_PROFILE_EQUIVALENCE_REUSE,41,1324,12.485
VUE010,1097,2,2194,2,2192,1096,1096,1096,0.500000,EXACT_PROFILE_EQUIVALENCE_REUSE,23,1073,9.031
VUE011,1400,2,2800,2,2798,1962,1962,836,0.298785,EXACT_PROFILE_EQUIVALENCE_REUSE,27,1935,11.398
VUE012,1179,2,2358,2,2356,1178,1178,1178,0.500000,EXACT_PROFILE_EQUIVALENCE_REUSE,25,1153,9.692
VUE013,1292,8,10336,8,10328,5164,5164,5164,0.500000,EXACT_PROFILE_EQUIVALENCE_REUSE,128,5036,26.415
VUE014,1227,2,2454,2,2452,1226,1226,1226,0.500000,EXACT_PROFILE_EQUIVALENCE_REUSE,26,1200,10.217
VUE015,1373,2,2746,2,2744,1935,1935,809,0.294825,EXACT_PROFILE_EQUIVALENCE_REUSE,26,1909,11.127
VUE016,1073,3,3219,3,3216,2584,2584,632,0.196517,EXACT_PROFILE_EQUIVALENCE_REUSE,41,2543,22.756
VUE017,1077,2,2154,2,2152,1076,1076,1076,0.500000,EXACT_PROFILE_EQUIVALENCE_REUSE,19,1057,9.134
