event_id,violation_count,violation_score,request_index,phase,gate,side,d_target,d_mid,entry_scale,exit_scale,z0,z1,z2,z3,z4,point_count,validator_executed,hard_valid,first_failure_reason,first_failure_enum,failure_waypoint_index,failure_obstacle_id,center_track_margin_m,footprint_track_margin_m,obstacle_margin_m,waypoint0_center_track_margin_m,waypoint0_footprint_track_margin_m,peak_lateral_slope,lateral_slope_margin,peak_positive_curvature_radpm,peak_negative_curvature_radpm,signed_curvature_margin_radpm,peak_curvature_rate_radpm2,curvature_rate_margin_radpm2,braking_deficit_m,velocity_loss,minimum_normalized_safety_slack,global_path_deviation_m,exit_reaches_next_obstacle,path_digest,failure_footprint_side,failure_heading_relative_rad,failure_corner_protrusion_m
DVE001,1,0.0075495944675339766,1630,REFINE,STRICT,RIGHT,-0.53999999999999992,-0.53999999999999992,0.51458109301505117,0.49716841625749453,0.32220054202223214,0.53039747217868261,0.63824066751748454,0.74608386285628647,1.9932336371719499,28,1,0,footprint_track_bound,3,1,-1,0.20342070602736209,-7.5495944675339766e-05,0.072956543505364735,0.20342070602736209,0.060291935089668493,0.72864130371014257,0.071358696289857471,nan,nan,0.33048739839853736,3.3981574078846988,16.6018425921153,0,0.22554644301480906,0.0356138040182414,0.11699228571012586,0,ec21eed1d9f460f5,right,0.20353510377470707,0.053500882194671889
DVE001,1,0.007918946936576882,1457,REFINE,STRICT,RIGHT,-0.51999999999999991,-0.60999999999999999,0.51458109301505117,0.49716841625749453,0.32220054202223214,0.53039747217868261,0.63824066751748454,0.74608386285628647,1.9932336371719499,28,1,0,footprint_track_bound,3,1,-1,0.20342070602736209,-7.9189469365768816e-05,0.084545299599683266,0.20342070602736209,0.033716610326698628,0.60663171654648318,0.19336828345351686,nan,nan,0.038199942522121555,2.1446145375494154,17.855385462450585,0,0.22339280303030065,0.029021434465149182,0.10865851508652591,0,1f5b10e0f69b7c14,right,0.20355141471012017,0.053504860410799077
DVE001,1,0.007918946936599086,1458,REFINE,STRICT,RIGHT,-0.51999999999999991,-0.60999999999999921,0.51458109301505117,0.49716841625749453,0.32220054202223214,0.53039747217868261,0.63824066751748454,0.74608386285628647,1.9932336371719499,28,1,0,footprint_track_bound,3,1,-1,0.20342070602736209,-7.9189469365990861e-05,0.084545299599683044,0.20342070602736209,0.033716610326700182,0.60663171654648318,0.19336828345351686,nan,nan,0.038199942522194164,2.1446145375494492,17.855385462450549,0,0.22339280303030135,0.029021434465204346,0.10865851508652589,0,61b07036e9414c84,right,0.20355141471012062,0.053504860410799188
DVE001,1,0.013599180074871237,331,REFINE,STRICT,RIGHT,-0.60999999999999999,-0.80000000000000004,0.71366941165554731,0.49716841625749453,0.24165040651667419,0.53039747217868261,0.63824066751748454,0.74608386285628647,1.9932336371719499,28,1,0,footprint_track_bound,3,2,-1,0.19631475155765357,-0.00013599180074871237,0.20835879161205839,0.20342070602736209,0.022211942930810004,0.70908825839164269,0.090911741608357355,nan,nan,0.34150717867154201,2.7548499376008184,17.245150062399183,0,0.22511689460349302,0.030876501038435717,0.12249675742728473,0,8e25a396553bba8f,right,0.17496588283968179,0.046450743358402297
DVE001,1,0.015050975366855818,911,COARSE,STRICT,RIGHT,-0.46782645683028812,-0.47180573094231487,0.71366941165554731,0.49716841625749453,0.24165040651667419,0.53039747217868261,0.63824066751748454,0.74608386285628647,1.9932336371719499,28,1,0,footprint_track_bound,3,1,-1,0.20342070602736209,-0.00015050975366855818,0.0020833034841704623,0.20342070602736209,0.039064234751776485,0.68074530741088424,0.11925469258911581,nan,nan,0.42769840576507479,2.6705914417026322,17.329408558297366,0,0.21147235671826378,0.0013888689894469748,0.10204901680665482,0,008f913ec05ad7a1,right,0.3269438576764343,0.08197631511680617
DVE001,1,0.015050975366855818,3639,COARSE,RELAXED,RIGHT,-0.46782645683028812,-0.47180573094231487,0.71366941165554731,0.49716841625749453,0.24165040651667419,0.53039747217868261,0.63824066751748454,0.74608386285628647,1.9932336371719499,28,1,0,footprint_track_bound,3,1,-1,0.20342070602736209,-0.00015050975366855818,0.0020833034841704623,0.20342070602736209,0.039064234751776485,0.68074530741088424,0.11925469258911581,nan,nan,0.42769840576507479,2.6705914417026322,17.329408558297366,0,0.21147235671826378,0.0013888689894469748,0.10204901680665482,0,008f913ec05ad7a1,right,0.3269438576764343,0.08197631511680617
DVE001,1,0.021111361562303754,948,REFINE,STRICT,RIGHT,-0.59999999999999998,-0.45999999999999919,0.51458109301505117,0.49716841625749453,0.32220054202223214,0.53039747217868261,0.63824066751748454,0.74608386285628647,1.9932336371719499,28,1,0,quintic d-offset exceeds maximum_lateral_slope,5,5,-1,0.20342070602736209,0.01360300076914648,0.074841207303117829,0.20342070602736209,0.01795595693285227,0.80042222723124612,-0.00042222723124607509,nan,nan,0.29387576432556428,4.3416453141116955,15.658354685888305,0,0.22564096432339853,0.0356138040182414,0.11821605893130802,0,60c2dec46b5fd3a4,,nan,nan
DVE001,1,0.021111361562303754,1038,REFINE,STRICT,RIGHT,-0.59999999999999998,-0.45999999999999919,0.71366941165554731,0.49716841625749453,0.24165040651667419,0.53039747217868261,0.63824066751748454,0.74608386285628647,1.9932336371719499,28,1,0,quintic d-offset exceeds maximum_lateral_slope,5,5,-1,0.20342070602736209,0.0065922722796407998,0.077714039966660708,0.20342070602736209,0.0065922722796407998,0.80042222723124612,-0.00042222723124607509,nan,nan,0.29387576432556806,4.3136150830765825,15.686384916923418,0,0.22557519356194636,0.0356138040182414,0.11802151566766143,0,6cb262f0830954c6,,nan,nan
DVE001,1,0.021111361562314856,947,REFINE,STRICT,RIGHT,-0.59999999999999998,-0.45999999999999996,0.51458109301505117,0.49716841625749453,0.32220054202223214,0.53039747217868261,0.63824066751748454,0.74608386285628647,1.9932336371719499,28,1,0,quintic d-offset exceeds maximum_lateral_slope,5,5,-1,0.20342070602736209,0.013603000769146702,0.074841207303118162,0.20342070602736209,0.017955956932861485,0.80042222723124634,-0.00042222723124629713,nan,nan,0.29387576432558316,4.3416453141116538,15.658354685888346,0,0.22564096432339528,0.0356138040182414,0.11821605893130809,0,2a214b006145a314,,nan,nan
DVE001,1,0.021111361562314856,1037,REFINE,STRICT,RIGHT,-0.59999999999999998,-0.45999999999999996,0.71366941165554731,0.49716841625749453,0.24165040651667419,0.53039747217868261,0.63824066751748454,0.74608386285628647,1.9932336371719499,28,1,0,quintic d-offset exceeds maximum_lateral_slope,5,5,-1,0.20342070602736209,0.0065922722796390235,0.077714039966661042,0.20342070602736209,0.0065922722796390235,0.80042222723124634,-0.00042222723124629713,nan,nan,0.29387576432558316,4.3136150830766189,15.68638491692338,0,0.22557519356194433,0.0356138040182414,0.11802151566766152,0,942f58dce9edf84a,,nan,nan
DVE002,1,0.07708367767998991,395,REFINE,STRICT,LEFT,0.49000000000000005,0.21000000000000005,0.51458109301505117,0.49716841625749453,0,0.41771533803468081,0.49459715790423142,0.57147897777378198,3.6432488781055721,35,1,0,quintic d-offset exceeds maximum_lateral_slope,5,1,-1,0.60948238260463183,0.38860758455061017,0.28751413180238949,0.97899791234849609,0.71096255055657753,0.80154167355359984,-0.0015416735535997983,nan,nan,0.37687122235358028,5.3982300151196299,14.60176998488037,0,0.19453735259207172,0.19167608786825965,0.064468087435347557,0,f438c210d47548f6,,nan,nan
DVE002,1,0.07708367767998991,485,REFINE,STRICT,LEFT,0.49000000000000005,0.21000000000000005,0.71366941165554731,0.49716841625749453,0,0.41771533803468081,0.49459715790423142,0.57147897777378198,3.6432488781055721,35,1,0,quintic d-offset exceeds maximum_lateral_slope,5,1,-1,0.60948238260463183,0.38860758455061017,0.28751413180238949,0.97899791234849609,0.71096255055657753,0.80154167355359984,-0.0015416735535997983,nan,nan,0.37687122235358028,5.3982300151196299,14.60176998488037,0,0.19453735259207172,0.19167608786825965,0.064468087435347557,0,f438c210d47548f6,,nan,nan
DVE002,1,0.07708367767998991,575,REFINE,RELAXED,LEFT,0.49000000000000005,0.21000000000000005,0.51458109301505117,0.49716841625749453,0,0.41771533803468081,0.49459715790423142,0.57147897777378198,3.6432488781055721,35,1,0,quintic d-offset exceeds maximum_lateral_slope,5,1,-1,0.60948238260463183,0.38860758455061017,0.28751413180238949,0.97899791234849609,0.71096255055657753,0.80154167355359984,-0.0015416735535997983,nan,nan,0.37687122235358028,5.3982300151196299,14.60176998488037,0,0.19453735259207172,0.19167608786825965,0.064468087435347557,0,f438c210d47548f6,,nan,nan
