scope,build_type,instrumentation,events,parallel_jobs,p50_us,p95_us,p99_us,max_us,mean_us,interpretation
seen_failure_r3,Release,OFF,86,1,118950.3905,1457743.2710,3164845.3760,3164845.3760,285616.9341,DETERMINISTIC_HARNESS_SMOKE_NOT_CLOSED_LOOP_BENCHMARK
production_success_r3_extra_work,Release,OFF,18,1,0,0,0,0,0,R3_NOT_INVOKED_AND_EXTRA_VALIDATOR_CALLS_ZERO
