event_id,input_snapshot_id,ego_snapshot_id,obstacle_snapshot_id,reference_snapshot_id,source_stamp_ns,obstacle_sequence,source_epoch,reference_generation,instrumentation_v2_join,constructed_digest_multiset_parity,returned_digest_multiset_parity
V2E01,input_a8ec4988462399a8,ego_990e2e93806512d0,obs_2e1448b268b59468,ref_3f5d487564f4ee3d,1787567779563757177,15550,2,1,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True
V2E02,input_645b00b881df6758,ego_b58db822e7396c3d,obs_53c472e6879e97d8,ref_3f5d487564f4ee3d,1787566550116850084,13406,2,1,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True
V2E03,input_24190b2cad858546,ego_5aad1456e138fa99,obs_5de923c94deee105,ref_4dc0768eb37d9590,1787619719982960006,2765,2,1,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True
V2E04,input_c3ff4ba7f2e4a225,ego_00b8ffdde7cd5cd0,obs_5b80cc6b78418464,ref_4dc0768eb37d9590,1787620233341807864,15450,2,1,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True
V2E05,input_ff0e4aabe90dd592,ego_a0caf5c61a06d65c,obs_df6fd9330849475b,ref_3f5d487564f4ee3d,1787566207919257596,8317,2,1,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True
V2E06,input_fe84e355d169104f,ego_8268cc3fba5172b1,obs_6336a74e373c764d,ref_3f5d487564f4ee3d,1787566416418151145,12308,2,1,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True
V2E07,input_5d2a7fc65a9acf60,ego_c2651cfae2a2aef2,obs_66be48f5ca780bcd,ref_3f5d487564f4ee3d,1787566182309154131,7417,2,1,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True
V2E08,input_c188350a33bf060b,ego_6e54d6b4942b4df9,obs_9e69e85fcbed6bfe,ref_4dc0768eb37d9590,1787617418775362888,135,2,1,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True
V2E09,input_41612a91b96e6838,ego_3be254b1e844ebd0,obs_8686dbf1d67609d0,ref_4dc0768eb37d9590,1787620100478897017,11706,2,1,PASS_IDS_AND_CANDIDATE_DIGEST_SET,True,True
