phase,dataset_role,resource,access
DEVELOPMENT_BASELINE,DEVELOPMENT,planning_study/p3_mapping_research_corpus_v1/raw_oracle/inputs/DVE029.event,HARNESS_INPUT
DEVELOPMENT_BASELINE,DEVELOPMENT,planning_study/p3_mapping_research_corpus_v1/raw_oracle/inputs/DVE030.event,HARNESS_INPUT
DEVELOPMENT_BASELINE,DEVELOPMENT,planning_study/p3_mapping_research_corpus_v1/raw_oracle/inputs/DVE031.event,HARNESS_INPUT
DEVELOPMENT_BASELINE,DEVELOPMENT,planning_study/p3_mapping_research_corpus_v1/raw_oracle/inputs/DVE032.event,HARNESS_INPUT
DEVELOPMENT_BASELINE,DEVELOPMENT,planning_study/p3_mapping_research_corpus_v1/raw_oracle/inputs/DVE033.event,HARNESS_INPUT
DEVELOPMENT_BASELINE,DEVELOPMENT,planning_study/p3_mapping_research_corpus_v1/raw_oracle/inputs/DVE034.event,HARNESS_INPUT
DEVELOPMENT_BASELINE,DEVELOPMENT,planning_study/p3_mapping_research_corpus_v1/raw_oracle/inputs/DVE035.event,HARNESS_INPUT
DEVELOPMENT_BASELINE,DEVELOPMENT,planning_study/p3_mapping_research_corpus_v1/raw_oracle/inputs/DVE036.event,HARNESS_INPUT
DEVELOPMENT_BASELINE,DEVELOPMENT,planning_study/p3_mapping_research_corpus_v1/raw_oracle/inputs/DVE037.event,HARNESS_INPUT
DEVELOPMENT_BASELINE,DEVELOPMENT,planning_study/p3_mapping_research_corpus_v1/raw_oracle/inputs/DVE038.event,HARNESS_INPUT
DEVELOPMENT_BASELINE,DEVELOPMENT,planning_study/p3_mapping_research_corpus_v1/raw_oracle/inputs/DVE039.event,HARNESS_INPUT
DEVELOPMENT_BASELINE,DEVELOPMENT,planning_study/p3_mapping_research_corpus_v1/raw_oracle/inputs/DVE040.event,HARNESS_INPUT
DEVELOPMENT_BASELINE,DEVELOPMENT_49,planning_study/gqsc_standalone_coverage_repair_v2/diversity_policy_ablation.csv,READ_DEVELOPMENT_ABLATION
DEVELOPMENT_POLICY_COMPARISON,DEVELOPMENT_49,49 frozen DEVELOPMENT event inputs,FOUR_PREDECLARED_POLICIES_PLUS_SELECTED_RUNTIME
POST_LOCK_ONE_SHOT,VALIDATION_SEEN_AFTER_V1,planning_study/p3_geometry_conditioned_validation_v1/validation_oracle_summary.csv,READ_ONCE
POST_LOCK_ONE_SHOT,VALIDATION_SEEN_AFTER_V1,planning_study/p3_geometry_conditioned_validation_v1/raw_oracle/lineage_parity.csv,READ_ONCE
POST_LOCK_ONE_SHOT,SUCCESS_CONTROL_18,planning_study/p3_geometry_conditioned_method_v1/success_control_manifest.csv,READ_ONCE
POST_LOCK_METADATA_FINALIZATION,SUCCESS_CONTROL_18,planning_study/p3_r3_k12_integration_v1/production_success_noninterference.csv,READ_FROZEN_BASELINE_DIGESTS_NO_EVALUATOR
POST_LOCK_DOCUMENTATION_AUDIT,DEVELOPMENT_49,49 frozen DEVELOPMENT event inputs,READ_GEOMETRY_TRACE_NO_POLICY_CHANGE
